"teamid","esportsgameid","platformgameid","side"
"100725845022060229","108195478958534061","ESPORTSTMNT04:2450722","200"
"105550054006182911","110378429158094570","ESPORTSTMNT02:3210615","200"
"107700208463820785","107693721182997971","ESPORTSTMNT01:2800157","200"
"99294153824386385","108206581964974034","ESPORTSTMNT03:2796826","200"
"105550054006182911","109625578822531979","ESPORTSTMNT01:3302900","200"
"98767991860392497","104174992718881816","ESPORTSTMNT01:1404256","200"
"100205573495116443","108195478958599617","ESPORTSTMNT04:2471796","200"
"98767991866488695","105522958534618163","ESPORTSTMNT01:1894045","200"
"105520822049210915","108172713550656608","ESPORTSTMNT06:2542009","200"
"102787200136756173","106748850930288965","ESPORTSTMNT04:1890121","200"
"99566404579461230","103540364360693611","ESPORTSTMNT02:1286938","200"
"105503848339138647","107417741194085639","ESPORTSTMNT02:2574846","200"
"99566408217955692","110056852358713636","ESPORTSTMNT01:3344571","200"
"103535282119620510","108231751507756333","ESPORTSTMNT04:2431476","200"
"109485335453835911","110064346374946279","ESPORTSTMNT01:3333790","200"
"98767991877340524","102844283022223444","ESPORTSTMNT06:1071560","200"
"105709099258505657","107439320898325023","ESPORTSTMNT02:2663410","200"
"105559480124455983","106305935742607068","ESPORTSTMNT03:2070888","200"
"100725845018863243","102181142530911996","ESPORTSTMNT01:1133776","200"
"103461966975897718","109518697662122750","ESPORTSTMNT03:3117062","200"
"105550054006182911","108211175223241360","ESPORTSTMNT04:2471983","200"
"99322214689444546","108158210395904343","ESPORTSTMNT03:2931421","200"
"105550005698683818","110471139171602607","ESPORTSTMNT02:3228341","200"
"105550042327365041","110378429158160213","ESPORTSTMNT01:3404678","200"
"100205573496804586","110371551279081966","ESPORTSTMNT02:3220856","200"
"102787200149928963","110428723805337025","ESPORTSTMNT03:3190919","200"
"108078422885368642","110428723805336993","ESPORTSTMNT03:3182799","200"
"107580483738977500","110428603625878824","ESPORTSTMNT01:3394799","200"
"101428372607057464","110395308895674299","ESPORTSTMNT02:3214755","200"
"105537149834356301","107457033676741286","ESPORTSTMNT03:2549038","200"
"98767991935149427","102147203803367589","ESPORTSTMNT03:1114809","200"
"105521408363571548","106301901328161225","ESPORTSTMNT02:2074157","200"
"99566404581868574","107418445248148491","ESPORTSTMNT02:2558150","200"
"103935421249833954","108171648028291376","ESPORTSTMNT01:2905132","200"
"109671201259007744","109518697661991540","ESPORTSTMNT01:3303404","200"
"107603586980602718","107639438038238609","ESPORTSTMNT03:2544491","200"
"107581759470356115","109660199184603687","ESPORTSTMNT06:2773421","200"
"99566404585387054","104174613333926336","ESPORTSTMNT01:1433923","200"
"107599112065439311","108290534329220823","ESPORTSTMNT01:2902763","200"
"99322214689444546","109539770335869614","ESPORTSTMNT06:2775757","200"
"105550036134585264","108211175223241276","ESPORTSTMNT04:2450468","200"
"100725845018863243","102181142512430702","ESPORTSTMNT02:1113579","200"
"107416483509696259","108158210395838770","ESPORTSTMNT03:2799822","200"
"107563714667537640","107417059263300174","ESPORTSTMNT02:2575377","200"
"99566405129589291","103462454882440794","ESPORTSTMNT02:1291908","200"
"102787200136756173","105562556575697772","ESPORTSTMNT01:1721796","200"
"102787200145472495","103936903254753764","ESPORTSTMNT06:1190935","200"
"99566408217116828","102147202619973667","ESPORTSTMNT03:1141728","200"
"101383793195758800","102147202634063947","ESPORTSTMNT01:1156438","200"
"99566404581868574","107418445248279795","ESPORTSTMNT01:2780338","200"
"105520784254806142","108172713550656484","ESPORTSTMNT05:2760205","200"
"101383793567806688","109728315257974870","ESPORTSTMNT04:2668132","200"
"99322214695067838","107417059263431366","ESPORTSTMNT04:2170190","200"
"98767991921462763","104151038622249864","ESPORTSTMNT01:1424633","200"
"99322214695067838","109919226378791842","ESPORTSTMNT05:3220281","200"
"105550054006182911","110378429158094517","ESPORTSTMNT01:3376215","200"
"99566404579461230","109625152897595371","ESPORTSTMNT02:3148631","200"
"99566405688134373","102235771831636642","ESPORTSTMNT06:1020340","200"
"101383793572656373","110429332689390656","ESPORTSTMNT04:2687160","200"
"105593278887024877","106419362027885938","ESPORTSTMNT03:2000366","200"
"102787200129022886","108155621258911311","ESPORTSTMNT02:2784881","200"
"98926509885559666","107458367241084550","ESPORTSTMNT03:2547997","200"
"105519746234964687","108172137678025418","ESPORTSTMNT03:2893474","200"
"99566404585387054","107418445248214179","ESPORTSTMNT01:2780901","200"
"106827823550343961","110507407706737100","ESPORTSTMNT02:3215095","200"
"107423075317119707","108172137678025452","ESPORTSTMNT03:2931135","200"
"103461966965149786","106680962631761069","ESPORTSTMNT06:1881436","200"
"105521293297166647","105809562662589521","ESPORTSTMNT01:1895490","200"
"107423075317119707","107417432878727953","ESPORTSTMNT01:2703011","200"
"107581284487120142","108285604036885502","ESPORTSTMNT01:2911679","200"
"105548000936710641","105814193355150689","ESPORTSTMNT01:1886218","200"
"99566406069969565","103495781309458682","ESPORTSTMNT04:1190130","200"
"105536643047197642","109467188126732116","ESPORTSTMNT05:3217368","200"
"105397404796640412","105539760574883970","ESPORTSTMNT01:1895167","200"
"98767991954244555","107256578724179811","ESPORTSTMNT01:2572191","200"
"99294153824386385","108206581965105262","ESPORTSTMNT03:2885373","200"
"108573042084687884","109749565998905295","ESPORTSTMNT02:3188790","200"
"102787200138722262","107416436274230901","ESPORTSTMNT05:2520142","200"
"101383792887446028","108197674527335540","ESPORTSTMNT03:2885491","200"
"102787200120306562","104727755403949142","ESPORTSTMNT04:1320040","200"
"102787200132955066","105596427128003576","ESPORTSTMNT01:1892076","200"
"101383792559569368","105551618308297917","ESPORTSTMNT02:1686353","200"
"103495716836203404","107566458490383620","ESPORTSTMNT05:2520814","200"
"103535282124208038","106353129313331500","ESPORTSTMNT03:2090781","200"
"101383792887446028","102147202984297333","ESPORTSTMNT01:1144314","200"
"107581296208168309","107598053305078484","ESPORTSTMNT03:2546021","200"
"107581761958954646","109660182594399801","ESPORTSTMNT01:3314317","200"
"105537444152141556","105562529627228879","ESPORTSTMNT02:1683089","200"
"98926509883054987","109517090067719801","ESPORTSTMNT02:3141970","200"
"105520077508552574","106748850930288953","ESPORTSTMNT04:1880281","200"
"104710369093939895","105899134845113634","ESPORTSTMNT05:1870887","200"
"99566406065437842","104248884642363830","ESPORTSTMNT06:1310080","200"
"109631326144414089","109659890856073517","ESPORTSTMNT03:3100488","200"
"98767991860392497","104174992718947444","ESPORTSTMNT01:1425154","200"
"99566408217116828","103478355179226681","ESPORTSTMNT03:1331108","200"
"98926509892121852","105658534675745412","ESPORTSTMNT03:1751247","200"
"99322214689444546","102147201829333841","ESPORTSTMNT06:1020629","200"
"105515219038427019","106883777852977777","ESPORTSTMNT04:1880440","200"
"105514967858969605","105904572584340590","ESPORTSTMNT05:1860532","200"
"99566405130451785","105913088925019686","ESPORTSTMNT03:1824848","200"
"107599144012469862","107677841286763415","ESPORTSTMNT03:2564161","200"
"107598785733448849","107728324360587387","ESPORTSTMNT02:2662301","200"
"107582591908138922","108286105477599543","ESPORTSTMNT01:2966398","200"
"99566404846951820","110428848767875261","LPL_A:334808","200"
"107416483509696259","108158210395773144","ESPORTSTMNT01:2905447","200"
"101428372603715124","109710208773793141","ESPORTSTMNT03:3094256","200"
"107581212180071788","109659890856139079","ESPORTSTMNT03:3083260","200"
"99566404581868574","104174613333794998","ESPORTSTMNT03:1403610","200"
"103877675241047720","109467129926917767","ESPORTSTMNT06:2763178","200"
"107598805167594304","109675742496438360","ESPORTSTMNT03:3092186","200"
"105559480124455983","105562556575763352","ESPORTSTMNT02:1687440","200"
"99566405129589291","108212480639615243","ESPORTSTMNT02:2787368","200"
"105550036134585264","107559433600200997","ESPORTSTMNT01:2735423","200"
"109480204628225868","110056852358713607","ESPORTSTMNT01:3333240","200"
"99294153828264740","105658534675942282","ESPORTSTMNT01:2148427","200"
"101383793569248484","108176672286598205","ESPORTSTMNT04:2450123","200"
"98767991877340524","107458367241281230","ESPORTSTMNT01:2781375","200"
"105514967858969605","106313258183652605","ESPORTSTMNT04:1810776","200"
"108131965235538611","109699002332890806","ESPORTSTMNT01:3325538","200"
"98767991926151025","106269680921743352","ESPORTSTMNT06:1840955","200"
"105503778424809514","106305935742541466","ESPORTSTMNT02:2061880","200"
"105520077508552574","105562790072929542","ESPORTSTMNT05:1831197","200"
"102787200129022886","107597929688684720","ESPORTSTMNT03:2543545","200"
"102787200129022886","109467357560064267","ESPORTSTMNT01:3303636","200"
"103461966965149786","103462460596590499","ESPORTSTMNT06:1160112","200"
"100725845018863243","103540364380027045","ESPORTSTMNT03:1352548","200"
"105503535895066182","107417741194085533","ESPORTSTMNT01:2697167","200"
"107423083507599175","108172137677894194","ESPORTSTMNT01:2915790","200"
"98767991949608898","105562822076283763","ESPORTSTMNT05:1831609","200"
"105550026570060790","109625523805036198","ESPORTSTMNT01:3326264","200"
"100725845022060229","105522984812784842","ESPORTSTMNT01:1690820","200"
"101422616509070746","107566458490383672","ESPORTSTMNT05:2520328","200"
"107635420167535818","108166997302489000","ESPORTSTMNT03:2830491","200"
"107598712583969458","109675742496438362","ESPORTSTMNT03:3087241","200"
"101383792887446028","103535402770536822","ESPORTSTMNT02:1323425","200"
"98767991926151025","104841804589544577","ESPORTSTMNT03:1532721","200"
"103877925817094140","105814193355150682","ESPORTSTMNT01:1883377","200"
"107467827374313054","108171648028291354","ESPORTSTMNT03:2782866","200"
"103461966975897718","106858019191645806","ESPORTSTMNT02:2151314","200"
"105504044166670507","107893136890999272","ESPORTSTMNT06:2290507","200"
"108352305932141947","110444946768906990","ESPORTSTMNT04:2686414","200"
"99566408221114231","103478355179292279","ESPORTSTMNT03:1340678","200"
"101428372602011186","107455808282869682","ESPORTSTMNT02:2578803","200"
"105519846782566525","105562790072929574","ESPORTSTMNT04:1480456","200"
"99566406332122275","104151038622315408","ESPORTSTMNT02:1413816","200"
"107581765633427097","107659745139428757","ESPORTSTMNT01:2781996","200"
"99566408217116828","102147202649858168","ESPORTSTMNT03:1111790","200"
"101383793574360315","109919226378791869","ESPORTSTMNT05:3220498","200"
"99322214684939974","106433149543831571","ESPORTSTMNT01:2240501","200"
"105515219038427019","107468370561192045","ESPORTSTMNT06:2211079","200"
"102747101565183056","106269654661599094","ESPORTSTMNT01:2138994","200"
"99566404579461230","109625510279844676","ESPORTSTMNT01:3332801","200"
"103535282124208038","107439320898325044","ESPORTSTMNT03:2634514","200"
"98767991921462763","103535402770536702","ESPORTSTMNT01:1300964","200"
"107423086908356081","108172137678025424","ESPORTSTMNT02:2883730","200"
"100725845022060229","106433098715511242","ESPORTSTMNT01:2210439","200"
"103535282140533402","106342376606083740","ESPORTSTMNT06:1880213","200"
"99566405126602853","102147202156183752","ESPORTSTMNT02:1091143","200"
"99566404579461230","108195478958534046","ESPORTSTMNT06:2532229","200"
"107603600826620492","107639438038238631","ESPORTSTMNT02:2673196","200"
"105537444152141556","106312505038658023","ESPORTSTMNT02:2073757","200"
"105520786527322647","109467335887666755","ESPORTSTMNT05:3219243","200"
"107422385694193066","109467087407753274","ESPORTSTMNT03:3125299","200"
"105514967858969605","108746562335232156","ESPORTSTMNT05:3090746","200"
"102787200124959636","106385973094040249","ESPORTSTMNT06:1840839","200"
"108404211655217274","109467260900109132","ESPORTSTMNT04:2665761","200"
"103461966986776720","110428848767875292","LPL_A:331061","200"
"101383793572656373","104169295282942917","ESPORTSTMNT04:1220749","200"
"98767991921462763","108197674527269940","ESPORTSTMNT03:2798573","200"
"99566406066182955","102235771828621977","ESPORTSTMNT04:970871","200"
"102235771678061291","102235771816956535","ESPORTSTMNT05:1180512","200"
"99566408562477641","107530579842919072","ESPORTSTMNT03:2633784","200"
"99871276356460471","102844283019929682","ESPORTSTMNT06:1071569","200"
"99566405124618295","108322950357428971","ESPORTSTMNT02:2973397","200"
"99566405130451785","109518697662254028","ESPORTSTMNT01:3310885","200"
"104710682193583854","106668926884178393","ESPORTSTMNT03:2101373","200"
"105521674055625312","108171529104961719","ESPORTSTMNT03:2798087","200"
"99566405127798575","104174601835007716","ESPORTSTMNT01:1431671","200"
"105532791598779236","105562529627228961","ESPORTSTMNT01:1881569","200"
"101383793567806688","108176672286598185","ESPORTSTMNT04:2410408","200"
"103535282148790975","105788598726345575","ESPORTSTMNT06:1690059","200"
"105593182576105603","107597929688750284","ESPORTSTMNT01:2732895","200"
"98767991930907107","109517090067719787","ESPORTSTMNT01:3309516","200"
"98767991853197861","102181142514265725","ESPORTSTMNT01:1143433","200"
"99294153824386385","110060650668050199","ESPORTSTMNT01:3343206","200"
"107582157086477662","107682708469580289","ESPORTSTMNT05:2521074","200"
"107599040773840060","109676354720577953","ESPORTSTMNT01:3336423","200"
"107582591908138922","108286105477533884","ESPORTSTMNT01:2904390","200"
"104710316579222193","106312505038723593","ESPORTSTMNT01:2132296","200"
"106269859169658575","110017385380586647","ESPORTSTMNT01:3341830","200"
"105709099258505657","108197674527335506","ESPORTSTMNT03:2885497","200"
"101383793574360315","103462460596524839","ESPORTSTMNT05:1390241","200"
"101383793574360315","108998961199633567","ESPORTSTMNT02:3045836","200"
"104367068120825486","109704924272861554","ESPORTSTMNT03:3123174","200"
"106269804045322803","110847390580148392","ESPORTSTMNT01:3417386","200"
"98767991853197861","110371551279147591","ESPORTSTMNT01:3416074","200"
"102787200149928963","110535609417029763","ESPORTSTMNT04:2692309","200"
"104841890701948065","110411420270240441","ESPORTSTMNT01:3415616","200"
"98767991853197861","110371551279147580","ESPORTSTMNT01:3413260","200"
"109696126554266494","110422923165247467","ESPORTSTMNT01:3412754","200"
"107565493716773932","110535609417095365","ESPORTSTMNT05:3241486","200"
"105550033967461806","110378429158160383","ESPORTSTMNT01:3413893","200"
"110428362822825796","110574243271705523","ESPORTSTMNT01:3412799","200"
"99294153824386385","110767955468411242","ESPORTSTMNT01:3410273","200"
"106827832203113865","110507407706737257","ESPORTSTMNT01:3406900","200"
"109642680932009857","110425082379044738","ESPORTSTMNT01:3404825","200"
"107574959289974368","110425027634889658","ESPORTSTMNT04:2689391","200"
"106972778172351142","110303581088528239","ESPORTSTMNT03:3193826","200"
"107581765633427097","110377170770228005","ESPORTSTMNT03:3189723","200"
"110534732558665825","110733838936446933","ESPORTSTMNT03:3196058","200"
"99566404585387054","110371551279081855","ESPORTSTMNT02:3221591","200"
"104367068120825486","110423696149447675","ESPORTSTMNT02:3221584","200"
"107067065368380132","110428723805337009","ESPORTSTMNT03:3183492","200"
"109485342651298305","110413246204091788","ESPORTSTMNT03:3184253","200"
"107564167676290839","110349992510595793","ESPORTSTMNT03:3185114","200"
"105593951536470384","110425027634824103","ESPORTSTMNT06:2820279","200"
"102787200124959636","110418013824099267","ESPORTSTMNT01:3391402","200"
"99566405126602853","103462454882440912","ESPORTSTMNT01:1313707","200"
"109697683685398040","110418013824099243","ESPORTSTMNT04:2683429","200"
"107603554304287575","107639438038238635","ESPORTSTMNT02:2671501","200"
"105550059790656435","109625523804970598","ESPORTSTMNT03:3090539","200"
"98767991892579754","106032946468743429","ESPORTSTMNT06:1721084","200"
"99566405126602853","109518697662319645","ESPORTSTMNT01:3323441","200"
"98767991921462763","107439320898324937","ESPORTSTMNT01:2733228","200"
"99294153828264740","108998961199699139","ESPORTSTMNT02:3047861","200"
"102787200129022886","110444842959428598","ESPORTSTMNT01:3385641","200"
"99566405124618295","107561230007919422","ESPORTSTMNT02:2650506","200"
"105521412995449549","107893386212454334","ESPORTSTMNT04:2230405","200"
"103935642731826448","105825298622641206","ESPORTSTMNT02:1735581","200"
"105550059790656435","109625578822531946","ESPORTSTMNT02:3149299","200"
"107581206998502078","108285604036951180","ESPORTSTMNT01:2984976","200"
"98767991887166787","110428848767941104","LPL_A:335421","200"
"99566404848691211","101978171960151958","ESPORTSTMNT01:1121263","200"
"105553729458550723","106385973094105859","ESPORTSTMNT05:2060236","200"
"105550001032913831","105562692794240179","ESPORTSTMNT01:1892042","200"
"100205576309502431","102147202636488786","ESPORTSTMNT01:1156021","200"
"105536918475957734","105809669327281343","ESPORTSTMNT02:1735340","200"
"106371141659311452","108155414585630227","ESPORTSTMNT05:2980404","200"
"99566404855553726","110428848767875301","LPL_B:327317","200"
"103877891572305836","105782677798925087","ESPORTSTMNT06:1571157","200"
"105521706535388095","110016463799050157","ESPORTSTMNT05:3222290","200"
"105553606349477427","105596416965466975","ESPORTSTMNT04:1481175","200"
"107582173169864040","109698068137827749","ESPORTSTMNT03:3099792","200"
"99566405124618295","106273298443342386","ESPORTSTMNT03:1990529","200"
"103461966971048042","103462454882440846","ESPORTSTMNT01:1323219","200"
"107598878262940546","107728324360587371","ESPORTSTMNT03:2546587","200"
"106302593752767294","108211948457194139","ESPORTSTMNT04:2471645","200"
"107598712583969458","108285990206263353","ESPORTSTMNT03:2793889","200"
"100725845018863243","103540364360693563","ESPORTSTMNT01:1306112","200"
"103535282140533402","106342376606083764","ESPORTSTMNT06:1880141","200"
"98767991926151025","104841804589544576","ESPORTSTMNT03:1532710","200"
"105521408363571548","105562656844501221","ESPORTSTMNT03:1762177","200"
"105550059790656435","109625578822597607","ESPORTSTMNT02:3161887","200"
"99566404581868574","105522984812719239","ESPORTSTMNT03:1763434","200"
"105520788833075738","106306810681939645","ESPORTSTMNT03:2050460","200"
"101383792559569368","110411420270174780","ESPORTSTMNT01:3383568","200"
"107582598621022934","108286105477599502","ESPORTSTMNT02:2820652","200"
"105503535895066182","108158210395773146","ESPORTSTMNT03:2798782","200"
"107456994699991548","107457033676741294","ESPORTSTMNT03:2549006","200"
"101428372607057464","102147204150305419","ESPORTSTMNT01:1155844","200"
"103495716836203404","104248884640266609","ESPORTSTMNT06:1270655","200"
"103495716836203404","109467188126732098","ESPORTSTMNT05:3218376","200"
"99294153826603341","102147201385143710","ESPORTSTMNT02:1105202","200"
"99566406064558732","107566458490449294","ESPORTSTMNT04:2170313","200"
"107456355516438414","109539770335869557","ESPORTSTMNT05:3219553","200"
"107582178455767077","110372140233682010","ESPORTSTMNT01:3368500","200"
"104202382255290736","108211865723912189","ESPORTSTMNT02:2778108","200"
"102787200151698443","105945560581644229","ESPORTSTMNT06:1690261","200"
"100289931264192378","105663539175401690","ESPORTSTMNT01:1890860","200"
"99294153824386385","108206581964974050","ESPORTSTMNT03:2781561","200"
"107582150625414483","108319714740709481","ESPORTSTMNT02:2789873","200"
"98926509885559666","104174992718881856","ESPORTSTMNT02:1385056","200"
"99322214691747156","102844294669568199","ESPORTSTMNT06:1061156","200"
"99566405129589291","106858019191711402","ESPORTSTMNT02:2141802","200"
"105550059790656435","109625578822597542","ESPORTSTMNT02:3159069","200"
"106806773698472633","109672513960269677","ESPORTSTMNT03:3097592","200"
"100289931264192378","107417471556465445","ESPORTSTMNT03:2546945","200"
"103535282146169523","104253013262865954","ESPORTSTMNT06:1300688","200"
"105550036134585264","109625578822597569","ESPORTSTMNT01:3325573","200"
"107423083507599175","108172137677894178","ESPORTSTMNT02:2786389","200"
"102787200126663579","106312505038723640","ESPORTSTMNT03:2054486","200"
"105515219038427019","107468370561192043","ESPORTSTMNT06:2210595","200"
"105503948999800557","107417741194085505","ESPORTSTMNT01:2691334","200"
"108352305932141947","110535609417029691","ESPORTSTMNT04:2693199","200"
"99566406332987990","110847390580148354","ESPORTSTMNT01:3413275","200"
"105550001032913831","110413246204026226","ESPORTSTMNT01:3412587","200"
"107416483509696259","110343648528824409","ESPORTSTMNT04:2691891","200"
"98767991877340524","110755083390921842","ESPORTSTMNT03:3194842","200"
"103461966971048042","110574245860979958","ESPORTSTMNT03:3181911","200"
"99566405126602853","110574245860979964","ESPORTSTMNT03:3182464","200"
"103535282119620510","110395308895739923","ESPORTSTMNT03:3179679","200"
"98767991853197861","110371551279081954","ESPORTSTMNT02:3217972","200"
"103535282119620510","110395308895739936","ESPORTSTMNT02:3216812","200"
"107603548241713732","108285920951532492","ESPORTSTMNT02:2775104","200"
"102787200132955066","106311748112079124","ESPORTSTMNT01:2138420","200"
"98767991877340524","104174992718947466","ESPORTSTMNT03:1404918","200"
"108448995754333242","109539799649228752","ESPORTSTMNT03:3120860","200"
"101383792559569368","107530554769004464","ESPORTSTMNT02:2660254","200"
"107467827374313054","110349992510464585","ESPORTSTMNT03:3169006","200"
"108203159356403647","108369517277043718","ESPORTSTMNT04:2290313","200"
"102787200126663579","109467087407753242","ESPORTSTMNT02:3158304","200"
"99566404848691211","101978171972931515","ESPORTSTMNT01:1121486","200"
"105520784254806142","108172713550656550","ESPORTSTMNT05:2940830","200"
"104367068120825486","107693721182735727","ESPORTSTMNT01:2745522","200"
"107700199633958891","107693721183063585","ESPORTSTMNT03:2636995","200"
"98767991926151025","101762624233946030","ESPORTSTMNT05:1120658","200"
"104710373370426042","105596416965401407","ESPORTSTMNT05:1820863","200"
"107467834753797729","109467087407753304","ESPORTSTMNT02:3158392","200"
"105521637552587612","108171529105027283","ESPORTSTMNT01:2964901","200"
"98767991877340524","108206581965039674","ESPORTSTMNT03:2884954","200"
"107597870621708485","108155414585630221","ESPORTSTMNT04:2431352","200"
"99566405123587075","106273298443276783","ESPORTSTMNT03:1990423","200"
"100205573496804586","109625152897726680","ESPORTSTMNT02:3161348","200"
"103461966981927044","106273298443408009","ESPORTSTMNT02:2064838","200"
"107574959289974368","108171576058929574","ESPORTSTMNT02:2882306","200"
"102235771678061291","105562822076349331","ESPORTSTMNT05:1820536","200"
"98767991860392497","107458367241281200","ESPORTSTMNT01:2732412","200"
"98767991853197861","109625152897595448","ESPORTSTMNT01:3304926","200"
"100205573495116443","104242514816168355","ESPORTSTMNT03:1382479","200"
"103535282124208038","103535402770536780","ESPORTSTMNT01:1301169","200"
"103495716886587312","104248884640266621","ESPORTSTMNT04:1250467","200"
"105550036134585264","109625523804970584","ESPORTSTMNT03:3095350","200"
"99566405127798575","106273298443342397","ESPORTSTMNT02:1921543","200"
"104710383210356454","108172713550656564","ESPORTSTMNT04:2431176","200"
"105550024238752685","108211175222847852","ESPORTSTMNT04:2431417","200"
"105520784254806142","106306810681939623","ESPORTSTMNT01:2134724","200"
"105559480124455983","108746562335232136","ESPORTSTMNT05:3090774","200"
"102787200120306562","108158210395838722","ESPORTSTMNT02:2913962","200"
"103461966951059521","109517090067719771","ESPORTSTMNT01:3300211","200"
"107251231972989211","109749565998774102","ESPORTSTMNT02:3163891","200"
"100285330168091787","105562833913532780","ESPORTSTMNT03:1757934","200"
"99566408222831088","107405912049987671","ESPORTSTMNT03:2635970","200"
"99566405129589291","108471075295550160","ESPORTSTMNT03:2893480","200"
"105521674055625312","105522904802952623","ESPORTSTMNT02:1692716","200"
"104367068120825486","110198981285459177","ESPORTSTMNT04:2674687","200"
"109699042809864069","109699002332890783","ESPORTSTMNT03:3098512","200"
"107580483738977500","107921310288529244","ESPORTSTMNT03:2652023","200"
"105521674055625312","109467311740709836","ESPORTSTMNT01:3308027","200"
"107258254469504696","109749565998839719","ESPORTSTMNT03:3130649","200"
"99566404854685458","108998961199633573","ESPORTSTMNT02:3056394","200"
"104270958001747936","106269769725055346","ESPORTSTMNT03:2051704","200"
"102787200149928963","109467311740775488","ESPORTSTMNT03:3129232","200"
"107581284487120142","110411420270240401","ESPORTSTMNT01:3371877","200"
"105536643047197642","109467188126797736","ESPORTSTMNT05:3219555","200"
"103461966951059521","105522217233187985","ESPORTSTMNT03:1672480","200"
"105550003470349739","107565607661108919","ESPORTSTMNT03:2544211","200"
"99566404578577099","102181142510136924","ESPORTSTMNT01:1141450","200"
"103461966965149786","103462460596524873","ESPORTSTMNT05:1390233","200"
"102787200151698443","109467129926983461","ESPORTSTMNT05:3219319","200"
"101383792559569368","102147203815426248","ESPORTSTMNT01:1142205","200"
"105521504308341229","106295147954247026","ESPORTSTMNT03:2003225","200"
"105594135137147298","108746545968926580","ESPORTSTMNT05:3090458","200"
"100725845018863243","106269654661599083","ESPORTSTMNT01:2137598","200"
"100205573495116443","107418445248279897","ESPORTSTMNT02:2674677","200"
"99294153826603341","102147201380425105","ESPORTSTMNT02:1115847","200"
"101428372602011186","105788450738353445","ESPORTSTMNT02:1800191","200"
"103535282113853330","105562790519126636","ESPORTSTMNT04:1560316","200"
"105520786527322647","106306810681874065","ESPORTSTMNT03:2002608","200"
"105520822049210915","110424377526038723","ESPORTSTMNT04:2687237","200"
"99566408562477641","105551618308297943","ESPORTSTMNT03:1755076","200"
"107582181197106556","107682708469908003","ESPORTSTMNT01:2780175","200"
"98926509892121852","102147201351851335","ESPORTSTMNT01:1144602","200"
"99566408356697119","106308285699315614","ESPORTSTMNT03:2093952","200"
"101428372605353526","107455808283197546","ESPORTSTMNT03:2637247","200"
"98767991877340524","105522217233188011","ESPORTSTMNT02:1681735","200"
"101383793572656373","109466537707317005","ESPORTSTMNT06:2768899","200"
"105553729458550723","106385973094105803","ESPORTSTMNT06:1830663","200"
"99566404585387054","109625152897595367","ESPORTSTMNT03:3100826","200"
"102787200129022886","102804705896967751","ESPORTSTMNT04:1010356","200"
"99566408217116828","102147202640683102","ESPORTSTMNT03:1133756","200"
"105515345386578249","106313258183718165","ESPORTSTMNT06:1860076","200"
