"platformgameid","winningteam"
"ESPORTSTMNT01:1721347","100"
"ESPORTSTMNT01:1134456","100"
"ESPORTSTMNT01:1304122","100"
"ESPORTSTMNT01:1121486","100"
"ESPORTSTMNT01:1131104","100"
"ESPORTSTMNT01:1370327","100"
"ESPORTSTMNT01:1324954","200"
"ESPORTSTMNT01:1152972","200"
"ESPORTSTMNT01:1155992","200"
"ESPORTSTMNT01:1121404","200"
"ESPORTSTMNT01:1120949","100"
"ESPORTSTMNT01:1162795","200"
"ESPORTSTMNT01:1134154","100"
"ESPORTSTMNT01:1424290","100"
"ESPORTSTMNT01:1414100","200"
"ESPORTSTMNT01:1132134","100"
"ESPORTSTMNT01:1110177","100"
"ESPORTSTMNT01:1304282","100"
"ESPORTSTMNT01:1303861","200"
"ESPORTSTMNT01:1144352","200"
"ESPORTSTMNT01:1111467","200"
"ESPORTSTMNT01:1683114","200"
"ESPORTSTMNT01:1682464","100"
"ESPORTSTMNT01:1142107","100"
"ESPORTSTMNT01:1323305","200"
"ESPORTSTMNT01:1165560","200"
"ESPORTSTMNT01:1295512","100"
"ESPORTSTMNT01:1144374","100"
"ESPORTSTMNT01:1121364","100"
"ESPORTSTMNT01:1132954","200"
"ESPORTSTMNT01:1143934","100"
"ESPORTSTMNT01:1121617","100"
"ESPORTSTMNT01:1321408","100"
"ESPORTSTMNT01:1162774","100"
"ESPORTSTMNT01:1121154","200"
"ESPORTSTMNT01:1165976","200"
"ESPORTSTMNT01:1295562","200"
"ESPORTSTMNT01:1162393","200"
"ESPORTSTMNT01:1165940","100"
"ESPORTSTMNT01:1323352","200"
"ESPORTSTMNT01:1133822","200"
"ESPORTSTMNT01:1434678","100"
"ESPORTSTMNT01:1153060","100"
"ESPORTSTMNT01:1132877","200"
"ESPORTSTMNT01:1360862","100"
"ESPORTSTMNT01:1161872","100"
"ESPORTSTMNT01:1151650","100"
"ESPORTSTMNT01:1155844","100"
"ESPORTSTMNT01:1424232","100"
"ESPORTSTMNT01:1156544","200"
"ESPORTSTMNT01:1315325","200"
"ESPORTSTMNT01:1164817","100"
"ESPORTSTMNT01:1162738","200"
"ESPORTSTMNT01:1434862","200"
"ESPORTSTMNT01:1433919","100"
"ESPORTSTMNT01:1435240","100"
"ESPORTSTMNT01:1131932","100"
"ESPORTSTMNT01:1436351","100"
"ESPORTSTMNT01:1144891","200"
"ESPORTSTMNT01:1141504","100"
"ESPORTSTMNT01:1110367","200"
"ESPORTSTMNT01:1403480","100"
"ESPORTSTMNT01:1425770","200"
"ESPORTSTMNT01:1120632","200"
"ESPORTSTMNT01:1120602","100"
"ESPORTSTMNT01:1304264","200"
"ESPORTSTMNT01:1144770","100"
"ESPORTSTMNT01:1682619","100"
"ESPORTSTMNT01:1291789","200"
"ESPORTSTMNT01:1682441","100"
"ESPORTSTMNT01:1111468","100"
"ESPORTSTMNT01:1134226","100"
"ESPORTSTMNT01:1155089","100"
"ESPORTSTMNT01:1301183","100"
"ESPORTSTMNT01:1120782","200"
"ESPORTSTMNT01:1325811","100"
"ESPORTSTMNT01:1120735","100"
"ESPORTSTMNT01:1121475","100"
"ESPORTSTMNT01:1691433","100"
"ESPORTSTMNT01:1434263","100"
"ESPORTSTMNT01:1121600","200"
"ESPORTSTMNT01:1166187","200"
"ESPORTSTMNT01:1682791","100"
"ESPORTSTMNT01:1324492","100"
"ESPORTSTMNT01:1141771","100"
"ESPORTSTMNT01:1433923","200"
"ESPORTSTMNT01:1325195","200"
"ESPORTSTMNT01:1133144","200"
"ESPORTSTMNT01:1380452","100"
"ESPORTSTMNT01:1143510","100"
"ESPORTSTMNT01:1131623","200"
"ESPORTSTMNT01:1120767","100"
"ESPORTSTMNT01:1304356","200"
"ESPORTSTMNT01:1296638","100"
"ESPORTSTMNT01:1144232","100"
"ESPORTSTMNT01:1144581","100"
"ESPORTSTMNT01:1121642","200"
"ESPORTSTMNT01:1301169","200"
"ESPORTSTMNT01:1155690","100"
"ESPORTSTMNT01:1323375","200"
"ESPORTSTMNT01:1370789","200"
"ESPORTSTMNT01:1693191","200"
"ESPORTSTMNT01:1144254","200"
"ESPORTSTMNT01:1424842","100"
"ESPORTSTMNT01:1325066","200"
"ESPORTSTMNT01:1403767","200"
"ESPORTSTMNT01:1434546","200"
"ESPORTSTMNT01:1295356","200"
"ESPORTSTMNT01:1414831","100"
"ESPORTSTMNT01:1403894","100"
"ESPORTSTMNT01:1144257","100"
"ESPORTSTMNT01:1434288","200"
"ESPORTSTMNT01:1304035","200"
"ESPORTSTMNT01:1432034","200"
"ESPORTSTMNT01:1682689","100"
"ESPORTSTMNT01:1415210","200"
"ESPORTSTMNT01:1292974","200"
"ESPORTSTMNT01:1692620","200"
"ESPORTSTMNT01:1324117","100"
"ESPORTSTMNT01:1153140","100"
"ESPORTSTMNT01:1692743","200"
"ESPORTSTMNT01:1321729","100"
"ESPORTSTMNT01:1120720","100"
"ESPORTSTMNT01:1401435","100"
"ESPORTSTMNT01:1144855","100"
"ESPORTSTMNT01:1691020","200"
"ESPORTSTMNT01:1304785","200"
"ESPORTSTMNT01:1401778","200"
"ESPORTSTMNT01:1304217","200"
"ESPORTSTMNT01:1306323","200"
"ESPORTSTMNT01:1155853","100"
"ESPORTSTMNT01:1152624","200"
"ESPORTSTMNT01:1325005","100"
"ESPORTSTMNT01:1154612","100"
"ESPORTSTMNT01:1131837","100"
"ESPORTSTMNT01:1152844","200"
"ESPORTSTMNT01:1144177","100"
"ESPORTSTMNT01:1121594","200"
"ESPORTSTMNT01:1435099","200"
"ESPORTSTMNT01:1133789","100"
"ESPORTSTMNT01:1121593","200"
"ESPORTSTMNT01:1143433","100"
"ESPORTSTMNT01:1692360","100"
"ESPORTSTMNT01:1143834","100"
"ESPORTSTMNT01:1161803","200"
"ESPORTSTMNT01:1415443","200"
"ESPORTSTMNT01:1325858","100"
"ESPORTSTMNT01:1155831","100"
"ESPORTSTMNT01:1360861","200"
"ESPORTSTMNT01:1721630","200"
"ESPORTSTMNT01:1110210","100"
"ESPORTSTMNT01:1304032","100"
"ESPORTSTMNT01:1156576","100"
"ESPORTSTMNT01:1121458","200"
"ESPORTSTMNT01:1144530","200"
"ESPORTSTMNT01:1304399","100"
"ESPORTSTMNT01:1404251","100"
"ESPORTSTMNT01:1691675","100"
"ESPORTSTMNT01:1692256","100"
"ESPORTSTMNT01:1324479","100"
"ESPORTSTMNT01:1143414","200"
"ESPORTSTMNT01:1323323","100"
"ESPORTSTMNT01:1690828","100"
"ESPORTSTMNT01:1884045","200"
"ESPORTSTMNT01:1310866","100"
"ESPORTSTMNT01:1682914","200"
"ESPORTSTMNT01:1682126","100"
"ESPORTSTMNT01:1431634","100"
"ESPORTSTMNT01:1303999","200"
"ESPORTSTMNT01:1302651","100"
"ESPORTSTMNT01:1291192","100"
"ESPORTSTMNT01:1370231","200"
"ESPORTSTMNT01:1720372","100"
"ESPORTSTMNT01:1134632","100"
"ESPORTSTMNT01:1415485","100"
"ESPORTSTMNT01:1141465","100"
"ESPORTSTMNT01:1131701","200"
"ESPORTSTMNT01:1163171","100"
"ESPORTSTMNT01:1321377","100"
"ESPORTSTMNT01:1304691","200"
"ESPORTSTMNT01:1682289","100"
"ESPORTSTMNT01:1120621","100"
"ESPORTSTMNT01:1144875","200"
"ESPORTSTMNT01:1134623","200"
"ESPORTSTMNT01:1434842","100"
"ESPORTSTMNT01:1131144","100"
"ESPORTSTMNT01:1131870","200"
"ESPORTSTMNT01:1721719","200"
"ESPORTSTMNT01:1144513","100"
"ESPORTSTMNT01:1161889","200"
"ESPORTSTMNT01:1401197","100"
"ESPORTSTMNT01:1414038","200"
"ESPORTSTMNT01:1436582","100"
"ESPORTSTMNT01:1424822","100"
"ESPORTSTMNT01:1110392","100"
"ESPORTSTMNT01:1152819","100"
"ESPORTSTMNT01:1294191","200"
"ESPORTSTMNT01:1401802","100"
"ESPORTSTMNT01:1886590","100"
"ESPORTSTMNT01:1683756","200"
"ESPORTSTMNT01:1432078","200"
"ESPORTSTMNT01:1110323","200"
"ESPORTSTMNT01:1310892","200"
"ESPORTSTMNT01:1165805","100"
"ESPORTSTMNT01:1424279","200"
"ESPORTSTMNT01:1370345","200"
"ESPORTSTMNT01:1413961","100"
"ESPORTSTMNT01:1156061","100"
"ESPORTSTMNT01:1142007","200"
"ESPORTSTMNT01:1324430","200"
"ESPORTSTMNT01:1692355","200"
"ESPORTSTMNT01:1165782","100"
"ESPORTSTMNT01:1292960","100"
"ESPORTSTMNT01:1163030","200"
"ESPORTSTMNT01:1131926","100"
"ESPORTSTMNT01:1132838","200"
"ESPORTSTMNT01:1141642","100"
"ESPORTSTMNT01:1155681","100"
"ESPORTSTMNT01:1424300","200"
"ESPORTSTMNT01:1295402","200"
"ESPORTSTMNT01:1415425","100"
"ESPORTSTMNT01:1144560","100"
"ESPORTSTMNT01:1436394","100"
"ESPORTSTMNT01:1121170","100"
"ESPORTSTMNT01:1131416","100"
"ESPORTSTMNT01:1370238","200"
"ESPORTSTMNT01:1121389","200"
"ESPORTSTMNT01:1404256","200"
"ESPORTSTMNT01:1313662","100"
"ESPORTSTMNT01:1155977","100"
"ESPORTSTMNT01:1434242","100"
"ESPORTSTMNT01:1293885","100"
"ESPORTSTMNT01:1721548","100"
"ESPORTSTMNT01:1414874","100"
"ESPORTSTMNT01:1691681","100"
"ESPORTSTMNT01:1304075","100"
"ESPORTSTMNT01:1303509","200"
"ESPORTSTMNT01:1143907","100"
"ESPORTSTMNT01:1405646","200"
"ESPORTSTMNT01:1300956","200"
"ESPORTSTMNT01:1720252","100"
"ESPORTSTMNT01:1134592","200"
"ESPORTSTMNT01:1432166","100"
"ESPORTSTMNT01:1414048","200"
"ESPORTSTMNT01:1121298","200"
"ESPORTSTMNT01:1415320","100"
"ESPORTSTMNT01:1152865","100"
"ESPORTSTMNT01:1291426","100"
"ESPORTSTMNT01:1143700","100"
"ESPORTSTMNT01:1131665","100"
"ESPORTSTMNT01:1144908","100"
"ESPORTSTMNT01:1144314","200"
"ESPORTSTMNT01:1295467","100"
"ESPORTSTMNT01:1155210","200"
"ESPORTSTMNT01:1162958","200"
"ESPORTSTMNT01:1291442","100"
"ESPORTSTMNT01:1163227","100"
"ESPORTSTMNT01:1110198","100"
"ESPORTSTMNT01:1165836","100"
"ESPORTSTMNT01:1414121","200"
"ESPORTSTMNT01:1692281","200"
"ESPORTSTMNT01:1141707","200"
"ESPORTSTMNT01:1301290","100"
"ESPORTSTMNT01:1884446","200"
"ESPORTSTMNT01:1131825","100"
"ESPORTSTMNT01:1720608","200"
"ESPORTSTMNT01:1434277","200"
"ESPORTSTMNT01:1306413","100"
"ESPORTSTMNT01:1324190","100"
"ESPORTSTMNT01:1142152","200"
"ESPORTSTMNT01:1426081","200"
"ESPORTSTMNT01:1156670","100"
"ESPORTSTMNT01:1152587","200"
"ESPORTSTMNT01:1295489","100"
"ESPORTSTMNT01:1424241","100"
"ESPORTSTMNT01:1431635","200"
"ESPORTSTMNT01:1141996","200"
"ESPORTSTMNT01:1295834","200"
"ESPORTSTMNT01:1306395","100"
"ESPORTSTMNT01:1162363","200"
"ESPORTSTMNT01:1692696","200"
"ESPORTSTMNT01:1415487","200"
"ESPORTSTMNT01:1155105","200"
"ESPORTSTMNT01:1293929","200"
"ESPORTSTMNT01:1313913","100"
"ESPORTSTMNT01:1401620","200"
"ESPORTSTMNT01:1291187","100"
"ESPORTSTMNT01:1291845","100"
"ESPORTSTMNT01:1131451","200"
"ESPORTSTMNT01:1325881","100"
"ESPORTSTMNT01:1360811","200"
"ESPORTSTMNT01:1143542","100"
"ESPORTSTMNT01:1432514","100"
"ESPORTSTMNT01:1720186","200"
"ESPORTSTMNT01:1303478","100"
"ESPORTSTMNT01:1432477","100"
"ESPORTSTMNT01:1306283","200"
"ESPORTSTMNT01:1156604","200"
"ESPORTSTMNT01:1693052","100"
"ESPORTSTMNT01:1110336","200"
"ESPORTSTMNT01:1401600","100"
"ESPORTSTMNT01:1325157","200"
"ESPORTSTMNT01:1694062","100"
"ESPORTSTMNT01:1401225","200"
"ESPORTSTMNT01:1896234","100"
"ESPORTSTMNT01:1886144","200"
"ESPORTSTMNT01:1370748","200"
"ESPORTSTMNT01:1432496","200"
"ESPORTSTMNT01:1120779","200"
"ESPORTSTMNT01:1156525","200"
"ESPORTSTMNT01:1435170","100"
"ESPORTSTMNT01:1313856","100"
"ESPORTSTMNT01:1291835","100"
"ESPORTSTMNT01:1141515","100"
"ESPORTSTMNT01:1304671","100"
"ESPORTSTMNT01:1380453","100"
"ESPORTSTMNT01:1434821","100"
"ESPORTSTMNT01:1732093","100"
"ESPORTSTMNT01:1304169","100"
"ESPORTSTMNT01:1690585","100"
"ESPORTSTMNT01:1435118","200"
"ESPORTSTMNT01:1156461","200"
"ESPORTSTMNT01:1432055","200"
"ESPORTSTMNT01:1144265","100"
"ESPORTSTMNT01:1110218","100"
"ESPORTSTMNT01:1156653","100"
"ESPORTSTMNT01:1304302","100"
"ESPORTSTMNT01:1306381","100"
"ESPORTSTMNT01:1304020","100"
"ESPORTSTMNT01:1306343","100"
"ESPORTSTMNT01:1403832","200"
"ESPORTSTMNT01:1304324","100"
"ESPORTSTMNT01:1120997","200"
"ESPORTSTMNT01:1403878","200"
"ESPORTSTMNT01:1887363","200"
"ESPORTSTMNT01:1721748","100"
"ESPORTSTMNT01:1325077","100"
"ESPORTSTMNT01:1693182","200"
"ESPORTSTMNT01:1161779","200"
"ESPORTSTMNT01:1360791","200"
"ESPORTSTMNT01:1425178","100"
"ESPORTSTMNT01:1294710","100"
"ESPORTSTMNT01:1131058","100"
"ESPORTSTMNT01:1162943","200"
"ESPORTSTMNT01:1390072","200"
"ESPORTSTMNT01:1143282","100"
"ESPORTSTMNT01:1325012","100"
"ESPORTSTMNT01:1132064","200"
"ESPORTSTMNT01:1134013","100"
"ESPORTSTMNT01:1414138","100"
"ESPORTSTMNT01:1415533","100"
"ESPORTSTMNT01:1304794","200"
"ESPORTSTMNT01:1434745","200"
"ESPORTSTMNT01:1370167","100"
"ESPORTSTMNT01:1133776","200"
"ESPORTSTMNT01:1292345","100"
"ESPORTSTMNT01:1692300","100"
"ESPORTSTMNT01:1435130","100"
"ESPORTSTMNT01:1887390","200"
"ESPORTSTMNT01:1682498","200"
"ESPORTSTMNT01:1682639","100"
"ESPORTSTMNT01:1153382","100"
"ESPORTSTMNT01:1304054","200"
"ESPORTSTMNT01:1421812","100"
"ESPORTSTMNT01:1294750","200"
"ESPORTSTMNT01:1293964","100"
"ESPORTSTMNT01:1306165","100"
"ESPORTSTMNT01:1683665","100"
"ESPORTSTMNT01:1886841","100"
"ESPORTSTMNT01:1883451","100"
"ESPORTSTMNT01:1110362","100"
"ESPORTSTMNT01:1295541","200"
"ESPORTSTMNT01:1370145","100"
"ESPORTSTMNT01:1436576","100"
"ESPORTSTMNT01:1144336","100"
"ESPORTSTMNT01:1144130","100"
"ESPORTSTMNT01:1301305","100"
"ESPORTSTMNT01:1120737","100"
"ESPORTSTMNT01:1690549","200"
"ESPORTSTMNT01:1882184","100"
"ESPORTSTMNT01:1694108","100"
"ESPORTSTMNT01:1401460","100"
"ESPORTSTMNT01:1131249","200"
"ESPORTSTMNT01:1683350","100"
"ESPORTSTMNT01:1313299","200"
"ESPORTSTMNT01:1721796","200"
"ESPORTSTMNT01:1425144","200"
"ESPORTSTMNT01:1303974","200"
"ESPORTSTMNT01:1306047","200"
"ESPORTSTMNT01:1683151","200"
"ESPORTSTMNT01:1121449","100"
"ESPORTSTMNT01:1881095","100"
"ESPORTSTMNT01:1165430","100"
"ESPORTSTMNT01:1435199","100"
"ESPORTSTMNT01:1432459","200"
"ESPORTSTMNT01:1682629","200"
"ESPORTSTMNT01:1161958","100"
"ESPORTSTMNT01:1162257","200"
"ESPORTSTMNT01:1431495","100"
"ESPORTSTMNT01:1302595","200"
"ESPORTSTMNT01:1720284","200"
"ESPORTSTMNT01:1162529","200"
"ESPORTSTMNT01:1424245","200"
"ESPORTSTMNT01:1144744","100"
"ESPORTSTMNT01:1435111","100"
"ESPORTSTMNT01:1141965","200"
"ESPORTSTMNT01:1325773","200"
"ESPORTSTMNT01:1143729","100"
"ESPORTSTMNT01:1436528","200"
"ESPORTSTMNT01:1166043","100"
"ESPORTSTMNT01:1415378","200"
"ESPORTSTMNT01:1294738","200"
"ESPORTSTMNT01:1152530","100"
"ESPORTSTMNT01:1431397","200"
"ESPORTSTMNT01:1155325","200"
"ESPORTSTMNT01:1133616","200"
"ESPORTSTMNT01:1693596","200"
"ESPORTSTMNT01:1310842","100"
"ESPORTSTMNT01:1156097","100"
"ESPORTSTMNT01:1413742","100"
"ESPORTSTMNT01:1121251","200"
"ESPORTSTMNT01:1144659","200"
"ESPORTSTMNT01:1315424","200"
"ESPORTSTMNT01:1415331","200"
"ESPORTSTMNT01:1163194","100"
"ESPORTSTMNT01:1121284","200"
"ESPORTSTMNT01:1303904","100"
"ESPORTSTMNT01:1165849","100"
"ESPORTSTMNT01:1120424","100"
"ESPORTSTMNT01:1721721","200"
"ESPORTSTMNT01:2030222","200"
"ESPORTSTMNT01:1161934","100"
"ESPORTSTMNT01:1694012","100"
"ESPORTSTMNT01:1413786","200"
"ESPORTSTMNT01:1164865","100"
"ESPORTSTMNT01:1390082","200"
"ESPORTSTMNT01:1414064","200"
"ESPORTSTMNT01:1415446","100"
"ESPORTSTMNT01:1884343","100"
"ESPORTSTMNT01:1431796","100"
"ESPORTSTMNT01:1121091","100"
"ESPORTSTMNT01:1692326","100"
"ESPORTSTMNT01:1144497","100"
"ESPORTSTMNT01:1156633","100"
"ESPORTSTMNT01:1132010","100"
"ESPORTSTMNT01:1110205","200"
"ESPORTSTMNT01:1121263","200"
"ESPORTSTMNT01:1435224","100"
"ESPORTSTMNT01:1403860","100"
"ESPORTSTMNT01:1152584","200"
"ESPORTSTMNT01:1294813","100"
"ESPORTSTMNT01:1892556","200"
"ESPORTSTMNT01:1431514","200"
"ESPORTSTMNT01:1881259","200"
"ESPORTSTMNT01:1390080","100"
"ESPORTSTMNT01:1304412","100"
"ESPORTSTMNT01:1130750","200"
"ESPORTSTMNT01:2030655","100"
"ESPORTSTMNT01:1436622","200"
"ESPORTSTMNT01:1891135","100"
"ESPORTSTMNT01:1886569","200"
"ESPORTSTMNT01:1325837","100"
"ESPORTSTMNT01:1293950","200"
"ESPORTSTMNT01:1436575","200"
"ESPORTSTMNT01:1314148","100"
"ESPORTSTMNT01:1121126","100"
"ESPORTSTMNT01:1436504","100"
"ESPORTSTMNT01:1291470","200"
"ESPORTSTMNT01:1306370","200"
"ESPORTSTMNT01:1133957","200"
"ESPORTSTMNT01:1131894","100"
"ESPORTSTMNT01:1313804","100"
"ESPORTSTMNT01:1291458","200"
"ESPORTSTMNT01:1691379","200"
"ESPORTSTMNT01:1424894","200"
"ESPORTSTMNT01:1323953","100"
"ESPORTSTMNT01:1403902","100"
"ESPORTSTMNT01:1436451","100"
"ESPORTSTMNT01:2030659","100"
"ESPORTSTMNT01:1315538","200"
"ESPORTSTMNT01:1121641","100"
"ESPORTSTMNT01:1151693","200"
"ESPORTSTMNT01:1142270","100"
"ESPORTSTMNT01:1722109","100"
"ESPORTSTMNT01:1152631","200"
"ESPORTSTMNT01:1891950","100"
"ESPORTSTMNT01:1435307","100"
"ESPORTSTMNT01:1380456","200"
"ESPORTSTMNT01:1295369","100"
"ESPORTSTMNT01:1313839","200"
"ESPORTSTMNT01:2030652","100"
"ESPORTSTMNT01:1436460","200"
"ESPORTSTMNT01:1134185","200"
"ESPORTSTMNT01:1722552","100"
"ESPORTSTMNT01:1155300","200"
"ESPORTSTMNT01:1153358","200"
"ESPORTSTMNT01:1424448","200"
"ESPORTSTMNT01:1294784","200"
"ESPORTSTMNT01:1732359","100"
"ESPORTSTMNT01:1305613","200"
"ESPORTSTMNT01:1291748","100"
"ESPORTSTMNT01:1415535","100"
"ESPORTSTMNT01:1324986","100"
"ESPORTSTMNT01:1141669","200"
"ESPORTSTMNT01:1295530","100"
"ESPORTSTMNT01:1693727","100"
"ESPORTSTMNT01:1164881","100"
"ESPORTSTMNT01:1313818","200"
"ESPORTSTMNT01:1296656","200"
"ESPORTSTMNT01:1144463","200"
"ESPORTSTMNT01:1131131","100"
"ESPORTSTMNT01:1431440","100"
"ESPORTSTMNT01:1682882","200"
"ESPORTSTMNT01:1153341","200"
"ESPORTSTMNT01:1152905","200"
"ESPORTSTMNT01:1300964","200"
"ESPORTSTMNT01:1682906","200"
"ESPORTSTMNT01:1682315","200"
"ESPORTSTMNT01:1693003","200"
"ESPORTSTMNT01:1131097","200"
"ESPORTSTMNT01:1401451","100"
"ESPORTSTMNT01:1120595","100"
"ESPORTSTMNT01:1424862","100"
"ESPORTSTMNT01:1881359","200"
"ESPORTSTMNT01:1161505","100"
"ESPORTSTMNT01:1404282","200"
"ESPORTSTMNT01:1325582","100"
"ESPORTSTMNT01:1721273","200"
"ESPORTSTMNT01:1432427","200"
"ESPORTSTMNT01:1880694","100"
"ESPORTSTMNT01:1156407","200"
"ESPORTSTMNT01:1425732","100"
"ESPORTSTMNT01:1295440","200"
"ESPORTSTMNT01:1153081","100"
"ESPORTSTMNT01:1304768","200"
"ESPORTSTMNT01:1424413","100"
"ESPORTSTMNT01:1306112","100"
"ESPORTSTMNT01:1403532","100"
"ESPORTSTMNT01:1130754","100"
"ESPORTSTMNT01:1431443","200"
"ESPORTSTMNT01:1693124","200"
"ESPORTSTMNT01:1887510","100"
"ESPORTSTMNT01:1301270","200"
"ESPORTSTMNT01:1896235","200"
"ESPORTSTMNT01:1162990","100"
"ESPORTSTMNT01:1141938","200"
"ESPORTSTMNT01:1325229","100"
"ESPORTSTMNT01:1414311","200"
"ESPORTSTMNT01:1121139","200"
"ESPORTSTMNT01:1131256","200"
"ESPORTSTMNT01:1436520","100"
"ESPORTSTMNT01:1142252","100"
"ESPORTSTMNT01:1120596","100"
"ESPORTSTMNT01:2133106","200"
"ESPORTSTMNT01:2030820","200"
"ESPORTSTMNT01:1133137","100"
"ESPORTSTMNT01:1303581","200"
"ESPORTSTMNT01:1144602","100"
"ESPORTSTMNT01:1722592","200"
"ESPORTSTMNT01:1120717","200"
"ESPORTSTMNT01:1370246","200"
"ESPORTSTMNT01:1120411","100"
"ESPORTSTMNT01:1421788","100"
"ESPORTSTMNT01:1691048","100"
"ESPORTSTMNT01:1883364","100"
"ESPORTSTMNT01:1882891","100"
"ESPORTSTMNT01:1887400","100"
"ESPORTSTMNT01:1121178","200"
"ESPORTSTMNT01:1321751","100"
"ESPORTSTMNT01:2131062","200"
"ESPORTSTMNT01:1691436","100"
"ESPORTSTMNT01:1415201","200"
"ESPORTSTMNT01:1133157","200"
"ESPORTSTMNT01:1153017","100"
"ESPORTSTMNT01:1155902","200"
"ESPORTSTMNT01:1682253","100"
"ESPORTSTMNT01:1303533","200"
"ESPORTSTMNT01:1313781","100"
"ESPORTSTMNT01:1693567","100"
"ESPORTSTMNT01:1121419","200"
"ESPORTSTMNT01:1692978","200"
"ESPORTSTMNT01:1403464","100"
"ESPORTSTMNT01:1881152","200"
"ESPORTSTMNT01:1693118","100"
"ESPORTSTMNT01:1144523","100"
"ESPORTSTMNT01:1413931","200"
"ESPORTSTMNT01:1304635","100"
"ESPORTSTMNT01:1884502","100"
"ESPORTSTMNT01:1121076","100"
"ESPORTSTMNT01:1432182","100"
"ESPORTSTMNT01:1886762","200"
"ESPORTSTMNT01:1721747","200"
"ESPORTSTMNT01:1306371","100"
"ESPORTSTMNT01:1291178","100"
"ESPORTSTMNT01:1722423","100"
"ESPORTSTMNT01:1120640","100"
"ESPORTSTMNT01:1693219","200"
"ESPORTSTMNT01:1162877","200"
"ESPORTSTMNT01:1152878","100"
"ESPORTSTMNT01:1881569","200"
"ESPORTSTMNT01:1434797","100"
"ESPORTSTMNT01:1313241","100"
"ESPORTSTMNT01:1414013","100"
"ESPORTSTMNT01:1306406","200"
"ESPORTSTMNT01:1304079","100"
"ESPORTSTMNT01:1436466","200"
"ESPORTSTMNT01:1415419","100"
"ESPORTSTMNT01:1691105","200"
"ESPORTSTMNT01:1731252","100"
"ESPORTSTMNT01:1131722","100"
"ESPORTSTMNT01:1141450","100"
"ESPORTSTMNT01:1731571","200"
"ESPORTSTMNT01:1413629","200"
"ESPORTSTMNT01:1431783","200"
"ESPORTSTMNT01:1162272","100"
"ESPORTSTMNT01:1165284","100"
"ESPORTSTMNT01:1154754","200"
"ESPORTSTMNT01:1134420","200"
"ESPORTSTMNT01:1404270","100"
"ESPORTSTMNT01:1141731","100"
