gametime_inhib,platformgameid,killerteamid_inhib,gametime_tower,killerteamid_tower,gametime_kill,killerteamid_kill,eventtime,blue_teamid,esportsgameid,red_teamid,gametime,blue_team_shutdown,red_team_shutdown,blue_shutdown_collected,red_shutdown_collected,blue_shutdown_converted,red_shutdown_converted
1723198,ESPORTSTMNT01:1313856,100,738451,200,40499,200,2020-03-21T08:08:31.292Z,101383792891050518,103535402770536810,101383792887446028,893419,1700.0,300.0,0.0,0.0,0.0,0.0
2022646,ESPORTSTMNT01:1313913,100,979778,200,725002,100,2020-03-21T10:23:20.942Z,101428372603715124,103540398665570575,101428372600307248,786656,1550.0,1000.0,0.0,0.0,0.0,0.0
1785559,ESPORTSTMNT01:1314115,100,773793,100,505637,200,2020-03-21T22:06:48.174Z,98767991877340524,103462440145685298,99294153828264740,466448,2000.0,400.0,0.0,0.0,0.0,0.0
1904464,ESPORTSTMNT01:1314148,100,692919,100,196342,100,2020-03-22T00:29:59.383Z,98926509883054987,103462440145685312,98926509884398584,1291182,1400.0,0.0,0.0,0.0,0.0,0.0
1581958,ESPORTSTMNT01:1315325,200,817093,200,535201,100,2020-03-27T06:16:38.927Z,100205573496804586,103540364360759326,99566404579461230,655662,50.0,100.0,0.0,0.0,0.0,0.0
1219049,ESPORTSTMNT01:1315347,100,683824,100,336527,100,2020-03-27T07:08:33.940Z,99566404579461230,103540364360759327,100205573496804586,1226354,1550.0,50.0,0.0,0.0,0.0,0.0
1977839,ESPORTSTMNT01:1315379,200,657201,100,277915,100,2020-03-27T09:16:06.079Z,100725845022060229,103540364360759391,99871276356460471,525654,1250.0,650.0,0.0,0.0,0.0,0.0
1785650,ESPORTSTMNT01:1315386,100,1149220,100,495113,200,2020-03-27T10:10:07.244Z,99871276356460471,103540364360759392,100725845022060229,704843,2600.0,50.0,0.0,0.0,0.0,0.0
2430717,ESPORTSTMNT01:1315397,100,937010,100,373916,200,2020-03-27T11:45:25.071Z,98767991853197861,103540364360759422,99566404585387054,1166130,1650.0,1800.0,0.0,0.0,0.0,0.0
1731851,ESPORTSTMNT01:1315424,200,697985,100,532540,200,2020-03-27T12:55:05.290Z,99566404585387054,103540364360759423,98767991853197861,764272,350.0,500.0,0.0,0.0,0.0,0.0
1992743,ESPORTSTMNT01:1315538,200,776163,100,327343,100,2020-03-28T07:34:42.721Z,102747101562758215,103540364360759347,100725845018863243,681155,700.0,1450.0,0.0,0.0,0.0,0.0
1392419,ESPORTSTMNT01:1321394,100,785230,100,402953,100,2020-03-14T17:21:31.440Z,100205576307813373,103478355179292269,100205576309502431,417785,2700.0,0.0,0.0,0.0,0.0,0.0
1807363,ESPORTSTMNT01:1321408,100,891048,200,214979,200,2020-03-14T18:12:46.059Z,99566408221114231,103478355179292323,99566408222831088,755738,2850.0,500.0,0.0,0.0,0.0,0.0
1570591,ESPORTSTMNT01:1321705,200,947077,200,228481,100,2020-03-15T16:19:47.266Z,100205576309502431,103478355179292289,99566408219409348,458749,150.0,300.0,0.0,0.0,0.0,0.0
1756238,ESPORTSTMNT01:1321729,100,724548,100,454024,100,2020-03-15T17:32:44.170Z,99566408217955692,103478355179292315,99566408221114231,753529,550.0,0.0,0.0,0.0,0.0,0.0
1685952,ESPORTSTMNT01:1321751,100,741379,100,193799,100,2020-03-15T18:27:19.526Z,101383793195758800,103478355179292271,100205576307813373,1533819,1200.0,0.0,0.0,0.0,0.0,0.0
1610115,ESPORTSTMNT01:1321781,200,588069,100,171936,100,2020-03-15T19:22:35.996Z,99566408222831088,103478355179292311,99566408217116828,662522,2900.0,2450.0,0.0,0.0,0.0,0.0
1579242,ESPORTSTMNT01:1323141,100,692636,100,685794,100,2020-03-19T19:37:37.706Z,99566405127798575,103462454882440920,99566405129589291,1311504,1050.0,0.0,0.0,0.0,0.0,0.0
1618342,ESPORTSTMNT01:1323170,200,741120,100,387339,200,2020-03-19T21:14:04.088Z,103461966975897718,103462454882440864,99566405126602853,1523654,50.0,1200.0,0.0,0.0,0.0,0.0
1577223,ESPORTSTMNT01:1323219,100,661213,200,288244,100,2020-03-19T22:53:24.983Z,99566405124618295,103462454882440846,103461966971048042,881730,2600.0,1300.0,0.0,0.0,0.0,0.0
1772533,ESPORTSTMNT01:1323323,100,827508,100,208272,100,2020-03-20T06:09:55.318Z,99566406338282437,103535402770536834,101383792891050518,676135,1850.0,0.0,0.0,0.0,0.0,0.0
1499928,ESPORTSTMNT01:1323934,100,843957,100,215999,100,2020-03-21T11:29:16.001Z,101428372603715124,103540398665570576,101428372600307248,1438408,1300.0,50.0,0.0,0.0,0.0,0.0
1667315,ESPORTSTMNT01:1323941,200,861817,100,286375,200,2020-03-21T12:23:12.818Z,101428372603715124,103540398665570577,101428372600307248,710003,550.0,900.0,0.0,0.0,0.0,0.0
1714636,ESPORTSTMNT01:1324117,100,639123,100,250614,100,2020-03-21T21:12:44.521Z,98767991860392497,103462440145685282,99294153824386385,696681,1800.0,200.0,0.0,0.0,0.0,0.0
1964735,ESPORTSTMNT01:1324153,200,890118,100,181496,200,2020-03-21T23:23:55.890Z,98926509885559666,103462440145685262,103461966951059521,2017188,200.0,1200.0,0.0,0.0,0.0,0.0
1511487,ESPORTSTMNT01:1324190,100,923364,200,440377,200,2020-03-22T01:34:19.829Z,98926509892121852,103462440145685306,98767991930907107,1348265,1500.0,250.0,0.0,0.0,0.0,0.0
2341260,ESPORTSTMNT01:1324422,200,1047200,200,354750,200,2020-03-22T19:12:43.729Z,99294153824386385,103462440145750868,98926509885559666,1178167,1100.0,1150.0,0.0,0.0,0.0,0.0
2045337,ESPORTSTMNT01:1324430,200,679278,200,430325,100,2020-03-22T20:15:10.714Z,98926509884398584,103462440145685290,98767991877340524,856724,1850.0,1850.0,0.0,0.0,0.0,0.0
2524535,ESPORTSTMNT01:1324468,100,805220,100,235421,200,2020-03-22T21:13:17.914Z,98767991930907107,103462440145685272,98767991860392497,882522,1100.0,300.0,0.0,0.0,0.0,0.0
1610419,ESPORTSTMNT01:1324479,100,690704,100,134759,200,2020-03-22T22:19:25.115Z,99294153828264740,103462440145750874,98926509892121852,733237,2200.0,1050.0,0.0,0.0,0.0,0.0
1491747,ESPORTSTMNT01:1324492,100,919126,100,256742,100,2020-03-22T23:16:05.141Z,103461966951059521,103462440145685258,98926509883054987,798741,550.0,50.0,0.0,0.0,0.0,0.0
1564332,ESPORTSTMNT01:1324986,100,742059,100,194820,200,2020-03-25T07:07:02.534Z,100205573495116443,103540364360759307,99871276356460471,520485,1950.0,200.0,0.0,0.0,0.0,0.0
1654969,ESPORTSTMNT01:1325005,100,588427,100,381096,200,2020-03-25T08:14:27.852Z,99566404579461230,103540364360759354,100725845018863243,457968,1300.0,50.0,0.0,0.0,0.0,0.0
1701048,ESPORTSTMNT01:1325012,100,718021,100,183140,100,2020-03-25T09:06:48.254Z,100725845018863243,103540364360759355,99566404579461230,721425,600.0,50.0,0.0,0.0,0.0,0.0
1998989,ESPORTSTMNT01:1325066,200,689200,200,220941,200,2020-03-25T12:28:17.986Z,99566404585387054,103540364360759335,100205573496804586,1036832,1500.0,1650.0,0.0,0.0,0.0,0.0
1907339,ESPORTSTMNT01:1325077,100,734518,100,196691,100,2020-03-25T13:23:56.857Z,100205573496804586,103540364360759336,99566404585387054,386311,1750.0,1600.0,0.0,0.0,0.0,0.0
1844406,ESPORTSTMNT01:1325157,200,873823,100,229489,100,2020-03-26T06:16:49.746Z,99566404581868574,103540364360759382,100725845022060229,879039,150.0,150.0,0.0,0.0,0.0,0.0
1998675,ESPORTSTMNT01:1325167,100,978873,100,221973,100,2020-03-26T07:09:22.387Z,100725845022060229,103540364360759383,99566404581868574,1003097,2800.0,1650.0,0.0,0.0,0.0,0.0
1722441,ESPORTSTMNT01:1325195,200,739526,100,242919,200,2020-03-26T09:21:49.465Z,102747101562758215,103540364360759395,98767991853197861,1575791,50.0,1250.0,0.0,0.0,0.0,0.0
1886891,ESPORTSTMNT01:1325250,100,664013,100,240218,200,2020-03-26T13:25:53.135Z,100725845018863243,103540364360759279,100205573495116443,525506,2050.0,850.0,0.0,0.0,0.0,0.0
1775731,ESPORTSTMNT01:1325582,100,632635,100,154207,100,2020-03-28T05:20:02.354Z,100285330168091787,103540398665570563,101428372605353526,316070,1950.0,500.0,0.0,0.0,0.0,0.0
2026786,ESPORTSTMNT01:1325596,200,907100,200,291808,100,2020-03-28T06:16:28.177Z,100725845018863243,103540364360759346,102747101562758215,792860,2850.0,0.0,0.0,0.0,0.0,0.0
2238251,ESPORTSTMNT01:1325606,100,738731,100,277460,100,2020-03-28T06:20:46.989Z,101428372605353526,103540398665570564,100285330168091787,2104576,1550.0,700.0,0.0,0.0,0.0,0.0
2528584,ESPORTSTMNT01:1325619,100,1074945,100,492508,100,2020-03-28T07:29:43.218Z,100285330168091787,103540398665570565,101428372605353526,567754,3000.0,1600.0,0.0,0.0,0.0,0.0
2085902,ESPORTSTMNT01:1325639,200,842306,200,403269,100,2020-03-28T08:42:32.400Z,101428372605353526,103540398665570566,100285330168091787,1731064,900.0,1100.0,0.0,0.0,0.0,0.0
1957413,ESPORTSTMNT01:1325789,200,921444,100,94910,100,2020-03-29T05:18:24.641Z,101428372602011186,103540398665570581,101428372603715124,1232934,200.0,1750.0,0.0,0.0,0.0,0.0
1285520,ESPORTSTMNT01:1325811,100,1020238,100,351749,100,2020-03-29T06:17:31.903Z,98767991853197861,103540364360759322,100205573496804586,807240,2150.0,100.0,0.0,0.0,0.0,0.0
1678979,ESPORTSTMNT01:1325816,100,779405,100,423000,100,2020-03-29T06:16:30.187Z,101428372602011186,103540398665570582,101428372603715124,794855,350.0,50.0,0.0,0.0,0.0,0.0
1546773,ESPORTSTMNT01:1325819,100,1139306,100,138705,100,2020-03-29T07:02:23.246Z,100205573496804586,103540364360759323,98767991853197861,1054054,850.0,50.0,0.0,0.0,0.0,0.0
1977307,ESPORTSTMNT01:1325825,100,946816,100,359726,100,2020-03-29T07:10:49.088Z,101428372602011186,103540398665570583,101428372603715124,402068,2400.0,600.0,0.0,0.0,0.0,0.0
1465033,ESPORTSTMNT01:1325856,100,983750,100,373072,100,2020-03-29T08:19:35.392Z,101428372602011186,103540398665570584,101428372603715124,597445,1900.0,50.0,0.0,0.0,0.0,0.0
1690735,ESPORTSTMNT01:1325858,100,797759,100,242610,100,2020-03-29T09:15:26.644Z,102747101562758215,103540364360759370,100725845022060229,620889,1300.0,50.0,0.0,0.0,0.0,0.0
2349132,ESPORTSTMNT01:1325870,200,954150,200,520541,200,2020-03-29T10:10:44.115Z,100725845022060229,103540364360759371,102747101562758215,1234640,1300.0,250.0,0.0,0.0,0.0,0.0
1301176,ESPORTSTMNT01:1325881,100,629639,100,179369,100,2020-03-29T11:57:02.943Z,99566404579461230,103540364360759430,99566404581868574,790938,1600.0,0.0,0.0,0.0,0.0,0.0
1970328,ESPORTSTMNT01:1325904,100,994829,200,328742,200,2020-03-29T12:44:32.093Z,99566404581868574,103540364360759431,99566404579461230,645477,1500.0,1300.0,0.0,0.0,0.0,0.0
2289007,ESPORTSTMNT01:1360796,200,953196,200,135403,100,2020-05-02T17:15:04.546Z,99566408219409348,103478355185518303,99566408221114231,1327106,1300.0,1350.0,0.0,0.0,0.0,0.0
2039558,ESPORTSTMNT01:1360858,200,988701,200,378986,200,2020-05-03T09:56:03.089Z,100285330168091787,103540398665570587,101428372602011186,570851,1000.0,1600.0,0.0,0.0,0.0,0.0
1648057,ESPORTSTMNT01:1360862,100,955702,100,364427,100,2020-05-03T12:08:56.968Z,100285330168091787,103540398665570589,101428372602011186,378557,2150.0,200.0,0.0,0.0,0.0,0.0
1739332,ESPORTSTMNT01:1370145,100,955468,100,331829,200,2020-04-24T17:22:22.575Z,99566408221114231,103478355179357907,99566408217955692,821301,1500.0,450.0,0.0,0.0,0.0,0.0
2159051,ESPORTSTMNT01:1370167,100,766504,100,192422,100,2020-04-24T19:11:32.829Z,99566408222831088,103478355179357903,99566408217116828,769014,2600.0,900.0,0.0,0.0,0.0,0.0
2231481,ESPORTSTMNT01:1370231,200,978091,200,650102,200,2020-04-25T16:20:03.048Z,100205576307813373,103478355179292335,99566408221114231,1313815,800.0,800.0,0.0,0.0,0.0,0.0
1702846,ESPORTSTMNT01:1370238,200,863491,200,194075,100,2020-04-25T17:22:48.045Z,99566408219409348,103478355179292355,101383793195758800,361488,50.0,50.0,0.0,0.0,0.0,0.0
1827042,ESPORTSTMNT01:1370246,100,776820,200,385100,200,2020-04-25T18:19:17.752Z,99566408217116828,103478355179292341,100205576309502431,956401,1500.0,2150.0,0.0,0.0,0.0,0.0
2386192,ESPORTSTMNT01:1370254,200,715710,200,518139,200,2020-04-25T19:26:04.283Z,99566408217955692,103478355179357909,99566408222831088,2875246,600.0,800.0,0.0,0.0,0.0,0.0
1525973,ESPORTSTMNT01:1370327,100,667607,100,258446,200,2020-04-26T16:16:15.542Z,99566408222831088,103478355179357895,101383793195758800,454659,1950.0,0.0,0.0,0.0,0.0,0.0
1833495,ESPORTSTMNT01:1370339,100,722406,100,45169,100,2020-04-26T17:11:33.869Z,100205576309502431,103478355179292343,99566408217955692,1542001,1550.0,300.0,0.0,0.0,0.0,0.0
1784685,ESPORTSTMNT01:1370738,100,832993,200,636418,200,2020-05-03T16:16:25.922Z,100205576307813373,103478355185518308,100205576309502431,742249,3000.0,900.0,0.0,0.0,0.0,0.0
1802452,ESPORTSTMNT01:1370750,100,609435,200,463838,200,2020-05-03T18:14:27.102Z,100205576309502431,103478355185518310,100205576307813373,930574,1300.0,900.0,0.0,0.0,0.0,0.0
2101271,ESPORTSTMNT01:1370784,200,1047997,200,386638,200,2020-05-04T08:19:50.276Z,101428372605353526,103540398665570592,100285330168091787,2002150,250.0,800.0,0.0,0.0,0.0,0.0
1516943,ESPORTSTMNT01:1370787,200,620100,200,168673,200,2020-05-04T09:29:20.636Z,101428372605353526,103540398665570593,100285330168091787,1386443,1000.0,200.0,0.0,0.0,0.0,0.0
2000657,ESPORTSTMNT01:1370788,100,691026,100,571558,200,2020-05-04T10:33:50.622Z,100285330168091787,103540398665570594,101428372605353526,1249181,1450.0,1400.0,0.0,0.0,0.0,0.0
2362780,ESPORTSTMNT01:1370789,200,787720,200,561230,200,2020-05-04T11:47:16.557Z,101428372605353526,103540398665570595,100285330168091787,1162270,1700.0,750.0,0.0,0.0,0.0,0.0
1428614,ESPORTSTMNT01:1380452,100,861143,200,571879,100,2020-05-19T21:14:09.722Z,99566408217116828,103478355186435825,98767991959203254,1395516,1800.0,50.0,0.0,0.0,0.0,0.0
1771890,ESPORTSTMNT01:1380453,100,844016,100,264706,200,2020-05-19T22:06:20.612Z,98767991959203254,103478355186435826,99566408217116828,1039274,2000.0,450.0,0.0,0.0,0.0,0.0
1427271,ESPORTSTMNT01:1380455,200,572316,100,223150,200,2020-05-19T23:48:53.053Z,99566408221114231,103478355185518317,100205576307813373,572316,50.0,150.0,0.0,0.0,0.0,0.0
1781343,ESPORTSTMNT01:1380456,200,565223,100,226356,100,2020-05-20T00:31:56.730Z,100205576307813373,103478355185518318,99566408221114231,636902,650.0,650.0,0.0,0.0,0.0,0.0
1647854,ESPORTSTMNT01:1390072,200,728015,200,170164,200,2020-05-09T16:41:02.419Z,100205576307813373,103478355185518314,99566408221114231,1288265,150.0,400.0,0.0,0.0,0.0,0.0
1462222,ESPORTSTMNT01:1390080,100,906725,100,165969,200,2020-05-09T17:38:23.142Z,99566408221114231,103478355185518315,100205576307813373,647056,1350.0,0.0,0.0,0.0,0.0,0.0
1931698,ESPORTSTMNT01:1401186,100,715505,100,278073,100,2020-06-05T06:11:52.877Z,99566406332987990,104151038622249860,103535282124208038,1187171,1450.0,200.0,0.0,0.0,0.0,0.0
1669978,ESPORTSTMNT01:1401197,100,693283,100,176162,100,2020-06-05T07:13:27.388Z,99566406332122275,104151038622184186,101383792887446028,1150177,1650.0,0.0,0.0,0.0,0.0,0.0
1853552,ESPORTSTMNT01:1401212,100,727325,100,231823,100,2020-06-05T08:30:10.004Z,99566406338282437,104151038622184204,101383792891050518,712725,1750.0,50.0,0.0,0.0,0.0,0.0
1249848,ESPORTSTMNT01:1401435,100,649113,100,188196,100,2020-06-06T06:12:39.078Z,99566406332987990,104151038622184202,101383792891050518,1112274,800.0,0.0,0.0,0.0,0.0,0.0
2040807,ESPORTSTMNT01:1401441,200,652501,200,206218,100,2020-06-06T07:02:05.581Z,99566406332122275,104151038622184216,98767991921462763,944728,700.0,800.0,0.0,0.0,0.0,0.0
1694895,ESPORTSTMNT01:1401460,100,731549,100,486329,200,2020-06-06T09:07:34.620Z,99566406338282437,104151038622184232,99566406334639907,1245979,1950.0,0.0,0.0,0.0,0.0,0.0
1939348,ESPORTSTMNT01:1401566,100,639888,200,210901,200,2020-06-06T16:25:37.144Z,99566408217955692,104202471517814520,100205576307813373,1308677,1250.0,200.0,0.0,0.0,0.0,0.0
2239879,ESPORTSTMNT01:1401595,200,648679,200,131403,100,2020-06-06T17:32:13.806Z,100205576309502431,104202471517814528,99566408217116828,1800237,500.0,550.0,0.0,0.0,0.0,0.0
1567213,ESPORTSTMNT01:1401620,100,734735,200,292425,100,2020-06-06T19:41:34.998Z,99566408222831088,104202471517814552,99566408221114231,758782,2150.0,1350.0,0.0,0.0,0.0,0.0
1677362,ESPORTSTMNT01:1401754,200,845383,200,112204,100,2020-06-07T16:18:38.654Z,100205576307813373,104202471517814516,99566408217116828,984007,500.0,450.0,0.0,0.0,0.0,0.0
1795694,ESPORTSTMNT01:1401778,200,699220,100,227488,200,2020-06-07T18:10:36.184Z,99566408219409348,104202471517814556,99566408221114231,1081304,100.0,700.0,0.0,0.0,0.0,0.0
1673076,ESPORTSTMNT01:1401802,100,615309,100,277689,200,2020-06-07T19:07:35.485Z,103743162394217975,104202471517814560,99566408217955692,959386,1500.0,350.0,0.0,0.0,0.0,0.0
1537237,ESPORTSTMNT01:1403432,200,935969,100,185559,100,2020-06-11T22:20:36.795Z,99566405130451785,104174601835007642,99566405128626825,728401,1150.0,650.0,0.0,0.0,0.0,0.0
1654451,ESPORTSTMNT01:1403464,100,715381,100,514686,100,2020-06-11T23:19:14.228Z,99566405126602853,104174601834942044,103461966975897718,1427236,1750.0,0.0,0.0,0.0,0.0,0.0
2765007,ESPORTSTMNT01:1403502,200,775916,200,273344,100,2020-06-12T00:52:39.082Z,103461966971048042,104174601834942024,99566405123587075,726429,2300.0,1650.0,0.0,0.0,0.0,0.0
1769449,ESPORTSTMNT01:1403532,100,708134,100,231269,100,2020-06-12T02:10:25.388Z,99566405129589291,104174601834942064,103461966981927044,348226,2150.0,1550.0,0.0,0.0,0.0,0.0
2046256,ESPORTSTMNT01:1403735,100,722716,100,213974,100,2020-06-12T18:06:09.696Z,99566405128626825,104174601834942032,103461966971048042,787748,1950.0,150.0,0.0,0.0,0.0,0.0
1546917,ESPORTSTMNT01:1403840,100,899672,100,226222,200,2020-06-13T02:18:11.781Z,98767991877340524,104174992718881836,98926509892121852,671001,2000.0,450.0,0.0,0.0,0.0,0.0
2114017,ESPORTSTMNT01:1403860,100,1008508,100,332005,200,2020-06-13T04:25:24.910Z,101428372603715124,104169308691150040,101428372607057464,737614,1650.0,600.0,0.0,0.0,0.0,0.0
1540668,ESPORTSTMNT01:1403870,100,945180,100,460222,100,2020-06-13T05:37:41.860Z,101428372602011186,104169308691150080,101428372607057464,1067291,700.0,0.0,0.0,0.0,0.0,0.0
1839084,ESPORTSTMNT01:1403878,200,805538,200,689931,100,2020-06-13T06:40:53.983Z,101428372598668846,104169308691150046,101428372603715124,360250,50.0,0.0,0.0,0.0,0.0,0.0
1398234,ESPORTSTMNT01:1403894,100,703126,100,182090,100,2020-06-13T08:55:23.842Z,101428372605353526,104169308691084476,101428372600307248,1056921,2250.0,0.0,0.0,0.0,0.0,0.0
1808898,ESPORTSTMNT01:1403902,100,743357,100,102520,200,2020-06-13T10:03:32.205Z,101428372605353526,104169308691150052,100285330168091787,966051,2500.0,150.0,0.0,0.0,0.0,0.0
1254022,ESPORTSTMNT01:1403918,100,730817,100,203981,200,2020-06-13T12:25:47.866Z,101428372600307248,104169308691150038,103535282119620510,894131,1850.0,0.0,0.0,0.0,0.0,0.0
1335580,ESPORTSTMNT01:1404251,100,977136,100,207493,200,2020-06-14T20:03:27.802Z,98767991877340524,104174992718881840,99294153828264740,1041718,1650.0,0.0,0.0,0.0,0.0,0.0
2219534,ESPORTSTMNT01:1404270,100,946943,200,470066,100,2020-06-14T21:48:29.616Z,98926509885559666,104174992718881874,99294153824386385,2036846,700.0,700.0,0.0,0.0,0.0,0.0
2263585,ESPORTSTMNT01:1405601,100,660708,200,151990,100,2020-06-21T08:07:56.341Z,99566404579461230,104174613333729398,100205573495116443,1753967,1050.0,600.0,0.0,0.0,0.0,0.0
1447373,ESPORTSTMNT01:1405624,100,571729,200,260316,100,2020-06-21T09:13:28.715Z,100205573495116443,104174613333729399,99566404579461230,1360709,1350.0,250.0,0.0,0.0,0.0,0.0
1480252,ESPORTSTMNT01:1405650,100,872513,100,99076,200,2020-06-21T12:42:41.280Z,100725845018863243,104174613333794983,102747101562758215,343165,1850.0,100.0,0.0,0.0,0.0,0.0
2190009,ESPORTSTMNT01:1413601,200,607765,100,599659,100,2020-06-12T06:11:47.118Z,99566406332987990,104151038622184226,99566406332122275,1387404,400.0,50.0,0.0,0.0,0.0,0.0
1653018,ESPORTSTMNT01:1413609,100,681016,100,242024,100,2020-06-12T07:12:46.241Z,99566406334639907,104151038622184200,101383792891050518,394435,3600.0,0.0,0.0,0.0,0.0,0.0
1708189,ESPORTSTMNT01:1413629,200,650357,100,181099,100,2020-06-12T08:55:03.892Z,99566406338282437,104151038622184214,103535282124208038,969887,250.0,750.0,0.0,0.0,0.0,0.0
1730477,ESPORTSTMNT01:1413742,100,640946,100,507712,100,2020-06-12T18:06:58.557Z,99566405126602853,104174601835007632,99566405130451785,528624,1550.0,100.0,0.0,0.0,0.0,0.0
1848245,ESPORTSTMNT01:1413786,200,1016111,100,261555,100,2020-06-12T19:29:05.392Z,103461966981927044,104174601834942060,99566405127798575,780560,350.0,350.0,0.0,0.0,0.0,0.0
1561989,ESPORTSTMNT01:1413942,100,921510,100,259349,100,2020-06-13T07:09:55.586Z,99566406338282437,104151038622184234,99566406332987990,794040,1850.0,0.0,0.0,0.0,0.0,0.0
1793314,ESPORTSTMNT01:1414013,100,905591,100,558452,100,2020-06-13T16:16:52.385Z,99566408219409348,104202471517814566,99566408222831088,1300387,200.0,50.0,0.0,0.0,0.0,0.0
1959283,ESPORTSTMNT01:1414038,200,739308,100,209858,100,2020-06-13T17:14:31.006Z,99566408221114231,104202471517814554,103743162394217975,1267716,1750.0,1150.0,0.0,0.0,0.0,0.0
1530209,ESPORTSTMNT01:1414048,200,692610,200,416858,200,2020-06-13T18:16:01.436Z,99566408217116828,104202471517814542,99566408217955692,1021839,50.0,750.0,0.0,0.0,0.0,0.0
1770784,ESPORTSTMNT01:1414064,200,560606,200,345041,100,2020-06-13T19:11:49.062Z,100205576307813373,104202471517748978,100205576309502431,884699,200.0,150.0,0.0,0.0,0.0,0.0
2269495,ESPORTSTMNT01:1414138,100,905368,100,190572,100,2020-06-13T23:01:02.144Z,99294153824386385,104174992718881860,98926509883054987,1233817,600.0,350.0,0.0,0.0,0.0,0.0
1670281,ESPORTSTMNT01:1414291,100,814115,100,364129,200,2020-06-14T17:19:05.275Z,99566408217955692,104202471517814562,99566408219409348,1106728,1600.0,0.0,0.0,0.0,0.0,0.0
1584846,ESPORTSTMNT01:1414311,200,858883,200,266562,200,2020-06-14T18:14:14.402Z,99566408222831088,104202471517814522,100205576307813373,538611,950.0,400.0,0.0,0.0,0.0,0.0
2662777,ESPORTSTMNT01:1414316,200,746229,100,202159,200,2020-06-14T19:12:34.337Z,100205576309502431,104202471517814530,99566408221114231,534526,1800.0,2000.0,0.0,0.0,0.0,0.0
1669932,ESPORTSTMNT01:1414788,200,1029796,100,571002,200,2020-06-17T08:18:40.891Z,100725845022060229,104174613333795022,99566404581868574,953240,1400.0,800.0,0.0,0.0,0.0,0.0
2029287,ESPORTSTMNT01:1414822,100,1220576,100,113285,100,2020-06-17T09:13:45.759Z,99566404581868574,104174613333795023,100725845022060229,1046178,2400.0,300.0,0.0,0.0,0.0,0.0
1632765,ESPORTSTMNT01:1414831,100,769362,100,413350,100,2020-06-17T11:13:43.225Z,99566404585387054,104174613333795074,98767991853197861,443612,2150.0,100.0,0.0,0.0,0.0,0.0
2142490,ESPORTSTMNT01:1414864,100,954020,200,490843,100,2020-06-17T12:06:06.563Z,98767991853197861,104174613333795075,99566404585387054,935484,3100.0,1650.0,0.0,0.0,0.0,0.0
2159026,ESPORTSTMNT01:1415112,200,835128,200,753838,100,2020-06-18T08:12:07.277Z,99566404579461230,104174613333795054,102747101565183056,1024606,250.0,400.0,0.0,0.0,0.0,0.0
1410505,ESPORTSTMNT01:1415168,100,987251,100,332861,100,2020-06-18T09:19:26.509Z,102747101565183056,104174613333795055,99566404579461230,876133,1000.0,850.0,0.0,0.0,0.0,0.0
1952962,ESPORTSTMNT01:1415198,200,971068,200,529528,200,2020-06-18T11:18:12.177Z,100205573496804586,104174613333794954,102747101562758215,696685,250.0,350.0,0.0,0.0,0.0,0.0
1996991,ESPORTSTMNT01:1415201,100,597902,100,240651,100,2020-06-18T12:17:54.129Z,102747101562758215,104174613333794955,100205573496804586,1172358,1400.0,350.0,0.0,0.0,0.0,0.0
