"gametime","platformgameid","teamid"
"861191","ESPORTSTMNT05:3241433","200"
"767530","ESPORTSTMNT03:3182108","100"
"947577","ESPORTSTMNT03:1101852","200"
"743373","ESPORTSTMNT02:2065992","100"
"703112","ESPORTSTMNT03:2703711","100"
"1134622","ESPORTSTMNT06:2767019","200"
"646715","ESPORTSTMNT01:2137700","100"
"888628","ESPORTSTMNT03:1402356","200"
"920812","ESPORTSTMNT03:3200222","200"
"733412","ESPORTSTMNT02:1411746","200"
"949625","ESPORTSTMNT06:2822313","200"
"1248612","ESPORTSTMNT06:2768294","100"
"1782562","ESPORTSTMNT01:2905473","100"
"918866","ESPORTSTMNT01:2143590","100"
"1400871","ESPORTSTMNT01:3327436","200"
"820615","ESPORTSTMNT02:1091143","200"
"828357","ESPORTSTMNT03:1340767","100"
"969070","ESPORTSTMNT03:2704282","200"
"1285034","ESPORTSTMNT01:3085808","200"
"677626","ESPORTSTMNT06:2821296","200"
"1173219","ESPORTSTMNT06:1061147","200"
"952143","ESPORTSTMNT03:2054577","100"
"949172","ESPORTSTMNT01:2770222","100"
"853665","ESPORTSTMNT02:2788051","100"
"927655","ESPORTSTMNT01:3081883","200"
"720897","ESPORTSTMNT03:1433695","100"
"1036821","ESPORTSTMNT01:3322447","100"
"743293","ESPORTSTMNT03:2796113","200"
"1074027","ESPORTSTMNT03:1824755","100"
"953547","ESPORTSTMNT02:2554425","200"
"768437","ESPORTSTMNT01:3400731","200"
"870152","ESPORTSTMNT06:2532128","100"
"851036","ESPORTSTMNT01:3413155","100"
"1009977","ESPORTSTMNT06:1860500","200"
"860043","ESPORTSTMNT04:2685815","100"
"1232099","ESPORTSTMNT01:3379177","100"
"957446","ESPORTSTMNT02:3207841","200"
"855910","ESPORTSTMNT02:3233198","100"
"727131","ESPORTSTMNT02:3048616","100"
"774456","ESPORTSTMNT03:2545393","200"
"857079","ESPORTSTMNT02:3210779","100"
"781970","ESPORTSTMNT02:3186748","100"
"902674","ESPORTSTMNT01:3091173","100"
"866502","ESPORTSTMNT01:2915383","200"
"603345","ESPORTSTMNT03:1766383","200"
"987924","ESPORTSTMNT05:1870919","100"
"1199915","ESPORTSTMNT03:3127032","100"
"918550","ESPORTSTMNT01:3340043","200"
"594418","ESPORTSTMNT03:2562201","100"
"738213","ESPORTSTMNT06:1830942","100"
"993165","ESPORTSTMNT05:2941278","200"
"826817","ESPORTSTMNT01:3301787","200"
"968907","ESPORTSTMNT03:2795429","200"
"836374","ESPORTSTMNT04:2693170","100"
"765331","ESPORTSTMNT06:1571188","200"
"673816","ESPORTSTMNT01:2700815","200"
"969018","ESPORTSTMNT02:2076335","100"
"966202","ESPORTSTMNT05:1821245","100"
"814008","ESPORTSTMNT03:1125094","100"
"1100491","ESPORTSTMNT03:2930611","200"
"1256956","ESPORTSTMNT06:1571040","200"
"664531","ESPORTSTMNT03:3099086","200"
"904452","ESPORTSTMNT02:3210330","100"
"1135203","LPL_A:328847","100"
"979430","ESPORTSTMNT01:2810245","200"
"1446734","ESPORTSTMNT03:1128820","200"
"1137919","ESPORTSTMNT01:1431668","100"
"892941","LPL_A:343212","100"
"1339484","ESPORTSTMNT01:2702297","100"
"677856","ESPORTSTMNT01:1896602","200"
"961480","ESPORTSTMNT02:2960827","100"
"722219","ESPORTSTMNT03:1996056","200"
"1135117","ESPORTSTMNT03:2544921","200"
"1045382","ESPORTSTMNT05:1830726","200"
"481342","ESPORTSTMNT03:2542253","100"
"929945","ESPORTSTMNT02:2660115","200"
"907772","ESPORTSTMNT03:1117977","100"
"1027189","ESPORTSTMNT03:2792593","100"
"1192349","ESPORTSTMNT02:2784966","200"
"841839","ESPORTSTMNT03:1990351","200"
"796462","ESPORTSTMNT03:3165403","200"
"699247","ESPORTSTMNT03:3083260","100"
"718259","ESPORTSTMNT01:3321299","200"
"929332","ESPORTSTMNT02:2673189","200"
"899639","ESPORTSTMNT04:2210177","200"
"1402183","ESPORTSTMNT06:1041066","100"
"1235423","ESPORTSTMNT04:2672244","200"
"772328","ESPORTSTMNT01:1886844","200"
"893749","ESPORTSTMNT02:3213705","100"
"1216692","ESPORTSTMNT01:1693596","100"
"858660","ESPORTSTMNT02:3216939","200"
"858229","ESPORTSTMNT03:1757957","100"
"897834","ESPORTSTMNT06:1020806","200"
"939648","ESPORTSTMNT06:1320892","200"
"1064852","ESPORTSTMNT03:2830575","100"
"960631","ESPORTSTMNT06:1861062","200"
"692009","ESPORTSTMNT06:1270318","200"
"1252038","ESPORTSTMNT02:1321169","100"
"1108265","ESPORTSTMNT03:3087623","100"
"1040148","ESPORTSTMNT01:1882116","200"
"1192687","ESPORTSTMNT03:1143691","200"
"1394707","ESPORTSTMNT02:2071349","100"
"869419","ESPORTSTMNT04:2686490","100"
"992083","ESPORTSTMNT06:1680361","200"
"629554","ESPORTSTMNT02:2073748","200"
"861870","ESPORTSTMNT04:1150490","100"
"1047506","ESPORTSTMNT03:1401931","100"
"954975","ESPORTSTMNT02:2557084","200"
"1346327","ESPORTSTMNT01:3313862","200"
"1185447","ESPORTSTMNT02:1938663","200"
"1380230","ESPORTSTMNT01:3316504","200"
"993571","ESPORTSTMNT01:1432354","200"
"725678","ESPORTSTMNT01:3310160","100"
"1007303","ESPORTSTMNT02:2913717","200"
"1017884","ESPORTSTMNT05:1981380","100"
"1013452","ESPORTSTMNT06:2774189","200"
"722777","ESPORTSTMNT06:2541799","200"
"711556","ESPORTSTMNT03:1994389","200"
"1009749","ESPORTSTMNT03:1683998","100"
"1013454","ESPORTSTMNT05:2580303","200"
"836260","ESPORTSTMNT03:1414435","200"
"996921","ESPORTSTMNT01:3313248","200"
"1104377","ESPORTSTMNT03:3193157","200"
"926635","ESPORTSTMNT03:1430700","100"
"765268","ESPORTSTMNT06:1830748","200"
"858048","ESPORTSTMNT05:3090349","200"
"920560","LPL_B:326466","100"
"928084","ESPORTSTMNT01:3305493","200"
"982915","ESPORTSTMNT02:1695696","100"
"864917","ESPORTSTMNT01:1886218","200"
"749693","ESPORTSTMNT03:3193826","200"
"945796","ESPORTSTMNT01:1323941","100"
"1095733","ESPORTSTMNT02:3227588","100"
"960716","ESPORTSTMNT06:1840297","200"
"915973","ESPORTSTMNT03:2006891","100"
"866626","ESPORTSTMNT02:2557624","200"
"948287","ESPORTSTMNT01:1732376","200"
"750317","ESPORTSTMNT03:1532242","100"
"848401","ESPORTSTMNT02:3143454","100"
"689758","ESPORTSTMNT06:1190335","200"
"726410","ESPORTSTMNT03:3128234","200"
"842144","ESPORTSTMNT02:2661987","100"
"875332","ESPORTSTMNT02:1413960","200"
"917643","ESPORTSTMNT02:3057747","100"
"1234351","ESPORTSTMNT02:3214450","100"
"723857","ESPORTSTMNT06:1830864","200"
"1049282","ESPORTSTMNT02:3161142","200"
"1068016","ESPORTSTMNT05:2990765","200"
"610775","ESPORTSTMNT02:2662258","100"
"924875","ESPORTSTMNT03:1143973","100"
"734177","ESPORTSTMNT03:2568891","200"
"696613","ESPORTSTMNT03:2920359","200"
"1486121","ESPORTSTMNT05:3217304","200"
"1149405","ESPORTSTMNT03:2072234","200"
"907662","ESPORTSTMNT02:2776523","200"
"986759","ESPORTSTMNT03:2566559","200"
"779558","ESPORTSTMNT05:1210514","200"
"923037","ESPORTSTMNT05:3241529","200"
"959415","ESPORTSTMNT01:3381541","200"
"1015851","ESPORTSTMNT05:2060164","200"
"954656","ESPORTSTMNT01:1120640","100"
"745380","ESPORTSTMNT02:2575377","100"
"1096696","ESPORTSTMNT01:1313662","200"
"955589","ESPORTSTMNT02:1333497","100"
"1219421","ESPORTSTMNT01:2780118","200"
"1428196","ESPORTSTMNT03:2930502","100"
"895565","ESPORTSTMNT03:3098400","200"
"952010","ESPORTSTMNT01:2702340","100"
"898444","ESPORTSTMNT01:3330766","100"
"682617","ESPORTSTMNT03:2569083","200"
"1524201","ESPORTSTMNT01:2915827","100"
"719200","ESPORTSTMNT06:1690427","100"
"727174","ESPORTSTMNT06:2818639","200"
"994601","ESPORTSTMNT03:3163958","200"
"1203424","ESPORTSTMNT02:2063907","200"
"1046957","ESPORTSTMNT04:2660059","100"
"1201531","ESPORTSTMNT03:3120402","100"
"980268","ESPORTSTMNT06:2819885","100"
"984080","ESPORTSTMNT02:2570671","100"
"1226695","ESPORTSTMNT01:3325538","100"
"787312","ESPORTSTMNT01:2136547","200"
"945085","ESPORTSTMNT02:2556883","200"
"800444","ESPORTSTMNT03:2788111","200"
"894464","ESPORTSTMNT01:3409839","100"
"1015482","ESPORTSTMNT03:2101205","100"
"764884","ESPORTSTMNT06:1020766","100"
"1195078","ESPORTSTMNT03:2545400","100"
"698706","ESPORTSTMNT03:2880976","200"
"891237","ESPORTSTMNT05:2952082","100"
"1141797","ESPORTSTMNT04:2666120","200"
"1476220","ESPORTSTMNT03:3087789","100"
"792500","ESPORTSTMNT06:1830635","100"
"921623","ESPORTSTMNT04:2411510","200"
"887456","ESPORTSTMNT02:3232313","100"
"965479","ESPORTSTMNT01:1163030","200"
"859167","ESPORTSTMNT03:1961491","200"
"855780","ESPORTSTMNT01:3414439","200"
"780839","ESPORTSTMNT04:2677067","100"
"926376","ESPORTSTMNT06:2773423","100"
"886138","ESPORTSTMNT01:3308783","200"
"1198148","ESPORTSTMNT04:1520505","200"
"808711","ESPORTSTMNT02:2062104","200"
"894686","ESPORTSTMNT03:3116979","200"
"1022213","ESPORTSTMNT01:3416359","200"
"983886","ESPORTSTMNT02:2671486","100"
"1186607","ESPORTSTMNT02:3212009","100"
"711498","ESPORTSTMNT01:1133992","100"
"898943","ESPORTSTMNT02:3168664","100"
"900167","ESPORTSTMNT04:1800725","100"
"1195733","ESPORTSTMNT01:3339115","100"
"889965","ESPORTSTMNT02:2840427","100"
"866598","ESPORTSTMNT01:3393858","200"
"646535","ESPORTSTMNT06:2775381","200"
"1209415","ESPORTSTMNT03:1413012","100"
"1009234","ESPORTSTMNT01:1162877","200"
"1005199","ESPORTSTMNT02:3163055","100"
"1429862","ESPORTSTMNT05:2530959","200"
"667512","ESPORTSTMNT01:2149673","200"
"971032","ESPORTSTMNT02:1736130","100"
"868845","ESPORTSTMNT01:3331506","200"
"871457","ESPORTSTMNT03:3124535","200"
"824852","ESPORTSTMNT04:2471606","100"
"735654","ESPORTSTMNT01:2148793","200"
"840269","ESPORTSTMNT02:1721782","200"
"896853","ESPORTSTMNT03:3177113","100"
"1322300","ESPORTSTMNT01:2915196","100"
"1272641","ESPORTSTMNT03:3198271","100"
"1042398","ESPORTSTMNT04:2170382","200"
"1467481","ESPORTSTMNT03:1331130","100"
"1174937","ESPORTSTMNT05:1820267","200"
"969400","ESPORTSTMNT03:2655697","200"
"1049511","ESPORTSTMNT03:2564077","100"
"910620","ESPORTSTMNT01:2810187","200"
"991835","ESPORTSTMNT04:2663877","200"
"772335","LPL_B:326635","200"
"882934","ESPORTSTMNT06:1170627","200"
"613150","ESPORTSTMNT01:2800564","200"
"1017388","ESPORTSTMNT06:2541797","100"
"922289","ESPORTSTMNT02:2840550","100"
"652573","ESPORTSTMNT01:2914137","200"
"1001286","ESPORTSTMNT03:2545487","200"
"657598","ESPORTSTMNT01:2800057","100"
"847117","ESPORTSTMNT03:2796198","100"
"959863","ESPORTSTMNT01:2983570","100"
"1599270","ESPORTSTMNT04:1280178","100"
"1006870","ESPORTSTMNT01:1131249","100"
"797759","ESPORTSTMNT01:1325858","200"
"651135","ESPORTSTMNT02:3219506","100"
