"platformgameid","teamid","side","shutdown_collected","blue_max_shutdown","red_max_shutdown"
"ESPORTSTMNT02:2067212","100205573496804586","200",,"250.0","1600.0"
"ESPORTSTMNT02:2067212","99566404585387054","100",,"250.0","1600.0"
"LPL_A:343484","99566404853058754","200","1000","1450.0","1050.0"
"LPL_A:343484","99566404850008779","100","1450","1450.0","1050.0"
"ESPORTSTMNT03:2795267","99566405123587075","100","550","1500.0","400.0"
"ESPORTSTMNT03:2795267","99566405126602853","200","1500","1500.0","400.0"
"ESPORTSTMNT02:3221010","107437032053655867","200","900","750.0","200.0"
"ESPORTSTMNT02:3221010","103535282124208038","100","250","750.0","200.0"
"ESPORTSTMNT01:2810176","107456994699991548","100","850","950.0","150.0"
"ESPORTSTMNT01:2810176","105536773074826367","200","0","950.0","150.0"
"ESPORTSTMNT01:3316734","105594163014588871","200","900","650.0","450.0"
"ESPORTSTMNT01:3316734","107574959289974368","100","1600","650.0","450.0"
"ESPORTSTMNT01:2250151","106827839261303409","100",,"1300.0","0.0"
"ESPORTSTMNT01:2250151","106827823550343961","200",,"1300.0","0.0"
"ESPORTSTMNT06:2817943","99322214689444546","200","1150","650.0","1100.0"
"ESPORTSTMNT06:2817943","105559480124455983","100","550","650.0","1100.0"
"ESPORTSTMNT03:3129572","107597870621708485","100","50","300.0","300.0"
"ESPORTSTMNT03:3129572","102787200124959636","200","450","300.0","300.0"
"ESPORTSTMNT03:3177334","108573042084687884","100","400","1550.0","50.0"
"ESPORTSTMNT03:3177334","98767991954244555","200","50","1550.0","50.0"
"ESPORTSTMNT03:2001607","98926509892121852","100",,"500.0","50.0"
"ESPORTSTMNT03:2001607","99294153828264740","200",,"500.0","50.0"
"ESPORTSTMNT05:1510554","103461966965149786","100",,"1300.0","1000.0"
"ESPORTSTMNT05:1510554","101383793569248484","200",,"1300.0","1000.0"
"ESPORTSTMNT04:2679070","98767991877340524","100","450","100.0","900.0"
"ESPORTSTMNT04:2679070","100205573495116443","200","50","100.0","900.0"
"ESPORTSTMNT02:2650737","99566405124618295","100","450","1300.0","850.0"
"ESPORTSTMNT02:2650737","99566405130451785","200","550","1300.0","850.0"
"ESPORTSTMNT01:2148240","105663527959374033","100",,"1350.0","200.0"
"ESPORTSTMNT01:2148240","103963715924353674","200",,"1350.0","200.0"
"ESPORTSTMNT05:3090775","106371141659311452","200","250","350.0","450.0"
"ESPORTSTMNT05:3090775","105559480124455983","100","400","350.0","450.0"
"ESPORTSTMNT02:2673673","107582618156093368","100","800","800.0","800.0"
"ESPORTSTMNT02:2673673","107582638341246907","200","750","800.0","800.0"
"ESPORTSTMNT03:3100709","104710678170825211","100","250","1800.0","200.0"
"ESPORTSTMNT03:3100709","105593161016793151","200","1050","1800.0","200.0"
"ESPORTSTMNT04:2431352","105553729458550723","100","950","1500.0","750.0"
"ESPORTSTMNT04:2431352","107597870621708485","200","700","1500.0","750.0"
"ESPORTSTMNT05:1430805","98926509892121852","100",,"50.0","50.0"
"ESPORTSTMNT05:1430805","98767991877340524","200",,"50.0","50.0"
"ESPORTSTMNT02:1403890","100725845022060229","100",,"250.0","750.0"
"ESPORTSTMNT02:1403890","99566404585387054","200",,"250.0","750.0"
"ESPORTSTMNT04:2200170","103535282135552642","100","100","200.0","700.0"
"ESPORTSTMNT04:2200170","103535282158162659","200","100","200.0","700.0"
"ESPORTSTMNT04:2684415","109669678317817381","200","150","1750.0","150.0"
"ESPORTSTMNT04:2684415","99566406066182955","100","250","1750.0","150.0"
"ESPORTSTMNT03:3129431","108404211655217274","200","300","300.0","550.0"
"ESPORTSTMNT03:3129431","107597875833524424","100","600","300.0","550.0"
"ESPORTSTMNT03:1995945","105397399468432537","200",,"400.0","450.0"
"ESPORTSTMNT03:1995945","99566408221114231","100",,"400.0","450.0"
"ESPORTSTMNT05:2990769","102141671183409133","200","550","1000.0","300.0"
"ESPORTSTMNT05:2990769","108361545122797332","100","300","1000.0","300.0"
"ESPORTSTMNT02:3042187","98767991866488695","100","600","1550.0","450.0"
"ESPORTSTMNT02:3042187","100285330168091787","200","550","1550.0","450.0"
"ESPORTSTMNT06:1170627","103461966965149786","200",,"2050.0","50.0"
"ESPORTSTMNT06:1170627","101383793574360315","100",,"2050.0","50.0"
"ESPORTSTMNT05:2670430","108203173414485265","200","650","1550.0","0.0"
"ESPORTSTMNT05:2670430","108203164850614211","100","0","1550.0","0.0"
"ESPORTSTMNT02:2075442","99566405124618295","200",,"900.0","350.0"
"ESPORTSTMNT02:2075442","99566405127798575","100",,"900.0","350.0"
"ESPORTSTMNT01:2800105","103878020539746273","200","750","550.0","1700.0"
"ESPORTSTMNT01:2800105","105594135137147298","100","500","550.0","1700.0"
"ESPORTSTMNT01:3095724","106269859169658575","200","600","1300.0","0.0"
"ESPORTSTMNT01:3095724","107760667929003738","100","0","1300.0","0.0"
"ESPORTSTMNT03:1431586","100725845018863243","100",,"1850.0","0.0"
"ESPORTSTMNT03:1431586","98767991853197861","200",,"1850.0","0.0"
"ESPORTSTMNT03:1551597","98767991866488695","200",,"250.0","0.0"
"ESPORTSTMNT03:1551597","98767991860392497","100",,"250.0","0.0"
"ESPORTSTMNT04:2330012","105521412995449549","200","950","900.0","0.0"
"ESPORTSTMNT04:2330012","105521419784127190","100","600","900.0","0.0"
"ESPORTSTMNT02:2912668","106269859169658575","200","150","1900.0","0.0"
"ESPORTSTMNT02:2912668","99566406490127625","100","0","1900.0","0.0"
"ESPORTSTMNT01:2133698","103461966951059521","200",,"100.0","400.0"
"ESPORTSTMNT01:2133698","98926509884398584","100",,"100.0","400.0"
"ESPORTSTMNT03:2830040","107700204561086446","100","500","150.0","400.0"
"ESPORTSTMNT03:2830040","104367068120825486","200","200","150.0","400.0"
"ESPORTSTMNT05:2070135","105514967858969605","100",,"1450.0","0.0"
"ESPORTSTMNT05:2070135","105515345386578249","200",,"1450.0","0.0"
"ESPORTSTMNT03:3197762","105550026570060790","100","50","850.0","0.0"
"ESPORTSTMNT03:3197762","105550049871017396","200","300","850.0","0.0"
"ESPORTSTMNT01:3375177","99566408356697119","200","300","250.0","150.0"
"ESPORTSTMNT01:3375177","107598878262940546","100","400","250.0","150.0"
"ESPORTSTMNT05:3060426","102235771678061291","200","850","950.0","850.0"
"ESPORTSTMNT05:3060426","99566406064558732","100","50","950.0","850.0"
"ESPORTSTMNT02:2810460","107580481273119961","200","1950","650.0","300.0"
"ESPORTSTMNT02:2810460","106857739520697600","100","700","650.0","300.0"
"ESPORTSTMNT01:2040430","105521637552587612","100",,"1550.0","250.0"
"ESPORTSTMNT01:2040430","105521706535388095","200",,"1550.0","250.0"
"ESPORTSTMNT03:1530954","99566408217116828","200",,"1400.0","500.0"
"ESPORTSTMNT03:1530954","103461966965149786","100",,"1400.0","500.0"
"ESPORTSTMNT01:2132296","102787200126663579","100",,"900.0","800.0"
"ESPORTSTMNT01:2132296","104710316579222193","200",,"900.0","800.0"
"ESPORTSTMNT01:3311790","99566405128626825","100","250","1600.0","250.0"
"ESPORTSTMNT01:3311790","99566405123587075","200","350","1600.0","250.0"
"ESPORTSTMNT05:3222588","105504044166670507","100","1450","50.0","150.0"
"ESPORTSTMNT05:3222588","103877625775457850","200","150","50.0","150.0"
"ESPORTSTMNT04:2451777","98767991853197861","100","550","1000.0","350.0"
"ESPORTSTMNT04:2451777","100725845018863243","200","0","1000.0","350.0"
"ESPORTSTMNT01:2770993","99566404579461230","200","1000","700.0","1150.0"
"ESPORTSTMNT01:2770993","98767991853197861","100","1150","700.0","1150.0"
"ESPORTSTMNT03:1812107","105550051809743868","200",,"750.0","50.0"
"ESPORTSTMNT03:1812107","105550047979361273","100",,"750.0","50.0"
"ESPORTSTMNT03:2565852","105550051809743868","100","0","1750.0","0.0"
"ESPORTSTMNT03:2565852","105550042327365041","200","1000","1750.0","0.0"
"ESPORTSTMNT02:3151375","100205573496804586","100","500","250.0","500.0"
"ESPORTSTMNT02:3151375","99566404585387054","200","250","250.0","500.0"
"ESPORTSTMNT02:2663247","104710354840711661","200","600","1400.0","150.0"
"ESPORTSTMNT02:2663247","105519746234964687","100","350","1400.0","150.0"
"ESPORTSTMNT06:1310400","102235771678061291","100",,"1700.0","0.0"
"ESPORTSTMNT06:1310400","103495716836203404","200",,"1700.0","0.0"
"ESPORTSTMNT06:1550164","105537226118106446","100",,"650.0","0.0"
"ESPORTSTMNT06:1550164","105536980594429116","200",,"650.0","0.0"
"ESPORTSTMNT03:2796225","107582157086477662","100","900","450.0","1400.0"
"ESPORTSTMNT03:2796225","107582169874155554","200","750","450.0","1400.0"
"ESPORTSTMNT03:2545897","107598699275015260","200","700","550.0","150.0"
"ESPORTSTMNT03:2545897","107598788926820994","100","100","550.0","150.0"
"ESPORTSTMNT05:2560584","106371141659311452","200","650","1750.0","0.0"
"ESPORTSTMNT05:2560584","102787200124959636","100","0","1750.0","0.0"
"ESPORTSTMNT03:1757851","98767991853197861","100",,"100.0","450.0"
"ESPORTSTMNT03:1757851","100725845018863243","200",,"100.0","450.0"
"ESPORTSTMNT03:2543545","102787200129022886","200","1050","500.0","300.0"
"ESPORTSTMNT03:2543545","105593213115128994","100","600","500.0","300.0"
"ESPORTSTMNT05:2942187","102747101565183056","100","0","500.0","150.0"
"ESPORTSTMNT05:2942187","105505619546859895","200","450","500.0","150.0"
"ESPORTSTMNT05:2750270","102787200151698443","200","600","300.0","350.0"
"ESPORTSTMNT05:2750270","107468079354897663","100","1000","300.0","350.0"
"ESPORTSTMNT03:2896140","106269859169658575","100","0","100.0","250.0"
"ESPORTSTMNT03:2896140","107760667929003738","200","800","100.0","250.0"
"ESPORTSTMNT02:2884735","107582609836036013","200","650","1500.0","0.0"
"ESPORTSTMNT02:2884735","107582618156093368","100","0","1500.0","0.0"
"ESPORTSTMNT03:3198261","107760667929003738","100","0","400.0","1000.0"
"ESPORTSTMNT03:3198261","106269804045322803","200","550","400.0","1000.0"
"ESPORTSTMNT01:3383568","107581284487120142","100","50","1700.0","50.0"
"ESPORTSTMNT01:3383568","101383792559569368","200","800","1700.0","50.0"
"ESPORTSTMNT04:1320063","103877589042434434","200",,"1550.0","0.0"
"ESPORTSTMNT04:1320063","103877675241047720","100",,"1550.0","0.0"
"ESPORTSTMNT05:2760446","102235771678061291","100","550","750.0","300.0"
"ESPORTSTMNT05:2760446","99566406066182955","200","100","750.0","300.0"
"ESPORTSTMNT03:3114975","109480056092207899","200","150","300.0","600.0"
"ESPORTSTMNT03:3114975","99566408221114231","100","1000","300.0","600.0"
"ESPORTSTMNT02:3161006","105536918475957734","200","50","100.0","1200.0"
"ESPORTSTMNT02:3161006","107648168744912288","100","600","100.0","1200.0"
"ESPORTSTMNT04:1520177","103535282148790975","200",,"700.0","300.0"
"ESPORTSTMNT04:1520177","103535282146169523","100",,"700.0","300.0"
"ESPORTSTMNT04:2090772","103535282143744679","100",,"350.0","650.0"
"ESPORTSTMNT04:2090772","104251016988118464","200",,"350.0","650.0"
"ESPORTSTMNT03:2638439","107598699275015260","200","1200","950.0","350.0"
"ESPORTSTMNT03:2638439","107598712583969458","100","300","950.0","350.0"
"ESPORTSTMNT02:2972549","101428372603715124","100","300","700.0","150.0"
"ESPORTSTMNT02:2972549","101428372600307248","200","750","700.0","150.0"
"ESPORTSTMNT01:3404199","99566408221961358","200","1000","250.0","1900.0"
"ESPORTSTMNT01:3404199","99566408221114231","100","100","250.0","1900.0"
"ESPORTSTMNT02:2881503","105593161016793151","200","1150","100.0","400.0"
"ESPORTSTMNT02:2881503","104710678170825211","100","750","100.0","400.0"
"ESPORTSTMNT03:2052847","103935642731826448","100",,"1450.0","250.0"
"ESPORTSTMNT03:2052847","105520786527322647","200",,"1450.0","250.0"
"ESPORTSTMNT03:3134244","108361575122450254","200","0","100.0","0.0"
"ESPORTSTMNT03:3134244","106857761435870473","100","1150","100.0","0.0"
"ESPORTSTMNT04:2687131","103461966965149786","100","150","100.0","800.0"
"ESPORTSTMNT04:2687131","98767991866488695","200","200","100.0","800.0"
"ESPORTSTMNT05:2952507","99566405129589291","200","650","950.0","0.0"
"ESPORTSTMNT05:2952507","99566405126602853","100","0","950.0","0.0"
"ESPORTSTMNT01:3302781","108361563004344389","200","300","1700.0","0.0"
"ESPORTSTMNT01:3302781","99566405126602853","100","0","1700.0","0.0"
"ESPORTSTMNT05:2060441","101422616509070746","100",,"1450.0","0.0"
"ESPORTSTMNT05:2060441","103495716886587312","200",,"1450.0","0.0"
"ESPORTSTMNT01:2697682","107581206998502078","200",,"800.0","600.0"
"ESPORTSTMNT01:2697682","107581212180071788","100",,"800.0","600.0"
"ESPORTSTMNT03:2090775","101383792891050518","200",,"1200.0","250.0"
"ESPORTSTMNT03:2090775","101383792887446028","100",,"1200.0","250.0"
"ESPORTSTMNT02:3159060","105550033967461806","200","1100","650.0","350.0"
"ESPORTSTMNT02:3159060","105550059790656435","100","1350","650.0","350.0"
"ESPORTSTMNT06:2191034","104710682193583854","100","550","700.0","200.0"
"ESPORTSTMNT06:2191034","105553606349477427","200","800","700.0","200.0"
"ESPORTSTMNT01:3311155","109696073114910519","100","600","1100.0","300.0"
"ESPORTSTMNT01:3311155","109696047948627764","200","400","1100.0","300.0"
"ESPORTSTMNT01:3338510","104367068120825486","100","550","1050.0","150.0"
"ESPORTSTMNT01:3338510","106269859169658575","200","1200","1050.0","150.0"
"ESPORTSTMNT01:2905925","107603544245460197","100","150","200.0","900.0"
"ESPORTSTMNT01:2905925","108018637503819612","200","150","200.0","900.0"
"ESPORTSTMNT02:2671107","107603548241713732","100","1100","1050.0","350.0"
"ESPORTSTMNT02:2671107","107603586980602718","200","600","1050.0","350.0"
"ESPORTSTMNT01:3407154","99566408562477641","200","0","1750.0","100.0"
"ESPORTSTMNT01:3407154","99566408358330419","100","50","1750.0","100.0"
"ESPORTSTMNT04:1800864","98767991866488695","200",,"200.0","650.0"
"ESPORTSTMNT04:1800864","99322214695067838","100",,"200.0","650.0"
"ESPORTSTMNT01:2904334","107582181197106556","200","300","1750.0","0.0"
"ESPORTSTMNT01:2904334","107582169874155554","100","0","1750.0","0.0"
"ESPORTSTMNT02:2661147","107581750701049485","100","600","950.0","0.0"
"ESPORTSTMNT02:2661147","107581738783262346","200","650","950.0","0.0"
"ESPORTSTMNT04:1600498","102787200130988976","200",,"950.0","100.0"
"ESPORTSTMNT04:1600498","102787200124959636","100",,"950.0","100.0"
"ESPORTSTMNT02:2776523","104843437139220481","200","700","1150.0","0.0"
"ESPORTSTMNT02:2776523","107598764318774383","100","0","1150.0","0.0"
"ESPORTSTMNT04:2694266","108352305932141947","200","1900","1250.0","0.0"
"ESPORTSTMNT04:2694266","109669678317817381","100","0","1250.0","0.0"
"ESPORTSTMNT03:1401429","98767991921462763","200",,"1600.0","250.0"
"ESPORTSTMNT03:1401429","99566406332122275","100",,"1600.0","250.0"
"ESPORTSTMNT01:3308320","105550059790656435","200","550","1950.0","0.0"
"ESPORTSTMNT01:3308320","105550033967461806","100","0","1950.0","0.0"
"ESPORTSTMNT03:3200621","107700199633958891","100","350","350.0","300.0"
"ESPORTSTMNT03:3200621","107760667929003738","200","700","350.0","300.0"
"ESPORTSTMNT03:3178347","107575082591536093","200","300","150.0","150.0"
"ESPORTSTMNT03:3178347","107693836459380354","100","1350","150.0","150.0"
"ESPORTSTMNT05:1430677","98767991866488695","200",,"50.0","1150.0"
"ESPORTSTMNT05:1430677","103461966965149786","100",,"50.0","1150.0"
"ESPORTSTMNT04:2689216","106857734387052095","100","350","50.0","950.0"
"ESPORTSTMNT04:2689216","103461966971048042","200","0","50.0","950.0"
"ESPORTSTMNT03:2006132","98926509883054987","100",,"1800.0","0.0"
"ESPORTSTMNT03:2006132","98926509892121852","200",,"1800.0","0.0"
"ESPORTSTMNT01:3337062","105549995617170853","100","900","700.0","500.0"
"ESPORTSTMNT01:3337062","109485351596724390","200","1200","700.0","500.0"
"ESPORTSTMNT01:3312396","107581765633427097","100","200","1850.0","350.0"
"ESPORTSTMNT01:3312396","107603596915629288","200","950","1850.0","350.0"
"ESPORTSTMNT05:2530503","105521402545275594","200",,"1700.0","0.0"
"ESPORTSTMNT05:2530503","105521408363571548","100",,"1700.0","0.0"
"ESPORTSTMNT02:2210090","99566405124618295","200",,"2200.0","0.0"
"ESPORTSTMNT02:2210090","99566405128626825","100",,"2200.0","0.0"
"ESPORTSTMNT06:1680184","101978171843206569","200",,"900.0","350.0"
"ESPORTSTMNT06:1680184","104270958001747936","100",,"900.0","350.0"
"ESPORTSTMNT05:3060382","103461966965149786","100","1500","1200.0","500.0"
"ESPORTSTMNT05:3060382","101383793574360315","200","1300","1200.0","500.0"
"ESPORTSTMNT02:3171353","105520796734358045","100","200","900.0","750.0"
"ESPORTSTMNT02:3171353","109539675734129088","200","3000","900.0","750.0"
"ESPORTSTMNT05:1831391","105519562229907355","100",,"100.0","1150.0"
"ESPORTSTMNT05:1831391","102787200134790084","200",,"100.0","1150.0"
"LPL_A:335744","99566404845279652","200","300","1600.0","450.0"
"LPL_A:335744","98767991887166787","100","600","1600.0","450.0"
"ESPORTSTMNT02:3168694","102787200126663579","200","750","700.0","300.0"
"ESPORTSTMNT02:3168694","105532791598779236","100","700","700.0","300.0"
"LPL_A:343897","99566404850008779","100","150","1550.0","100.0"
"LPL_A:343897","99566404852189289","200","150","1550.0","100.0"
"ESPORTSTMNT01:2694200","107574959289974368","200",,"1950.0","0.0"
"ESPORTSTMNT01:2694200","105594135137147298","100",,"1950.0","0.0"
"ESPORTSTMNT05:1821330","103535282158162659","200",,"950.0","0.0"
"ESPORTSTMNT05:1821330","105537947396116202","100",,"950.0","0.0"
"ESPORTSTMNT03:2797096","100285330168091787","100","100","1650.0","100.0"
"ESPORTSTMNT03:2797096","101428372602011186","200","300","1650.0","100.0"
"ESPORTSTMNT06:2819855","109697689430777005","200","1550","1700.0","0.0"
"ESPORTSTMNT06:2819855","110418022381234710","100","150","1700.0","0.0"
"ESPORTSTMNT01:1414038","99566408221114231","100",,"900.0","950.0"
"ESPORTSTMNT01:1414038","103743162394217975","200",,"900.0","950.0"
"ESPORTSTMNT05:2952473","99566405128626825","100","250","1400.0","300.0"
"ESPORTSTMNT05:2952473","99566405127798575","200","800","1400.0","300.0"
"ESPORTSTMNT06:2260181","103535282135552642","100","0","1900.0","0.0"
"ESPORTSTMNT02:1721741","98767991930907107","200",,"700.0","0.0"
"ESPORTSTMNT02:1721741","98767991860392497","100",,"700.0","0.0"
"ESPORTSTMNT01:2800165","106269804045322803","100","150","950.0","0.0"
"ESPORTSTMNT01:2800165","106269859169658575","200","1100","950.0","0.0"
"ESPORTSTMNT06:2290554","105520822049210915","100","350","1700.0","50.0"
"ESPORTSTMNT06:2290554","105553606349477427","200","550","1700.0","50.0"
"ESPORTSTMNT01:3311827","108131965235538611","200","500","250.0","850.0"
"ESPORTSTMNT01:3311827","109699042809864069","100","100","250.0","850.0"
"ESPORTSTMNT02:1692716","105521674055625312","200",,"750.0","0.0"
"ESPORTSTMNT02:1692716","105521293297166647","100",,"750.0","0.0"
"ESPORTSTMNT05:2520335","102235771678061291","100",,"1000.0","850.0"
"ESPORTSTMNT05:2520335","99566406064558732","200",,"1000.0","850.0"
"ESPORTSTMNT06:2290127","102235771678061291","200","450","300.0","300.0"
"ESPORTSTMNT06:2290127","101422616509070746","100","0","300.0","300.0"
"ESPORTSTMNT01:3301748","109782867012820172","100","50","1900.0","50.0"
"ESPORTSTMNT01:3301748","107580506699777259","200","500","1900.0","50.0"
"ESPORTSTMNT02:2570620","105550042327365041","200",,"500.0","850.0"
"ESPORTSTMNT02:2570620","105550051809743868","100",,"500.0","850.0"
"ESPORTSTMNT03:1342285","100205576307813373","100",,"50.0","500.0"
"ESPORTSTMNT03:1342285","99566408222831088","200",,"50.0","500.0"
"ESPORTSTMNT04:2210320","105553684493690219","200","1600","1350.0","50.0"
"ESPORTSTMNT04:2210320","107597866344501908","100","200","1350.0","50.0"
"ESPORTSTMNT01:1424232","99566406332987990","100",,"1600.0","100.0"
"ESPORTSTMNT01:1424232","103535282124208038","200",,"1600.0","100.0"
"ESPORTSTMNT06:2775488","107581296208168309","200","1000","300.0","800.0"
"ESPORTSTMNT06:2775488","107581212180071788","100","800","300.0","800.0"
"ESPORTSTMNT05:2750575","105514907449611976","200","250","350.0","50.0"
"ESPORTSTMNT05:2750575","107468079354897663","100","1200","350.0","50.0"
"ESPORTSTMNT03:3127119","99566406490127625","200","550","450.0","350.0"
"ESPORTSTMNT03:3127119","104367068120825486","100","500","450.0","350.0"
"ESPORTSTMNT01:3327449","108361552741927561","200","600","850.0","400.0"
"ESPORTSTMNT01:3327449","99566405130451785","100","950","850.0","400.0"
"ESPORTSTMNT02:1937701","98926509892121852","100",,"1200.0","450.0"
"ESPORTSTMNT02:1937701","98767991860392497","200",,"1200.0","450.0"
"ESPORTSTMNT03:1990341","99566405128626825","100",,"350.0","900.0"
"ESPORTSTMNT03:1990341","99566405126602853","200",,"350.0","900.0"
"ESPORTSTMNT06:1310080","99566406065437842","200",,"750.0","650.0"
"ESPORTSTMNT06:1310080","103495716836203404","100",,"750.0","650.0"
"ESPORTSTMNT01:3318450","102141671183409133","100","50","1650.0","0.0"
"ESPORTSTMNT01:3318450","109783023470714128","200","200","1650.0","0.0"
"ESPORTSTMNT01:2706200","102787200120306562","200",,"500.0","400.0"
"ESPORTSTMNT01:2706200","102787200136756173","100",,"500.0","400.0"
"ESPORTSTMNT03:1991312","99566408217955692","100",,"1150.0","1050.0"
"ESPORTSTMNT03:1991312","105397404796640412","200",,"1150.0","1050.0"
"ESPORTSTMNT02:2557084","105594163014588871","100",,"250.0","400.0"
"ESPORTSTMNT02:2557084","107574959289974368","200",,"250.0","400.0"
"ESPORTSTMNT03:3197780","99566404585387054","200","750","1000.0","50.0"
"ESPORTSTMNT03:3197780","98767991853197861","100","0","1000.0","50.0"
"ESPORTSTMNT02:2140343","103461966981927044","200",,"1150.0","450.0"
"ESPORTSTMNT02:2140343","103461966975897718","100",,"1150.0","450.0"
"ESPORTSTMNT03:2783505","103935530333072898","100","650","1100.0","500.0"
"ESPORTSTMNT03:2783505","105521412995449549","200","150","1100.0","500.0"
"ESPORTSTMNT02:1686236","104202382255290736","100",,"250.0","650.0"
"ESPORTSTMNT02:1686236","100205576307813373","200",,"250.0","650.0"
"ESPORTSTMNT01:2780209","107598699275015260","200","1150","1650.0","1050.0"
"ESPORTSTMNT01:2780209","107598712583969458","100","1250","1650.0","1050.0"
"ESPORTSTMNT03:3124670","108517492697602721","200","600","1800.0","100.0"
"ESPORTSTMNT03:3124670","107700204561086446","100","50","1800.0","100.0"
"ESPORTSTMNT02:1924559","105550047979361273","100",,"750.0","600.0"
"ESPORTSTMNT02:1924559","105550036134585264","200",,"750.0","600.0"
"ESPORTSTMNT03:2656797","99566405126602853","100","1100","800.0","50.0"
"ESPORTSTMNT03:2656797","103461966975897718","200","1200","800.0","50.0"
"ESPORTSTMNT04:2683915","105503948999800557","100","700","950.0","900.0"
"ESPORTSTMNT04:2683915","105504044166670507","200","1100","950.0","900.0"
"ESPORTSTMNT06:1300752","103535282151674574","200",,"1800.0","550.0"
"ESPORTSTMNT06:1300752","103535282148790975","100",,"1800.0","550.0"
