MIN ELO: 768 
AVERAGE ELO: 1000 
MEDIAN ELO: 1000 
MAX ELO: 1593 

('101383793567806688', SK Gaming 768.8593224456421)
('107581300297680248', Zylant Esports 1000)
('99124844361058275', CBLOL All-Stars 1000)
('110418022381234710', SPIKE Syndicate 1000)
('109642690191894407', Ruddy Esports 1000)
('104843437139220481', Undead BK 1000)
('109698855806033734', Universitario Esports 1000)
('98767991949608898', Fenerbahçe Espor 1000)
('103877976717529187', Intrepid Fox Gaming 1000)
('101428372603715124', Crest Gaming Act 1000)
('105549984475833252', Cruzeiro Academy 1000)
('105193481874236222', LCL-All-Stars 1000)
('101157821425652839', Plugo 1000)
('103240746435623573', CoreJJ 1000)
('109692074894483834', West Point Esports 1000)
('101428372600307248', Rascal Jester 1000)
('107581755241449104', Red Rooster 1000)
('103935468920814040', Team GO 1000)
('109631614501223948', War Legion Esports 1000)
('104212474149188693', Altokekw Españita 1000)
('110733881542862348', Cold Hearted 1000)
('107179722233063345', Cryptova 1000)
('99566408358330419', Isurus 1000)
('102787200138722262', Devils.One 1000)
('107467834753797729', Bisons 1000)
('107603586980602718', NOCTA 1000)
('105547976546505145', Team Infamous 1000)
('106857734387052095', AOE Gold 1000)
('100205576307813373', Flamengo  1000)
('105520786527322647', KRC Genk Esports 1000)
('108448995754333242', webidoo Gaming 1000)
('107603596915629288', Spirituals 1000)
('107598780504331406', Maycam Evolve 1000)
('100289931264192378', Team Spirit 1000)
('102787200155434012', JD|XL 1000)
('109783149221216052', Lit Esports 1000)
('106371141659311452', Valiance PRO GAME 1000)
('105520784254806142', ION SQUAD 1000)
('108203154514683518', T1 Rookies 1000)
('105520816474194464', Dynasty 1000)
('99566408219409348', Vivo Keyd Stars 1000)
('104710354840711661', Riddle Esports 1000)
('107582613263241138', Deliverance Esports 1000)
('105709099258505657', PEACE 1000)
('101157821401338955', Peanut 1000)
('107760667929003738', Frank Esports 1000)
('107565493716773932', Nativz 1000)
('109783136441695429', Mirage 1000)
('105519945593890595', KOVA Esports 1000)
('107603554304287575', King of Goats 1000)
('105520826536746180', Team THRLL 1000)
('110534696811298545', Apex Mission Impossible 1000)
('110506938087991033', FL Academy 1000)
('107580475800733004', Third Party 1000)
('109480204628225868', Los Grandes 1000)
('110383487456480967', Vertex ESC 1000)
('110425157952111645', Fourth Wall 1000)
('104841890701948065', Estral Esports 1000)
('108573042084687884', TEAM WHALES 1000)
('105543843212923183', Goskilla 1000)
('99124844353216570', LCK All-Stars 1000)
('103495716836203404', 5 Ronin 1000)
('99566406332987990', The Chiefs 1000)
('102141671181705193', Michigan State University 1000)
('105521451717484016', Hive Athens EC 1000)
('102787200123059082', Team LDLC 1000)
('103240746441194143', Fofo 1000)
('109696138543579708', 3BL Esports 1000)
('108404211655217274', Partizan Esports 1000)
('107067065368380132', Wild Panthers Esports 1000)
('99566404853058754', WeiboGaming FAW AUDI 1000)
('105521674055625312', Gamespace Mediterranean College Esports 1000)
('107581750701049485', Janus Esports 1000)
('107581212180071788', Peek Gaming 1000)
('107597870621708485', Cyber Wolves Esports 1000)
('105357804699574324', CoreJJ Dream Team 1000)
('107251245690956393', Saigon Buffalo Esports 1000)
('107450819235010833', BK ROG Esports 1000)
('105594116005157262', OFFSET Esports 1000)
('103935567188806885', Energypot Wizards 1000)
('102825747707503563', MAD Lions E.C. Colombia 1000)
('103240746416552563', Team URF C 1000)
('109981678167856017', Miracle 1000)
('99566404855553726', FunPlus Phoenix 1000)
('105537149834356301', Anc Outplayed 1000)
('105537444152141556', Herbalife Real Betis 1000)
('108203164850614211', NS REDFORCE Academy 1000)
('108078422885368642', Panathinaikos Esports 1000)
('109523293035238887', Aegis 1000)
('99566408561605102', XTEN Esports 1000)
('108361550364038935', AOE Randoms 1000)
('105193571520283762', OPL All-Stars 1000)
('105553606349477427', Zero Tenacity 1000)
('105549997263803379', LOUD Academy 1000)
('108361563004344389', The Last Dance 1000)
('108121051709036068', Polar Squad 1000)
('107580506699777259', ISU Redbirds 1000)
('105397399468432537', Miners 1000)
('107580483738977500', Winthrop University 1000)
('105537947396116202', NASR ESPORTS Akademi 1000)
('101383793195758800', Redemption Porto Alegre 1000)
('106806779752531762', Globant Emerald Team 1000)
('99566404854685458', TOP ESPORTS 1000)
('105520824521753126', PSV Esports 1000)
('107582591908138922', Cienciano 1000)
('107423109717243380', Bifrost 1000)
('103877675241047720', LDLC OL 1000)
('105193554293818475', LJL All-Stars 1000)
('101157821456258207', Tandem Mode A 1000)
('99566406332122275', Avant Gaming 1000)
('104234362586443283', German Pingus 1000)
('107565448721890834', Domino Esports 1000)
('106827765448944398', DFM Academy 1000)
('107582181197106556', Skull Cracker Clan 1000)
('101157821458027681', Tandem Mode B 1000)
('105520822049210915', mCon esports 1000)
('99566406064558732', Papara SuperMassive  1000)
('105550042327365041', Gen.G Global Academy 1000)
('99566408222831088', Liberty 1000)
('109699042809864069', Vipers 1000)
('107468079354897663', Team Oplon 1000)
('107128093558481418', ZennIT 1000)
('103240746418846327', Team Assassin A 1000)
('107565477822627354', Verdant 1000)
('110534749775658790', The Cheese Chasers 1000)
('106269804045322803', Beyond Gaming 1000)
('98926509885559666', Team Liquid Honda 1000)
('99566405130451785', Cloud9 Challengers 1000)
('107581759470356115', Saprissa Esports 1000)
('106222632206917342', Resolve 1000)
('108159968741268165', Converse University 1000)
('105536980594429116', Romulea eSport 1000)
('101909007472450882', ES Sharks 1000)
('110424394375218208', A One Man Army 1000)
('105548019132871601', Medieval Riga 1000)
('105519562229907355', Barrage Esports 1000)
('101909007470353718', VSG 1000)
('105301786369976273', LEC Legends 1000)
('99566405125435312', OpTic Gaming Academy 1000)
('107580499570181349', Wildcard Aces 1000)
('107599061926073885', Newstar 1000)
('104202382255290736', RENSGA 1000)
('105537408539332006', eMonkeyz SDH 1000)
('105521239281281237', CowBoySquad Imperials Esports 1000)
('108361575122450254', Team Fish Taco 1000)
('109692071893352727', Hell Pigs 1000)
('105550049871017396', kt Challengers 1000)
('106972778172351142', NRG 1000)
('102787200149928963', WLGaming Esports 1000)
('108361537886099513', 300 1000)
('105301791701328923', LEC Queue Kings 1000)
('107599485973747723', Grypciocraft Esports 1000)
('103877589042434434', GamerLegion 1000)
('105957603362200620', Dignitas Mirage 1000)
('107564135791716115', Guasones 1000)
('104710373370426042', CR4ZY 1000)
('105593129376630217', Vikingekrig Esports 1000)
('105594176887807460', EFIVE Esports 1000)
('108403526900459473', UniQ Esports 1000)
('105521201981545679', The Spawn Esports 1000)
('101157821461435557', Tandem Mode D 1000)
('105532791598779236', UCAM 1000)
('101428372598668846', Burning Core 1000)
('109697686032800938', XtremeDominators 1000)
('107422385694193066', Barça Esports 1000)
('105520713962793016', Granit Gaming 1000)
('100783238110621058', Dashing Buffalo 1000)
('101157821434369137', Pabu 1000)
('103240746434574995', AHaHaCiK 1000)
('110534712174898632', Blue Otter 1000)
('106250729133367861', Olympiacos Alimou esports 1000)
('109539675734129088', Northern Lions Esports 1000)
('107953988302037900', Maryville Saints 1000)
('105519746234964687', Dusty 1000)
('107700204561086446', Deep Cross Gaming 1000)
('109696047948627764', GNG Esports 1000)
('107580444745581889', Immortals AOE 1000)
('99566405127798575', TSM Challengers 1000)
('98767991959203254', Team oNe e-Sports 1000)
('105550024238752685', KDF Challengers 1000)
('107581209070519555', Atomic Esports 1000)
('107599188771591359', Wolf Club Gaming 1000)
('107456419134134246', Astralis Talent 1000)
('103240746393642312', All-Stars Blue 1000)
('99566404852189289', Beijing JDG Intel Esports Club 1000)
('106827839261303409', CGA  Academy 1000)
('109695924147263860', Triple Esports 1000)
('100205576949530558', Bursaspor Esports 1000)
('101157821397865543', Faker 1000)
('106382545123328648', Dynamo Eclot 1000)
('105549991104165282', FURIA Academy 1000)
('107598982142057588', Cruzados Esports 1000)
('104228817622043824', The French Zoo 1000)
('99566404579461230', kt Rolster 1000)
('105550001032913831', RED Academy 1000)
('98926509887041994', Echo Fox 1000)
('102747101565183056', NongShim REDFORCE 1000)
('105554088239949229', x25 Esports 1000)
('103240746396067146', All-Stars Red 1000)
('104212455500985426', LEC Kings 1000)
('98767991877340524', Cloud9 1000)
('103461966981927044', Dignitas Challengers 1000)
('107580481273119961', Taco Gaming 1000)
('102787200132955066', FTW Esports 1000)
('103495716886587312', Beşiktaş 1000)
('108361552741927561', Cincinnati Fear 1000)
('107597866344501908', Auxesis Esports 1000)
('105532840001188717', S2V Esports 1000)
('105549995617170853', KaBuM! Academy 1000)
('108565997404381643', Tempest Gaming 1000)
('107597875833524424', Diamant Esports 1000)
('107423075317119707', X7 1000)
('108203161924300737', DRX Academy 1000)
('102787200134790084', HMA Fnatic Rising 1000)
('105663527959374033', CTRL PLAY Team 1000)
('103240746442308257', Optimus 1000)
('110733864366329081', Team E Turner 1000)
('105957640798249312', Barrage.NA 1000)
('100205573496804586', Hanwha Life Esports 1000)
('107648168744912288', DREN Esports 1000)
('106827848618374543', BC Academy 1000)
('107437032053655867', Kanga Esports 1000)
('105520788833075738', KV Mechelen Esports 1000)
('109699038581250169', Red Eyes Esports 1000)
('105550047979361273', HLE Challengers 1000)
('105553729458550723', Nexus KTRL 1000)
('102141671187668983', NC State University 1000)
('102787200151698443', Vitality.Bee 1000)
('110428362822825796', Disguised 1000)
('107580455322240324', No Team 1000)
('108160026618060825', UCI Esports 1000)
('103240746417732213', Team Urf D 1000)
('109671193729027761', FLY FAM 1000)
('108159917648031455', UST Esports 1000)
('106827815539026710', RJ Academy 1000)
('109539873500788632', EXEED 1000)
('107597858964689090', SOVEJA 1000)
('101978171843206569', Vega Squadron 1000)
('99566408220213759', CNB e-Sports Club 1000)
('99566404585387054', DRX 1000)
('107582641798795198', Spectacled Bears 1000)
('106827832203113865', SHG Academy 1000)
('98926509884398584', CLG 1000)
('107598651997213225', 9z Gaming 1000)
('99566406069969565', Info Yatırım Aurora 1000)
('99566406070802758', Royal Youth 1000)
('102235771678061291', DenizBank İstanbul Wildcats 1000)
('107251231972989211', SBTC ESPORTS 1000)
('98767991921462763', Dire Wolves 1000)
('105536773074826367', GGEsports 1000)
('108566004579728490', LARGE 1000)
('102141671182557163', Redbird Esports 1000)
('101157821427356777', Seiya 1000)
('109695910533747910', RAAD 1000)
('109675490370327425', Ground Zero 1000)
('104710359142494900', Samsung Morning Stars 1000)
('104367072827489994', Berjaya Dragons 1000)
('99566406495581481', G-Rex 1000)
('102787200143309800', eNsure 1000)
('98767991902391669', Flash Wolves 1000)
('110733877357854829', Gentle Hearts Gaming 1000)
('105550051809743868', Liiv SANDBOX Youth 1000)
('103240746419960441', Team Assassin B 1000)
('102141671185047537', UCI Esports 1000)
('98767991935149427', Movistar R7 1000)
('109697689430777005', Ankora Gaming 1000)
('102787200120306562', Mousesports 1000)
('109783170393931575', Conviction 1000)
('106269818143576465', BOOM Esports 1000)
('104367099322647716', Liyab Esports 1000)
('103877951616192529', Cyber Gaming 1000)
('101157821430895725', Evi 1000)
('104234144258996303', POLSKA GUROM 1000)
('109800832177252614', Orbit Anonymo 1000)
('107635420167535818', SEM9 1000)
('107582184905264520', Waia Snikt 1000)
('110534751905120040', Young Buffalos 1000)
('107456355516438414', Eintracht Frankfurt 1000)
('104710678170825211', SINNERS Esports 1000)
('108361545122797332', AOE Ginger Turmeric 1000)
('107599156601411192', Movistar Optix 1000)
('98767991897792379', Hong Kong Attitude 1000)
('105503778424809514', EURONICS Gaming 1000)
('107251307514079872', LXE ESPORTS 1000)
('103240746429004425', Jankos 1000)
('101978171845303729', MEGA Esports 1000)
('108131965235538611', Antares Esports 1000)
('99322214684939974', Unicorns of Love 1000)
('103535282158162659', DenizBank İstanbul Wildcats Akademi 1000)
('105521504308341229', Team Refuse 1000)
('103535282148790975', GALAKTICOS Akademi 1000)
('105549993449477104', INTZ Academy 1000)
('107598712583969458', EBRO 1000)
('105521402545275594', Gentlemen's Gaming 1000)
('107258254469504696', Team Flash 1000)
('103535282113853330', 5 Ronin Akademi 1000)
('105520819263036609', The Agency 1000)
('99566408562477641', INFINITY 1000)
('108361570687544399', Jake's Kittens 1000)
('109669678317817381', FUT ESPORTS 1000)
('99566404578577099', Jin Air Green Wings 1000)
('107456284318482723', Mirage-Elyandra 1000)
('107582615829368757', Fantasy Gaming 1000)
('103743162394217975', Santos HotForex 1000)
('99566405123587075', CLG Challengers 1000)
('107603600826620492', Zeus Kralik 1000)
('103935530333072898', AGO Rogue 1000)
('102787200141016030', Rogue Esports Club 1000)
('99124844356912967', LPL All-Stars 1000)
('105351724613755142', LPL Queue Kings 1000)
('99566408356697119', Furious Gaming 1000)
('99871276356460471', Griffin 1000)
('105357803054359120', Bwipo Dream Team 1000)
('105594163014588871', Boavista F.C 1000)
('107581296208168309', Tomorrow Esports 1000)
('108361565719424734', DK Crew 1000)
('105521293297166647', Hell Zerolag Esports 1000)
('109698757443650056', Mad Kings 1000)
('98767991846127102', ahq eSports Club 1000)
('105301877841257613', VCS All Stars 1000)
('108361578564310810', Team Pending 1000)
('105594101461473671', Karma Clan Esports 1000)
('105550033967461806', DRX Challengers 1000)
('99294153824386385', Golden Guardians 1000)
('105593278887024877', Inaequalis 1000)
('105559480124455983', SK Gaming Prime 1000)
('103240746425727619', Levi 1000)
('101383793574360315', KOI 1145.7830096172343)
('98767991866488695', Fnatic 1179.7937322364185)
('103461966965149786', MAD Lions 1284.4470089738356)
('98767991926151025', G2 Esports 1593.2338463786293)
