"platformgameid","teamid","side","shutdownbounty"
"ESPORTSTMNT05:3220251","98767991926151025","100","450"
"ESPORTSTMNT01:2915790","102787200155434012","100","1650"
"ESPORTSTMNT02:1321182","103535282124208038","200",
"ESPORTSTMNT03:1117947","99566405128626825","100",
"ESPORTSTMNT06:1170600","99322214689444546","200",
"ESPORTSTMNT01:3342164","98926509892121852","100","650"
"ESPORTSTMNT04:1250405","98767991866488695","100",
"ESPORTSTMNT03:1125069","99566404581868574","100",
"ESPORTSTMNT06:2777049","106857761435870473","100","100"
"ESPORTSTMNT01:2772766","105536773074826367","200","1050"
"ESPORTSTMNT01:2982090","103535282124208038","100","800"
"ESPORTSTMNT03:1432171","100285330168091787","200",
"ESPORTSTMNT05:3222357","102787200129022886","200","1000"
"ESPORTSTMNT03:2931137","107467834753797729","100","1400"
"ESPORTSTMNT05:3090130","106382545123328648","200","100"
"ESPORTSTMNT03:2883871","104710678170825211","100","800"
"ESPORTSTMNT01:3332848","99566406332987990","200","700"
"ESPORTSTMNT03:2569539","103877589042434434","100","0"
"ESPORTSTMNT06:2210926","107597875833524424","200","650"
"ESPORTSTMNT04:2685564","101383793574360315","200","600"
"ESPORTSTMNT02:2553779","107598982142057588","200",
"ESPORTSTMNT03:3189707","106857734387052095","100","1250"
"ESPORTSTMNT04:1800131","106371141659311452","100",
"ESPORTSTMNT01:1881359","98926509884398584","200",
"ESPORTSTMNT03:3179740","107467794614674479","200","1950"
"ESPORTSTMNT06:1200019","103877675241047720","200",
"ESPORTSTMNT01:2135295","105521637552587612","100",
"ESPORTSTMNT01:1682972","105559480124455983","200",
"ESPORTSTMNT06:2290557","104710682193583854","200","1150"
"ESPORTSTMNT01:2780207","107581296208168309","200","1600"
"ESPORTSTMNT04:2686495","102787200132955066","100","50"
"ESPORTSTMNT03:3180455","102141671183409133","200","500"
"ESPORTSTMNT04:2663324","109539873500788632","200","800"
"ESPORTSTMNT03:1402356","98767991860392497","100",
"ESPORTSTMNT02:1082155","99566404579461230","200",
"ESPORTSTMNT05:2990683","99566404581868574","200","800"
"ESPORTSTMNT05:3090120","106382545123328648","100","550"
"ESPORTSTMNT05:1430694","98767991877340524","200",
"ESPORTSTMNT02:3215355","105550054006182911","200","0"
"ESPORTSTMNT02:2840572","107582181197106556","200","200"
"ESPORTSTMNT02:2578530","105505619546859895","100",
"ESPORTSTMNT02:2557041","107467794614674479","100",
"ESPORTSTMNT01:3296285","109671193729027761","200","750"
"ESPORTSTMNT04:2450491","105550033967461806","100","150"
"ESPORTSTMNT01:1164881","99566405128626825","100",
"ESPORTSTMNT02:3168146","107437032053655867","100","950"
"ESPORTSTMNT01:1895736","105550059790656435","100",
"ESPORTSTMNT04:2230149","107467834753797729","200","50"
"ESPORTSTMNT02:1385018","99294153828264740","200",
"ESPORTSTMNT03:3111878","105550036134585264","200","50"
"ESPORTSTMNT01:3341080","105397404796640412","200","1400"
"ESPORTSTMNT04:2240370","107467794614674479","200","200"
"ESPORTSTMNT01:1896216","105536952747658409","200",
"ESPORTSTMNT03:2896038","104710354840711661","200","1500"
"ESPORTSTMNT02:1694934","103935421249833954","200",
"ESPORTSTMNT01:3371885","109485351596724390","100","50"
"ESPORTSTMNT05:1430641","101383793569248484","200",
"ESPORTSTMNT06:1680687","99566406064558732","100",
"ESPORTSTMNT04:2471343","99322214695067838","100","200"
"ESPORTSTMNT02:2076335","106269859169658575","200",
"ESPORTSTMNT01:1884357","101428372605353526","100",
"ESPORTSTMNT04:1890452","102787200126663579","200",
"LPL_B:326667","99566404853854212","100","300"
"ESPORTSTMNT02:2574222","105536918475957734","200",
"ESPORTSTMNT03:1442708","99566404581868574","200",
"ESPORTSTMNT01:1401441","98767991921462763","200",
"ESPORTSTMNT02:2884922","101428372600307248","100","700"
"ESPORTSTMNT03:3196437","107581212180071788","100","500"
"ESPORTSTMNT02:2670725","98767991921462763","200","1900"
"ESPORTSTMNT01:1720319","101428372598668846","100",
"ESPORTSTMNT03:2796815","98767991935149427","200","200"
"ESPORTSTMNT04:1240378","103535282140533402","200",
"ESPORTSTMNT03:2894088","99566405130451785","200","0"
"ESPORTSTMNT02:3057502","98767991866488695","100","0"
"ESPORTSTMNT06:1571048","105521239281281237","200",
"ESPORTSTMNT06:1840487","101383793574360315","200",
"ESPORTSTMNT02:2672307","103535282119620510","200","650"
"ESPORTSTMNT03:1765150","99566404585387054","100",
"ESPORTSTMNT01:3083203","106857734387052095","100","50"
"ESPORTSTMNT02:2067385","104367072827489994","200",
"ESPORTSTMNT03:3096700","102747101565183056","100","450"
"ESPORTSTMNT01:3364786","107598712583969458","200","250"
"ESPORTSTMNT01:2148522","105550042327365041","200",
"ESPORTSTMNT04:2210284","102787200151698443","100","400"
"ESPORTSTMNT04:2210218","102787200124959636","100","300"
"ESPORTSTMNT01:3312264","107580497041999074","200","300"
"ESPORTSTMNT04:2411473","100725845022060229","200","100"
"ESPORTSTMNT02:1404349","98926509892121852","100",
"ESPORTSTMNT02:2820291","99566404581868574","100","0"
"ESPORTSTMNT03:1532710","100205573495116443","100",
"ESPORTSTMNT02:3165694","107581212180071788","200","500"
"ESPORTSTMNT01:3367483","110428362822825796","100","100"
"ESPORTSTMNT01:3410317","105550033967461806","100","200"
"ESPORTSTMNT05:2953236","105520819263036609","200","1100"
"ESPORTSTMNT02:1391876","103743162394217975","100",
"ESPORTSTMNT01:1886145","105521408363571548","100",
"ESPORTSTMNT02:2972872","103461966951059521","100","0"
"ESPORTSTMNT06:2340625","108203161924300737","200","50"
"ESPORTSTMNT04:2691896","109669678317817381","100","1500"
"ESPORTSTMNT03:2075039","104710316579222193","100",
"ESPORTSTMNT01:2771983","107599156601411192","200","100"
"ESPORTSTMNT06:2823396","101383793572656373","200","1850"
"ESPORTSTMNT01:2783397","106269859169658575","100","150"
"ESPORTSTMNT04:2670254","103495716886587312","100","900"
"ESPORTSTMNT03:3177310","108573042084687884","100","0"
"ESPORTSTMNT06:1861095","104710678170825211","200",
"ESPORTSTMNT01:2983313","107582169874155554","200","550"
"ESPORTSTMNT03:1128585","98767991935149427","200",
"ESPORTSTMNT03:2796113","99566405127798575","100","500"
"ESPORTSTMNT01:3309743","99566408217955692","100","1000"
"ESPORTSTMNT03:2632679","105549998884468136","200","100"
"ESPORTSTMNT01:1144206","101428372605353526","200",
"ESPORTSTMNT03:2798724","105559480124455983","100","950"
"ESPORTSTMNT01:2770779","101383792559569368","200","950"
"ESPORTSTMNT01:2132172","102787200153467923","100",
"ESPORTSTMNT05:1822010","104710354840711661","200",
"ESPORTSTMNT03:3120224","107693836459380354","200","50"
"ESPORTSTMNT01:3309856","99566405123587075","100","1050"
"ESPORTSTMNT02:2960583","106857734387052095","200","700"
"ESPORTSTMNT03:2567964","105521504308341229","100","900"
"ESPORTSTMNT03:3174593","105515345386578249","100","150"
"ESPORTSTMNT02:3045853","100205573495116443","200","250"
"ESPORTSTMNT03:1815090","105549991104165282","100",
"ESPORTSTMNT05:3222114","105520786527322647","200","400"
"ESPORTSTMNT02:3221974","102747101565183056","100","450"
"ESPORTSTMNT05:3220559","107563714667537640","100","1450"
"ESPORTSTMNT06:2774807","109631326144414089","100","500"
"ESPORTSTMNT06:1040799","99322214695067838","200",
"ESPORTSTMNT03:2094383","105709099258505657","100",
"ESPORTSTMNT06:2815768","109642690191894407","100","500"
"ESPORTSTMNT03:1330903","99566405127798575","100",
"ESPORTSTMNT02:2776426","107598785733448849","100","150"
"ESPORTSTMNT01:3414375","101428372605353526","200","0"
"ESPORTSTMNT03:1442961","98926509885559666","100",
"ESPORTSTMNT03:1756413","105520826536746180","200",
"ESPORTSTMNT05:2521090","107581300297680248","100",
"ESPORTSTMNT02:1386328","101428372600307248","200",
"ESPORTSTMNT03:2560989","103461966971048042","200","150"
"ESPORTSTMNT02:1330940","101383792887446028","100",
"ESPORTSTMNT01:3367287","101428372598668846","200","0"
"ESPORTSTMNT06:2531013","98767991853197861","200","100"
"ESPORTSTMNT02:1280856","99566406332122275","100",
"ESPORTSTMNT02:3142054","99566405128626825","100","50"
"ESPORTSTMNT04:1130696","98767991940181526","100",
"ESPORTSTMNT02:2061763","105537408539332006","200",
"ESPORTSTMNT02:1924598","105550033967461806","200",
"ESPORTSTMNT05:1520648","103495716886587312","200",
"ESPORTSTMNT03:3090828","105550047979361273","100","50"
"ESPORTSTMNT03:3165917","104841890701948065","100","0"
"LPL_B:327851","99566404846951820","200","200"
"ESPORTSTMNT01:2982417","107581689894520368","100","300"
"ESPORTSTMNT02:2971588","98767991877340524","100","50"
"ESPORTSTMNT03:1765183","99566404581868574","100",
"ESPORTSTMNT01:1884674","105397404796640412","100",
"ESPORTSTMNT02:2882259","105519746234964687","200","250"
"ESPORTSTMNT01:1325582","100285330168091787","100",
"ESPORTSTMNT02:2660584","98767991877340524","100","300"
"ESPORTSTMNT04:2664990","107416342401528388","100","700"
"ESPORTSTMNT02:3170118","105536773074826367","200","1650"
"ESPORTSTMNT03:2547149","101383792559569368","200","550"
"ESPORTSTMNT01:3381222","109668849651338559","200","0"
"ESPORTSTMNT06:2821382","101383793572656373","200","500"
"ESPORTSTMNT01:3408095","99566408358330419","200","1100"
"ESPORTSTMNT03:3088767","107603544245460197","200","350"
"ESPORTSTMNT02:3144213","99566405129589291","100","750"
"ESPORTSTMNT06:1570959","102235771678061291","200",
"ESPORTSTMNT03:3165002","107581689894520368","100","50"
"ESPORTSTMNT04:1660577","102787200155434012","100",
"ESPORTSTMNT05:1820551","99566406069969565","100",
"ESPORTSTMNT04:2664759","107598780504331406","100","800"
"ESPORTSTMNT04:1600066","102235771678061291","200",
"ESPORTSTMNT02:1696960","105550047979361273","100",
"ESPORTSTMNT03:3116711","102747101565183056","200","500"
"ESPORTSTMNT04:2693003","103935468920814040","100","400"
"ESPORTSTMNT06:1570568","105548000936710641","100",
"ESPORTSTMNT03:3131362","105536918475957734","200","200"
"ESPORTSTMNT01:2240560","99566408356697119","200",
"ESPORTSTMNT03:1763121","105550003470349739","200",
"ESPORTSTMNT01:1881051","102787200129022886","100",
"ESPORTSTMNT03:1764690","100205573496804586","200",
"ESPORTSTMNT01:1404282","98926509884398584","200",
"ESPORTSTMNT01:3305983","109671413728531527","200","1200"
"ESPORTSTMNT02:3169650","107581750701049485","100","400"
"ESPORTSTMNT01:1110198","99566406336293850","100",
"ESPORTSTMNT02:1687593","102787200136756173","200",
"ESPORTSTMNT01:1166043","99566404585387054","100",
"ESPORTSTMNT01:3375221","105550054006182911","200","950"
"ESPORTSTMNT05:1520065","103535282140533402","100",
"ESPORTSTMNT03:3112193","105550033967461806","200","450"
"ESPORTSTMNT03:2789920","107598805167594304","100","250"
"ESPORTSTMNT01:2733278","105550036134585264","200","250"
"ESPORTSTMNT05:2980766","105913232697120493","100","1350"
"ESPORTSTMNT03:2567730","105550047979361273","100","0"
"ESPORTSTMNT04:2450814","105550047979361273","200","850"
"ESPORTSTMNT04:1961427","100725845018863243","100",
"ESPORTSTMNT05:1430747","99566405130451785","100",
"ESPORTSTMNT06:2818641","105515219038427019","100","0"
"ESPORTSTMNT01:1887197","100205573495116443","100",
"ESPORTSTMNT02:3210608","105550054006182911","200","1000"
"ESPORTSTMNT02:3059853","99566404585387054","200","350"
"ESPORTSTMNT01:2131103","105520816474194464","100",
"ESPORTSTMNT06:1270255","103535282151674574","200",
"ESPORTSTMNT02:3226900","99566408356697119","200","100"
"ESPORTSTMNT02:1384654","99566405126602853","200",
"ESPORTSTMNT06:1720497","103535282124208038","100",
"ESPORTSTMNT01:2745302","107598788926820994","100","1650"
"ESPORTSTMNT02:3157281","107422385694193066","200","250"
"ESPORTSTMNT03:2569443","100725845022060229","200","350"
"ESPORTSTMNT01:3416179","98926509885559666","200","300"
"ESPORTSTMNT03:2563562","102787200126663579","100","1450"
"ESPORTSTMNT02:3161118","107581287168722290","200","700"
"ESPORTSTMNT04:1800388","98767991926151025","200",
"ESPORTSTMNT01:1294710","99566404585387054","200",
"ESPORTSTMNT01:3409876","109480056092207899","100","300"
"ESPORTSTMNT03:3093310","101428372603715124","100","600"
"ESPORTSTMNT06:2290514","103878020539746273","100","150"
"ESPORTSTMNT03:2799931","107581284487120142","200","500"
"ESPORTSTMNT04:2683927","99566406065437842","100","350"
"ESPORTSTMNT01:3082961","101428372600307248","200","1150"
"ESPORTSTMNT02:1333750","102747101562758215","100",
"ESPORTSTMNT03:3130163","109695924147263860","100","2300"
"ESPORTSTMNT03:2547882","101383792559569368","100","300"
"ESPORTSTMNT01:2703264","105550024238752685","200",
"ESPORTSTMNT02:1404119","98926509892121852","200",
"ESPORTSTMNT04:2200170","103535282158162659","200","100"
"ESPORTSTMNT05:2953291","108566004579728490","200","1600"
"ESPORTSTMNT02:3219709","105550042327365041","200","200"
"ESPORTSTMNT02:2789366","105550051809743868","100","0"
"ESPORTSTMNT02:2070490","105520796734358045","200",
"ESPORTSTMNT03:3124607","107700199633958891","100","0"
"ESPORTSTMNT02:3214341","105550054006182911","200","250"
"ESPORTSTMNT02:3171575","105514967858969605","200","2250"
"ESPORTSTMNT02:1685855","98767991930907107","200",
"ESPORTSTMNT03:1552615","100725845018863243","200",
"LPL_A:335596","98767991882270868","100","350"
"ESPORTSTMNT03:1124790","98767991877340524","200",
"ESPORTSTMNT03:3086589","109631326144414089","100","300"
"ESPORTSTMNT04:1600040","101422616509070746","100",
"ESPORTSTMNT02:3059758","98767991853197861","200","50"
"ESPORTSTMNT02:3186748","107258254469504696","200","0"
"ESPORTSTMNT01:1401186","99566406332987990","100",
"ESPORTSTMNT04:2220302","105521419784127190","200","1600"
"ESPORTSTMNT01:1431514","103535282124208038","100",
"ESPORTSTMNT05:2600088","105514907449611976","100","500"
"ESPORTSTMNT02:3160621","107648168744912288","100","650"
"ESPORTSTMNT03:2564162","105536773074826367","200","2000"
"ESPORTSTMNT05:2530905","107597866344501908","100",
"ESPORTSTMNT03:1351811","99871276356460471","100",
"ESPORTSTMNT01:1156438","101383793195758800","200",
"ESPORTSTMNT03:2657181","100285330168091787","200","300"
"ESPORTSTMNT01:3366217","100285330168091787","100","200"
"ESPORTSTMNT01:3316567","107582184905264520","100","750"
"ESPORTSTMNT01:3366240","101428372598668846","100","200"
"ESPORTSTMNT02:2786748","107599040773840060","200","200"
"ESPORTSTMNT02:1270857","98767991860392497","100",
"ESPORTSTMNT03:2798402","108319257932089006","100","1450"
"ESPORTSTMNT01:2697748","105593213115128994","100",
"ESPORTSTMNT04:2668245","103461966965149786","200","0"
"ESPORTSTMNT04:2688552","101383793572656373","100","550"
"ESPORTSTMNT03:1995008","103935421249833954","100",
"ESPORTSTMNT01:3306514","100205573495116443","200","1050"
"ESPORTSTMNT05:3217554","107456352597333899","200","1100"
"ESPORTSTMNT03:2892519","107456419134134246","100","1250"
"ESPORTSTMNT01:1155977","100205576307813373","100",
"ESPORTSTMNT06:2819752","109539675734129088","100","700"
"ESPORTSTMNT05:1860832","99566406064558732","200",
"ESPORTSTMNT02:2778045","99566408217955692","100","450"
"ESPORTSTMNT02:3171639","109698030312834058","200","600"
"ESPORTSTMNT02:3217312","103535282119620510","100","50"
"ESPORTSTMNT03:1334705","99566405124618295","200",
"ESPORTSTMNT03:2885518","107437032053655867","100","0"
"ESPORTSTMNT05:2980757","106857734387052095","100","400"
"ESPORTSTMNT06:1880576","98767991949608898","100",
"ESPORTSTMNT04:2668055","105520796734358045","100","550"
"ESPORTSTMNT05:1971580","99322214689444546","200",
"ESPORTSTMNT03:1143691","100725845018863243","100",
"ESPORTSTMNT01:1896602","105532840001188717","100",
"ESPORTSTMNT01:1731252","105550047979361273","100",
"ESPORTSTMNT01:3311155","109696047948627764","200","400"
"ESPORTSTMNT06:1580588","105514907449611976","200",
"ESPORTSTMNT03:2799529","107598805167594304","100","0"
"ESPORTSTMNT03:2610054","106269804045322803","100","0"
"ESPORTSTMNT02:1810377","101428372602011186","200",
"ESPORTSTMNT02:3164383","107582178455767077","200","500"
"ESPORTSTMNT02:1091316","100725845018863243","200",
"ESPORTSTMNT04:2450969","105550033967461806","200","750"
"ESPORTSTMNT05:2060441","103495716886587312","200",
"ESPORTSTMNT03:1766115","103935523328473675","100",
"ESPORTSTMNT01:3336250","107251295460371069","100","300"
"ESPORTSTMNT03:1811890","99566408221114231","200",
"ESPORTSTMNT01:2860401","98767991877340524","200","1400"
"ESPORTSTMNT01:1690820","102747101565183056","100",
"ESPORTSTMNT04:2663888","107563714667537640","200","950"
"ESPORTSTMNT02:2344277","107251307514079872","100",
"ESPORTSTMNT03:3195284","105397404796640412","200","0"
"ESPORTSTMNT06:2773802","105536643047197642","200","150"
"ESPORTSTMNT05:2990059","105550049871017396","200","550"
"ESPORTSTMNT06:1220015","103935523328473675","100",
"ESPORTSTMNT03:2785621","105550036134585264","200","0"
"ESPORTSTMNT06:2820223","105521419784127190","100","600"
"ESPORTSTMNT03:1822394","105550033967461806","100",
"ESPORTSTMNT01:1887241","99566404581868574","200",
"ESPORTSTMNT01:3294114","99566405128626825","200","1550"
"ESPORTSTMNT02:2670281","103461966951059521","100","600"
"ESPORTSTMNT04:1971005","99566404855553726","100",
"ESPORTSTMNT03:3111864","105550059790656435","200","1250"
"ESPORTSTMNT02:2062060","99566405129589291","200",
"ESPORTSTMNT02:3186744","107258254469504696","100","200"
"ESPORTSTMNT03:1114497","101383792887446028","200",
"ESPORTSTMNT01:3332787","98926509884398584","100","800"
"ESPORTSTMNT05:1410740","101383793572656373","200",
"ESPORTSTMNT06:1300753","103535282143744679","200",
"ESPORTSTMNT04:2110657","103535282113853330","100",
"ESPORTSTMNT04:2471895","105550054006182911","200","150"
"ESPORTSTMNT01:2701375","107422385694193066","200",
"ESPORTSTMNT01:2984682","107581759470356115","100","0"
"ESPORTSTMNT01:3092412","99566406338282437","100","50"
"ESPORTSTMNT01:3370411","107582178455767077","200","700"
"ESPORTSTMNT04:1660268","105536918475957734","100",
"ESPORTSTMNT03:2568550","105504044166670507","200","100"
"ESPORTSTMNT04:1280229","102787200134790084","100",
"ESPORTSTMNT01:3380592","105913238372341488","200","1800"
"ESPORTSTMNT05:1821826","101422616509070746","200",
"ESPORTSTMNT01:1891386","105594163014588871","200",
"ESPORTSTMNT06:2773628","99322214695067838","200","0"
"ESPORTSTMNT02:2076419","100205573496804586","100",
"ESPORTSTMNT03:3119387","99566408219409348","200","0"
"ESPORTSTMNT01:2704649","105559480124455983","200",
"ESPORTSTMNT04:1220607","103535282148790975","200",
"ESPORTSTMNT04:990770","98767991926151025","200",
"ESPORTSTMNT02:3162591","109695924147263860","200","600"
"ESPORTSTMNT01:3330566","107582184905264520","200","500"
"ESPORTSTMNT01:3085799","106806773698472633","200","600"
"ESPORTSTMNT03:2101764","105532791598779236","100",
"ESPORTSTMNT03:2007662","100725845022060229","100",
"ESPORTSTMNT01:2144517","104841890701948065","100",
"ESPORTSTMNT02:1735323","102787200132955066","100",
"ESPORTSTMNT03:3091907","100205573496804586","100","0"
"ESPORTSTMNT05:1870989","102787200151698443","200",
"ESPORTSTMNT05:2520930","105543843212923183","200",
"ESPORTSTMNT04:1280199","103935446548920777","100",
"ESPORTSTMNT02:2067380","99566406490127625","100",
"ESPORTSTMNT01:3085346","99566406490127625","100","650"
"ESPORTSTMNT06:2822424","105549997263803379","200","1650"
"ESPORTSTMNT05:1831267","99566404579461230","100",
"ESPORTSTMNT03:2651558","98926509883054987","100","200"
"ESPORTSTMNT02:1101238","99566404585387054","200",
"ESPORTSTMNT05:2980717","108361578564310810","100","450"
"ESPORTSTMNT03:1114515","101428372605353526","100",
"ESPORTSTMNT01:3327201","98767991853197861","100","50"
"ESPORTSTMNT03:1331240","101428372600307248","200",
"ESPORTSTMNT03:2797418","99566408221961358","200","950"
"ESPORTSTMNT03:1143409","100725845022060229","100",
"ESPORTSTMNT03:1143228","99566404581868574","200",
"ESPORTSTMNT03:3193944","100285330168091787","200","900"
"ESPORTSTMNT03:3091728","107467803833323099","200","650"
"ESPORTSTMNT05:2980831","108121047955658273","100","400"
"ESPORTSTMNT03:3184735","98767991877340524","100","500"
"ESPORTSTMNT01:2916900","102141671181705193","100","1250"
"ESPORTSTMNT01:1121091","98926509885559666","100",
"ESPORTSTMNT03:1825543","105957603362200620","200",
"ESPORTSTMNT03:2050730","105536773074826367","100",
"ESPORTSTMNT06:1300752","103535282151674574","200",
"ESPORTSTMNT06:1061156","99322214691747156","200",
"ESPORTSTMNT04:1961282","98767991882270868","100",
"ESPORTSTMNT04:2670267","105514967858969605","200","0"
"ESPORTSTMNT05:2070511","106371176555003349","200",
"ESPORTSTMNT04:1970677","105709099258505657","100",
"ESPORTSTMNT02:1733048","105549993449477104","200",
"ESPORTSTMNT02:2552867","106806779752531762","200",
"ESPORTSTMNT01:2146220","103461966981927044","100",
"ESPORTSTMNT05:2560123","105537947396116202","200","100"
"ESPORTSTMNT03:2782893","107467834753797729","100","500"
"ESPORTSTMNT01:1415320","100725845022060229","200",
"ESPORTSTMNT03:3098890","107581761958954646","100","0"
"ESPORTSTMNT03:3195173","109828279319224248","100","800"
"ESPORTSTMNT02:1395023","100285330168091787","200",
"ESPORTSTMNT03:2787163","99566404581868574","100","500"
"ESPORTSTMNT03:2890884","103461966975897718","100","0"
"ESPORTSTMNT03:3190593","108361575122450254","200","0"
"ESPORTSTMNT01:2706472","105593161016793151","200",
"ESPORTSTMNT03:1415705","98767991853197861","100",
"ESPORTSTMNT01:2906114","107598699275015260","200","0"
"ESPORTSTMNT06:1720376","104367068120825486","200",
"ESPORTSTMNT02:1696548","105550054006182911","100",
"LPL_A:329950","99566404853058754","200","950"
"ESPORTSTMNT01:2250248","106827765448944398","100",
"LPL_B:326781","99566404856367466","200","1100"
"ESPORTSTMNT01:3408367","106806779752531762","100","0"
"ESPORTSTMNT01:1891046","98767991916844003","200",
"ESPORTSTMNT03:2782722","107422385694193066","100","1200"
"ESPORTSTMNT03:2007427","100205573496804586","100",
"ESPORTSTMNT01:3416295","105550026570060790","200","500"
"ESPORTSTMNT01:2772745","105537149834356301","200","400"
"ESPORTSTMNT01:1690580","98767991853197861","200",
"ESPORTSTMNT01:3366887","108361552741927561","100","500"
"ESPORTSTMNT02:1936132","99566405126602853","100",
"ESPORTSTMNT06:2541699","105520786527322647","200","300"
"ESPORTSTMNT03:1673830","105521637552587612","100",
"ESPORTSTMNT01:3415988","107700199633958891","200","400"
"ESPORTSTMNT01:2697508","106250729133367861","100",
"ESPORTSTMNT06:2773375","108403526900459473","200","1150"
"ESPORTSTMNT03:1757515","100205573495116443","200",
"ESPORTSTMNT01:2983240","107423083507599175","200","400"
"ESPORTSTMNT03:3195617","109695910533747910","200","1600"
"ESPORTSTMNT06:1570194","103535282113853330","200",
"ESPORTSTMNT02:3152211","98767991860392497","100","1350"
"ESPORTSTMNT02:3211728","107582157086477662","200","800"
"ESPORTSTMNT02:3161015","109695924147263860","100","50"
"ESPORTSTMNT05:1540057","103535282135552642","200",
"ESPORTSTMNT06:2818325","103877589042434434","200","1050"
"ESPORTSTMNT06:1880958","98767991940181526","200",
"ESPORTSTMNT02:1733774","100725845018863243","100",
"ESPORTSTMNT03:2004879","104710678170825211","100",
"ESPORTSTMNT02:2551249","102747101565183056","200",
"ESPORTSTMNT04:2692271","105593951536470384","100","150"
"ESPORTSTMNT03:1951086","102787200153467923","200",
"ESPORTSTMNT01:2136933","101383792887446028","200",
"ESPORTSTMNT01:2914427","107598878262940546","200","800"
"ESPORTSTMNT03:3154831","107581759470356115","100","250"
"ESPORTSTMNT02:3218326","99566408217116828","200","1250"
"ESPORTSTMNT01:1313641","99566405124618295","200",
"ESPORTSTMNT03:2549967","103535282119620510","200","450"
"ESPORTSTMNT03:3192581","107422385694193066","200","150"
"ESPORTSTMNT02:1270576","98926509884398584","100",
"ESPORTSTMNT02:2076952","105550036134585264","100",
"ESPORTSTMNT03:2103981","98926509885559666","100",
"ESPORTSTMNT03:1763332","102747101565183056","100",
"ESPORTSTMNT02:3161771","109698855806033734","100","650"
"ESPORTSTMNT02:2973776","103535282119620510","200","250"
"ESPORTSTMNT01:1691675","102747101565183056","200",
"ESPORTSTMNT03:3178542","98767991930907107","100","1150"
"ESPORTSTMNT01:3406177","99566408217955692","200","1100"
"ESPORTSTMNT02:2573286","105593213115128994","200",
"ESPORTSTMNT06:1880104","103935468920814040","200",
"ESPORTSTMNT03:3189335","103461966971048042","200","900"
"ESPORTSTMNT03:2793311","105550033967461806","100","200"
"ESPORTSTMNT01:2146685","105532791598779236","100",
"ESPORTSTMNT03:3093593","99566404581868574","100","0"
"ESPORTSTMNT02:2830678","99566404585387054","200","400"
"ESPORTSTMNT03:2782866","107467827374313054","200","200"
