"gametime","platformgameid","killerteamid"
"212455","ESPORTSTMNT06:1070445","100"
"243413","ESPORTSTMNT06:2460366","200"
"371169","ESPORTSTMNT02:2914024","100"
"212765","ESPORTSTMNT01:3385476","200"
"555545","ESPORTSTMNT03:2784371","100"
"276998","ESPORTSTMNT03:3121798","100"
"169871","ESPORTSTMNT06:2815912","100"
"1074700","ESPORTSTMNT03:2885619","100"
"291930","ESPORTSTMNT05:1540037","100"
"890266","ESPORTSTMNT02:1284212","100"
"543582","ESPORTSTMNT02:1733048","100"
"232349","ESPORTSTMNT06:2819855","100"
"441028","ESPORTSTMNT01:3333790","100"
"255429","ESPORTSTMNT01:2695450","200"
"162100","ESPORTSTMNT02:1296231","100"
"510710","ESPORTSTMNT01:3402167","100"
"664286","ESPORTSTMNT01:2914117","200"
"215076","ESPORTSTMNT03:3112372","100"
"239327","ESPORTSTMNT04:1290201","200"
"125787","ESPORTSTMNT02:3057916","200"
"179387","ESPORTSTMNT01:2734017","200"
"119820","ESPORTSTMNT02:3045209","200"
"570101","ESPORTSTMNT06:1020635","200"
"593682","ESPORTSTMNT04:1240169","200"
"246724","ESPORTSTMNT04:2668052","100"
"537449","ESPORTSTMNT05:2530377","100"
"150523","ESPORTSTMNT01:2742426","100"
"372923","ESPORTSTMNT01:3093719","100"
"396698","ESPORTSTMNT04:2694062","200"
"170020","ESPORTSTMNT02:1413482","100"
"212697","ESPORTSTMNT03:3179173","200"
"411831","ESPORTSTMNT03:1997525","200"
"1177176","ESPORTSTMNT01:2692750","200"
"712385","ESPORTSTMNT02:1323007","200"
"202058","ESPORTSTMNT06:1031395","100"
"1526070","ESPORTSTMNT04:2669246","200"
"461294","ESPORTSTMNT04:1530428","200"
"537835","ESPORTSTMNT06:2768698","200"
"226959","ESPORTSTMNT02:2573159","100"
"163509","ESPORTSTMNT05:1440156","200"
"185621","ESPORTSTMNT02:3162584","200"
"641276","ESPORTSTMNT05:3090126","100"
"645719","ESPORTSTMNT02:1323094","200"
"809893","ESPORTSTMNT02:2820482","200"
"220864","ESPORTSTMNT02:2673189","100"
"560370","ESPORTSTMNT04:2691276","200"
"171434","ESPORTSTMNT06:2420139","100"
"871413","ESPORTSTMNT02:3225650","100"
"232200","ESPORTSTMNT01:3417490","200"
"626220","ESPORTSTMNT02:3169892","200"
"292244","ESPORTSTMNT05:3217318","100"
"244618","ESPORTSTMNT01:1152461","100"
"682892","ESPORTSTMNT06:2774329","100"
"223072","ESPORTSTMNT02:1770266","200"
"1071633","ESPORTSTMNT06:2500067","200"
"310343","ESPORTSTMNT03:3103197","200"
"470279","ESPORTSTMNT03:2051726","200"
"176162","ESPORTSTMNT01:1401197","100"
"336319","ESPORTSTMNT03:2789201","200"
"160048","ESPORTSTMNT02:3215355","200"
"246358","ESPORTSTMNT04:2670516","100"
"250079","ESPORTSTMNT03:3099657","100"
"1292479","ESPORTSTMNT05:3090328","200"
"224523","ESPORTSTMNT04:2683125","100"
"283925","ESPORTSTMNT01:2145645","200"
"613260","ESPORTSTMNT01:3328968","200"
"549630","ESPORTSTMNT04:2692310","100"
"771590","ESPORTSTMNT04:2685564","200"
"617898","ESPORTSTMNT03:2549959","100"
"144473","ESPORTSTMNT03:3200454","100"
"401850","ESPORTSTMNT02:2240128","200"
"60265","ESPORTSTMNT05:1870379","100"
"176177","ESPORTSTMNT05:1440598","100"
"410645","ESPORTSTMNT03:2093986","100"
"773042","ESPORTSTMNT05:3222670","100"
"288857","ESPORTSTMNT03:3198196","200"
"300203","ESPORTSTMNT01:3401351","200"
"549536","ESPORTSTMNT06:1881261","100"
"526841","ESPORTSTMNT03:2920641","100"
"397534","ESPORTSTMNT01:2149661","100"
"218551","ESPORTSTMNT05:2990149","100"
"455803","ESPORTSTMNT01:3317087","200"
"171061","ESPORTSTMNT03:2794504","200"
"193589","ESPORTSTMNT03:1996040","100"
"176436","ESPORTSTMNT06:2773771","200"
"298868","ESPORTSTMNT01:1121637","100"
"546110","ESPORTSTMNT04:2130027","100"
"973996","ESPORTSTMNT03:3100461","200"
"177121","ESPORTSTMNT04:1120155","100"
"924303","ESPORTSTMNT01:2136776","200"
"524231","ESPORTSTMNT01:3327734","200"
"396566","ESPORTSTMNT06:2540953","200"
"328877","ESPORTSTMNT02:1382441","100"
"141444","ESPORTSTMNT01:2915951","200"
"241504","ESPORTSTMNT02:1687169","200"
"346508","ESPORTSTMNT02:2554335","100"
"421236","ESPORTSTMNT03:1993401","200"
"204264","ESPORTSTMNT03:2820163","200"
"708425","ESPORTSTMNT01:3340668","200"
"566500","ESPORTSTMNT02:1294635","100"
"474251","ESPORTSTMNT03:2544083","100"
"708844","ESPORTSTMNT06:2542056","200"
"376815","ESPORTSTMNT03:3177113","100"
"55415","ESPORTSTMNT04:2240135","100"
"376713","ESPORTSTMNT05:3240562","200"
"57525","ESPORTSTMNT01:3409844","200"
"291481","LPL_B:326365","100"
"256715","ESPORTSTMNT03:2784400","200"
"229173","ESPORTSTMNT02:2662722","200"
"622269","ESPORTSTMNT01:1880735","200"
"352926","ESPORTSTMNT03:2102277","200"
"71432","ESPORTSTMNT06:2774198","200"
"206109","ESPORTSTMNT01:2693060","200"
"498797","ESPORTSTMNT06:1830980","100"
"538162","ESPORTSTMNT06:2540244","200"
"348550","ESPORTSTMNT01:2745323","200"
"200455","ESPORTSTMNT05:2680218","100"
"112955","ESPORTSTMNT02:2776753","200"
"357677","ESPORTSTMNT05:2952660","100"
"508186","ESPORTSTMNT06:1860825","200"
"1443587","ESPORTSTMNT02:1295808","100"
"838689","ESPORTSTMNT05:2980181","100"
"416555","ESPORTSTMNT04:1130294","200"
"568396","ESPORTSTMNT05:1780315","200"
"358682","ESPORTSTMNT03:1757884","100"
"1654369","ESPORTSTMNT03:1140467","100"
"229345","LPL_B:328752","100"
"779255","ESPORTSTMNT02:1103818","100"
"377112","LPL_A:334950","200"
"483641","ESPORTSTMNT04:2471606","100"
"81896","ESPORTSTMNT02:2914946","100"
"269200","ESPORTSTMNT03:3179181","100"
"189253","ESPORTSTMNT02:3159294","100"
"187495","ESPORTSTMNT01:2745316","100"
"554712","ESPORTSTMNT02:1093630","100"
"246104","ESPORTSTMNT02:2665069","100"
"303749","ESPORTSTMNT02:2660584","100"
"1099189","ESPORTSTMNT04:2683165","200"
"128685","ESPORTSTMNT01:2983292","100"
"232220","ESPORTSTMNT01:3385628","200"
"862239","ESPORTSTMNT01:3332328","200"
"269050","ESPORTSTMNT03:3182129","100"
"415507","ESPORTSTMNT04:2471461","100"
"257216","ESPORTSTMNT06:2769343","200"
"793446","ESPORTSTMNT01:3316788","200"
"160066","ESPORTSTMNT06:2532105","100"
"632376","ESPORTSTMNT02:2072300","100"
"650180","ESPORTSTMNT06:2531013","200"
"514067","ESPORTSTMNT03:2787043","100"
"191485","ESPORTSTMNT04:2200256","100"
"946473","ESPORTSTMNT01:3328902","200"
"175869","ESPORTSTMNT02:1415076","200"
"397586","ESPORTSTMNT03:3190842","200"
"179709","ESPORTSTMNT01:2905447","100"
"748275","ESPORTSTMNT02:3219041","200"
"361058","ESPORTSTMNT05:2060404","100"
"1059864","ESPORTSTMNT03:1331919","200"
"335723","ESPORTSTMNT01:3083229","200"
"571158","ESPORTSTMNT02:1270462","100"
"935886","ESPORTSTMNT03:3102073","100"
"272949","ESPORTSTMNT01:1891971","200"
"463886","ESPORTSTMNT05:2560508","100"
"369413","ESPORTSTMNT06:2210982","200"
"397854","ESPORTSTMNT06:2530483","100"
"520836","ESPORTSTMNT05:1180210","200"
"220286","ESPORTSTMNT03:3127506","100"
"263724","ESPORTSTMNT03:1684186","200"
"246955","ESPORTSTMNT06:2822237","200"
"294719","ESPORTSTMNT02:3230572","200"
"473376","ESPORTSTMNT04:2411277","100"
"528103","ESPORTSTMNT03:2070584","200"
"231143","ESPORTSTMNT01:2210291","200"
"183588","ESPORTSTMNT04:2410305","100"
"314854","ESPORTSTMNT03:3126434","100"
"1512920","ESPORTSTMNT01:3366804","200"
"182113","ESPORTSTMNT04:2672146","100"
"141469","ESPORTSTMNT06:2532310","100"
"406305","ESPORTSTMNT03:3126332","200"
"260528","ESPORTSTMNT05:2560065","200"
"654032","ESPORTSTMNT01:1722425","100"
"286111","ESPORTSTMNT06:2761131","100"
"237301","ESPORTSTMNT01:2697278","100"
"713840","ESPORTSTMNT01:2772923","100"
"210544","ESPORTSTMNT06:1680363","100"
"1213102","ESPORTSTMNT02:2575865","100"
"338358","ESPORTSTMNT06:1840389","200"
"700795","ESPORTSTMNT03:1111646","200"
"201705","ESPORTSTMNT04:2663421","200"
"99698","LPL_B:328711","200"
"313996","ESPORTSTMNT02:3164423","100"
"87012","ESPORTSTMNT02:2074762","200"
"130145","ESPORTSTMNT02:2071397","200"
"196241","ESPORTSTMNT02:2960376","100"
"134634","ESPORTSTMNT05:1530174","200"
"426982","ESPORTSTMNT01:3385372","200"
"1514613","ESPORTSTMNT06:2823329","100"
"344260","ESPORTSTMNT03:3100632","200"
"522546","ESPORTSTMNT02:1929189","200"
"385377","ESPORTSTMNT03:2930474","100"
"165682","ESPORTSTMNT06:2260544","200"
"539904","ESPORTSTMNT04:1800323","200"
"320083","ESPORTSTMNT02:2064201","200"
"533319","ESPORTSTMNT05:1540057","200"
"547488","ESPORTSTMNT03:2794767","200"
"347693","ESPORTSTMNT02:2553352","100"
"174381","ESPORTSTMNT03:3123659","200"
"539146","ESPORTSTMNT01:2982411","100"
"183608","ESPORTSTMNT01:3321302","100"
"480616","ESPORTSTMNT02:3144139","100"
"206577","ESPORTSTMNT01:2130799","100"
"636130","ESPORTSTMNT06:2570562","200"
"139124","ESPORTSTMNT06:2470323","200"
"729640","ESPORTSTMNT06:2532172","200"
"436316","ESPORTSTMNT01:3417259","100"
"636213","ESPORTSTMNT03:3128202","100"
"439364","ESPORTSTMNT03:2894501","100"
"309346","ESPORTSTMNT03:1433722","100"
"243990","ESPORTSTMNT02:3156570","200"
"384175","ESPORTSTMNT03:2566390","200"
"198549","ESPORTSTMNT01:1885342","100"
"1186235","ESPORTSTMNT03:2003878","200"
"663655","ESPORTSTMNT04:980223","200"
"435115","ESPORTSTMNT03:3116931","100"
"665720","ESPORTSTMNT02:1085311","100"
"198523","ESPORTSTMNT03:3124467","200"
"514677","ESPORTSTMNT01:2703020","100"
"195042","ESPORTSTMNT01:2143540","200"
"380405","ESPORTSTMNT03:1128813","100"
"248038","ESPORTSTMNT03:1751635","200"
"667665","ESPORTSTMNT06:2541042","200"
"503382","ESPORTSTMNT06:2816755","200"
"380023","ESPORTSTMNT01:2703605","200"
"216971","ESPORTSTMNT03:2799038","100"
"682655","ESPORTSTMNT04:2660060","100"
"231277","ESPORTSTMNT05:3223066","100"
"367516","ESPORTSTMNT01:2906114","100"
"703369","ESPORTSTMNT03:2893238","200"
"661163","ESPORTSTMNT03:3099086","200"
"507654","ESPORTSTMNT02:2914607","200"
"237135","ESPORTSTMNT05:1520575","100"
"243853","ESPORTSTMNT04:2270117","100"
"271621","ESPORTSTMNT06:2775740","200"
"213642","ESPORTSTMNT05:1860580","200"
"775573","ESPORTSTMNT01:1693118","100"
"1416691","ESPORTSTMNT01:2698230","200"
"272078","ESPORTSTMNT01:3386574","100"
"440236","ESPORTSTMNT01:2870688","200"
"1228199","ESPORTSTMNT02:1686183","100"
"859476","ESPORTSTMNT02:3163385","100"
"524967","ESPORTSTMNT02:3080872","100"
"677867","ESPORTSTMNT05:2790038","100"
"189100","ESPORTSTMNT06:2821467","200"
"519441","ESPORTSTMNT03:1442092","200"
"167270","ESPORTSTMNT02:2786863","100"
"471483","ESPORTSTMNT04:1130793","100"
"461397","ESPORTSTMNT03:2886272","200"
"522660","ESPORTSTMNT03:2885628","100"
"863362","ESPORTSTMNT03:2820572","200"
"393220","ESPORTSTMNT02:1086847","100"
"513513","ESPORTSTMNT03:2794408","200"
"202777","ESPORTSTMNT01:3301787","200"
"227193","ESPORTSTMNT05:3222089","100"
"212544","ESPORTSTMNT06:2260338","200"
"666021","ESPORTSTMNT01:1415338","200"
"96718","ESPORTSTMNT02:1732252","100"
"200953","ESPORTSTMNT03:2796251","100"
"298807","ESPORTSTMNT06:2470306","100"
"692740","ESPORTSTMNT04:2670224","100"
"1319635","ESPORTSTMNT02:1733057","100"
"303359","ESPORTSTMNT01:3308811","200"
"620257","ESPORTSTMNT02:2062777","200"
"682070","ESPORTSTMNT06:1830826","200"
"541017","ESPORTSTMNT01:2744630","200"
"306457","ESPORTSTMNT01:1133992","200"
"646811","ESPORTSTMNT06:2420047","100"
"1006523","ESPORTSTMNT01:1162877","100"
"400999","ESPORTSTMNT03:3192984","100"
"228900","ESPORTSTMNT02:2620584","200"
"342504","ESPORTSTMNT03:2637013","200"
"274187","ESPORTSTMNT06:1720764","100"
"408090","ESPORTSTMNT01:1887512","100"
"689453","ESPORTSTMNT01:2200733","100"
"590850","ESPORTSTMNT02:1320753","100"
"451733","ESPORTSTMNT02:3217832","200"
"266629","ESPORTSTMNT02:3140583","200"
"535933","ESPORTSTMNT04:2683760","200"
"332926","ESPORTSTMNT06:2773888","100"
"281816","ESPORTSTMNT02:1931469","100"
"305439","ESPORTSTMNT02:1735493","200"
"489836","ESPORTSTMNT03:1128909","200"
"285302","ESPORTSTMNT06:2530904","200"
"961282","ESPORTSTMNT05:1430090","200"
"331676","ESPORTSTMNT03:1760495","100"
"204807","ESPORTSTMNT04:2090772","100"
"245895","ESPORTSTMNT04:2689379","100"
"781973","ESPORTSTMNT03:1124808","100"
"718233","ESPORTSTMNT06:1020979","100"
"529821","ESPORTSTMNT03:3086305","200"
"274434","ESPORTSTMNT03:1962165","100"
"461907","ESPORTSTMNT03:2637220","100"
"571006","ESPORTSTMNT01:2694120","200"
"485566","ESPORTSTMNT05:2520735","100"
"213223","ESPORTSTMNT02:2881582","200"
"840313","ESPORTSTMNT02:3214284","200"
"619149","ESPORTSTMNT03:3182425","100"
"422352","ESPORTSTMNT01:2240613","100"
"507129","ESPORTSTMNT03:3176652","200"
"545439","ESPORTSTMNT03:2657181","100"
"594421","ESPORTSTMNT04:1280203","200"
"681879","ESPORTSTMNT02:3210045","200"
"388750","ESPORTSTMNT02:2973526","100"
"450268","ESPORTSTMNT06:2470122","200"
"310506","ESPORTSTMNT06:1881136","200"
"921584","ESPORTSTMNT02:2779334","200"
"261149","ESPORTSTMNT03:1431664","100"
"186764","ESPORTSTMNT01:3338918","100"
"1176979","ESPORTSTMNT03:2101649","200"
"607474","ESPORTSTMNT06:2510240","200"
"259140","ESPORTSTMNT01:1370327","100"
"668547","ESPORTSTMNT05:2941514","100"
"878045","LPL_B:329267","200"
"282562","ESPORTSTMNT01:3326491","200"
"134911","ESPORTSTMNT01:3333811","300"
"867881","ESPORTSTMNT01:2140935","200"
"1441222","ESPORTSTMNT04:970435","100"
"146825","ESPORTSTMNT06:1861024","200"
"290725","ESPORTSTMNT01:2771564","200"
"203484","ESPORTSTMNT03:2790941","100"
"401188","ESPORTSTMNT02:2552829","200"
"146024","ESPORTSTMNT04:2673677","100"
"183909","ESPORTSTMNT05:2980423","100"
"912558","ESPORTSTMNT03:3188628","200"
"188258","ESPORTSTMNT02:3155899","200"
"232068","ESPORTSTMNT02:2555480","100"
"175104","ESPORTSTMNT02:1102033","200"
"696637","ESPORTSTMNT06:1200079","100"
"524134","ESPORTSTMNT01:3336846","200"
"466798","ESPORTSTMNT01:3410723","100"
"247501","ESPORTSTMNT04:2431636","100"
"660520","ESPORTSTMNT03:2002733","200"
"478060","ESPORTSTMNT03:1710690","200"
"766949","ESPORTSTMNT01:3340066","200"
"251279","ESPORTSTMNT01:2772051","100"
"229222","ESPORTSTMNT03:3176286","100"
"556918","ESPORTSTMNT04:970456","100"
"158607","ESPORTSTMNT05:2943106","200"
"489737","ESPORTSTMNT04:1660598","100"
"220539","ESPORTSTMNT02:2882306","200"
"248850","ESPORTSTMNT03:3100863","200"
"198655","ESPORTSTMNT05:1390249","100"
"226041","ESPORTSTMNT03:2638337","100"
"207916","ESPORTSTMNT06:2260145","100"
"990711","ESPORTSTMNT06:2541898","200"
"182793","ESPORTSTMNT03:2638212","100"
"341999","ESPORTSTMNT04:2692312","200"
"120302","ESPORTSTMNT02:3186180","200"
"303147","ESPORTSTMNT04:1890499","100"
"193216","ESPORTSTMNT02:2060909","200"
"458052","ESPORTSTMNT02:3160419","200"
"198777","ESPORTSTMNT03:3090319","200"
"176412","ESPORTSTMNT01:1885445","200"
"226926","ESPORTSTMNT06:1070475","200"
"178354","ESPORTSTMNT01:3376707","200"
"410026","ESPORTSTMNT06:1840840","100"
"756128","ESPORTSTMNT02:2075980","100"
"651997","ESPORTSTMNT01:1690828","200"
"515849","ESPORTSTMNT03:2052576","100"
"250584","ESPORTSTMNT02:1294500","100"
"336883","ESPORTSTMNT03:3089745","200"
"272023","ESPORTSTMNT03:1133892","100"
"229558","ESPORTSTMNT03:1827451","100"
"165773","ESPORTSTMNT02:1732134","100"
"361476","ESPORTSTMNT01:3085797","100"
"131395","ESPORTSTMNT01:2571340","200"
"46534","ESPORTSTMNT03:2882377","100"
"161810","ESPORTSTMNT03:2885359","200"
"144762","ESPORTSTMNT01:3340638","100"
"645393","ESPORTSTMNT03:1392104","200"
"209030","ESPORTSTMNT05:2942535","200"
"1192179","ESPORTSTMNT03:3191192","200"
"202533","ESPORTSTMNT02:2661844","200"
"346141","ESPORTSTMNT05:2600090","200"
"348876","ESPORTSTMNT06:2190882","200"
"370921","ESPORTSTMNT01:1434574","200"
"270649","ESPORTSTMNT05:2951965","200"
"577423","ESPORTSTMNT02:3159266","100"
"405738","ESPORTSTMNT03:2780130","100"
"1452951","LPL_A:328962","200"
"587640","ESPORTSTMNT01:3310014","100"
"211216","ESPORTSTMNT03:2140509","100"
"444475","ESPORTSTMNT03:2093272","100"
"284886","ESPORTSTMNT01:3091455","100"
"250025","ESPORTSTMNT02:2067550","200"
"190574","ESPORTSTMNT02:1320823","100"
"165170","ESPORTSTMNT01:2983484","200"
"182633","ESPORTSTMNT05:2750523","100"
"1138247","ESPORTSTMNT02:2558737","200"
"222952","ESPORTSTMNT03:2568128","200"
"347726","ESPORTSTMNT03:1827049","200"
"181102","ESPORTSTMNT05:3090129","200"
"416196","ESPORTSTMNT01:2913855","100"
"176975","ESPORTSTMNT04:2170442","100"
"157972","ESPORTSTMNT02:1114145","100"
"209517","ESPORTSTMNT03:1532304","100"
"286408","ESPORTSTMNT06:1720520","200"
"502245","ESPORTSTMNT03:3098827","100"
"690784","ESPORTSTMNT03:2830004","200"
"167252","ESPORTSTMNT06:2190785","100"
"865407","ESPORTSTMNT02:1104293","200"
"279117","ESPORTSTMNT02:3170671","100"
"661412","ESPORTSTMNT02:1385241","100"
"573610","ESPORTSTMNT03:3088767","200"
"679861","ESPORTSTMNT01:3085363","200"
"702679","ESPORTSTMNT03:2569967","100"
"887928","ESPORTSTMNT01:3376095","100"
"66187","ESPORTSTMNT03:2564782","100"
"397305","ESPORTSTMNT04:2674919","100"
"1035811","ESPORTSTMNT02:1935266","100"
"368971","ESPORTSTMNT03:1751632","100"
"198795","ESPORTSTMNT01:2697879","100"
"182218","ESPORTSTMNT01:3411304","200"
"393107","ESPORTSTMNT04:2450491","100"
"778210","ESPORTSTMNT01:3416429","200"
"437830","ESPORTSTMNT02:3210871","200"
"284051","ESPORTSTMNT03:3096394","200"
"1472580","ESPORTSTMNT01:3322803","100"
"451583","ESPORTSTMNT02:2075577","100"
"694186","ESPORTSTMNT02:2777079","100"
"1009364","ESPORTSTMNT03:3158583","200"
"233415","ESPORTSTMNT03:2562354","100"
"64702","ESPORTSTMNT04:2665319","200"
"471777","ESPORTSTMNT01:2983288","200"
"202472","ESPORTSTMNT06:1840622","100"
"517934","ESPORTSTMNT02:2663187","200"
"167578","ESPORTSTMNT03:2052838","100"
"1050691","ESPORTSTMNT04:2690256","200"
"1451271","ESPORTSTMNT01:3315880","100"
"523599","ESPORTSTMNT01:1682914","200"
"404453","ESPORTSTMNT06:2769660","200"
"209204","ESPORTSTMNT04:1600040","100"
"410630","ESPORTSTMNT03:3101532","100"
"157933","ESPORTSTMNT02:1296231","200"
"189603","ESPORTSTMNT01:1304264","200"
"855708","ESPORTSTMNT02:1114784","200"
"862480","ESPORTSTMNT01:3409853","100"
"244337","ESPORTSTMNT04:1320015","100"
"171957","ESPORTSTMNT03:2885412","100"
"270455","ESPORTSTMNT04:2687281","100"
"423749","ESPORTSTMNT02:1394234","200"
"1462305","ESPORTSTMNT01:1401802","300"
"515494","ESPORTSTMNT03:3177024","200"
"845456","ESPORTSTMNT02:1723638","200"
"234191","ESPORTSTMNT03:3133283","100"
"728870","ESPORTSTMNT05:1180770","100"
"382209","ESPORTSTMNT02:2551178","100"
"297588","ESPORTSTMNT01:3333508","100"
"883506","ESPORTSTMNT03:1341565","200"
"208908","ESPORTSTMNT06:2540501","100"
"531155","ESPORTSTMNT02:1960494","100"
"562692","ESPORTSTMNT02:2577375","200"
"238222","ESPORTSTMNT03:1813890","200"
"828714","ESPORTSTMNT04:1890429","200"
"601982","ESPORTSTMNT02:3170662","200"
"306056","ESPORTSTMNT06:2532415","200"
"775165","ESPORTSTMNT03:3199497","200"
"599214","ESPORTSTMNT03:2895321","200"
"800266","ESPORTSTMNT03:3127378","100"
"519971","ESPORTSTMNT03:2003458","100"
"400813","ESPORTSTMNT06:1730804","100"
"782214","ESPORTSTMNT01:3314348","100"
"1645421","ESPORTSTMNT04:2665143","200"
"190953","ESPORTSTMNT01:2141988","200"
"966030","ESPORTSTMNT02:2974441","100"
"532372","ESPORTSTMNT06:2531989","200"
"181426","ESPORTSTMNT01:2138608","200"
"136262","ESPORTSTMNT02:2830926","200"
"556890","ESPORTSTMNT03:2072202","200"
"341295","ESPORTSTMNT02:1722568","100"
"371865","ESPORTSTMNT01:2744573","200"
"218885","ESPORTSTMNT02:2777731","100"
"901156","ESPORTSTMNT01:3300919","100"
"150216","ESPORTSTMNT04:2200212","100"
"154961","ESPORTSTMNT03:3124379","100"
"964869","ESPORTSTMNT03:2920986","200"
"611583","ESPORTSTMNT01:3339169","100"
"429957","ESPORTSTMNT01:3414586","200"
"523113","ESPORTSTMNT05:1820551","200"
"581915","ESPORTSTMNT01:1896561","100"
"908820","ESPORTSTMNT02:2972057","100"
"727062","ESPORTSTMNT02:1694872","100"
"183425","ESPORTSTMNT01:3403318","200"
"328341","ESPORTSTMNT04:1520494","200"
"492992","ESPORTSTMNT03:1824900","100"
"947372","ESPORTSTMNT05:2941955","100"
"834474","ESPORTSTMNT03:3088580","200"
"226801","ESPORTSTMNT01:3337796","200"
"257979","LPL_A:330258","100"
"118903","ESPORTSTMNT01:3318106","200"
"395336","ESPORTSTMNT03:2636552","200"
"191475","ESPORTSTMNT03:2651798","100"
"327634","ESPORTSTMNT06:2500067","100"
"195534","ESPORTSTMNT02:1105202","200"
"705181","ESPORTSTMNT01:2800157","100"
"1752140","ESPORTSTMNT01:1110367","100"
"300867","ESPORTSTMNT02:1683972","200"
"369167","ESPORTSTMNT01:1882213","200"
"443736","ESPORTSTMNT06:1680692","100"
"531324","ESPORTSTMNT02:3170350","100"
"479077","LPL_A:331706","100"
"177715","ESPORTSTMNT05:1520105","200"
"920280","ESPORTSTMNT05:3223027","100"
"245959","ESPORTSTMNT06:1061976","100"
"471687","ESPORTSTMNT03:1430715","200"
"367572","ESPORTSTMNT02:2063292","100"
"58717","ESPORTSTMNT04:2471343","100"
"823637","ESPORTSTMNT01:1156610","100"
"389623","ESPORTSTMNT04:1120629","100"
"164744","ESPORTSTMNT02:3218933","200"
"815243","ESPORTSTMNT04:1600235","100"
"301503","ESPORTSTMNT02:1391936","200"
"557579","ESPORTSTMNT02:2662620","100"
"576780","ESPORTSTMNT03:1752397","100"
"153340","ESPORTSTMNT02:2971440","200"
"628649","ESPORTSTMNT03:1682216","200"
"175903","ESPORTSTMNT06:2816627","200"
"1001819","ESPORTSTMNT02:1112246","200"
"521741","ESPORTSTMNT02:3213623","200"
"75355","ESPORTSTMNT04:2694216","100"
"177007","ESPORTSTMNT06:1881147","100"
"596014","ESPORTSTMNT01:2772098","100"
"242284","LPL_A:331013","200"
"386380","ESPORTSTMNT03:2073777","100"
"147672","ESPORTSTMNT01:2705762","200"
"166488","ESPORTSTMNT03:2054850","100"
"397778","ESPORTSTMNT05:2060164","100"
"498089","ESPORTSTMNT01:2773354","200"
"345628","ESPORTSTMNT03:1762038","200"
