"eventtime","platformgameid"
"2023-01-17T18:09:03.222Z","ESPORTSTMNT04:2656249"
"2021-06-16T08:04:26.253Z","ESPORTSTMNT02:1960103"
"2022-02-11T14:04:06.780Z","ESPORTSTMNT02:2578572"
"2019-07-12T08:10:29.109Z","ESPORTSTMNT03:1123826"
"2022-04-01T22:09:41.784Z","ESPORTSTMNT03:2655411"
"2021-06-07T08:07:00.042Z","ESPORTSTMNT02:1924529"
"2023-07-01T21:07:13.829Z","ESPORTSTMNT01:3393445"
"2022-07-01T01:56:14.511Z","ESPORTSTMNT03:2799929"
"2022-07-21T20:17:58.306Z","ESPORTSTMNT05:2980443"
"2019-09-05T10:49:57.964Z","ESPORTSTMNT03:1143409"
"2021-08-14T09:01:37.831Z","ESPORTSTMNT03:2092290"
"2020-09-19T18:02:39.827Z","ESPORTSTMNT04:1320065"
"2022-03-20T06:08:44.784Z","ESPORTSTMNT02:2672695"
"2023-01-26T21:20:03.725Z","ESPORTSTMNT03:3090721"
"2022-02-21T08:05:51.086Z","ESPORTSTMNT03:2567706"
"2023-02-07T07:07:58.373Z","ESPORTSTMNT01:3304424"
"2021-02-11T21:18:49.252Z","ESPORTSTMNT05:1832078"
"2021-02-09T17:32:17.151Z","ESPORTSTMNT02:1687445"
"2020-03-13T05:16:50.558Z","ESPORTSTMNT01:1310842"
"2021-08-19T18:21:00.456Z","ESPORTSTMNT06:1881262"
"2019-05-24T00:03:23.211Z","ESPORTSTMNT03:1100569"
"2021-02-13T22:59:05.418Z","ESPORTSTMNT03:1750835"
"2022-02-28T08:04:26.270Z","ESPORTSTMNT01:2732710"
"2023-03-24T20:49:32.289Z","ESPORTSTMNT01:3330780"
"2021-06-24T17:12:17.258Z","ESPORTSTMNT03:1994944"
"2023-06-16T09:33:30.647Z","LPL_A:335192"
"2022-04-16T16:18:22.722Z","ESPORTSTMNT03:2638171"
"2020-02-21T17:07:23.124Z","ESPORTSTMNT05:1410715"
"2022-09-03T11:59:22.634Z","ESPORTSTMNT04:2472230"
"2022-09-04T23:06:12.808Z","ESPORTSTMNT02:2974442"
"2022-03-12T11:00:04.494Z","ESPORTSTMNT05:2580286"
"2023-03-17T10:56:13.155Z","ESPORTSTMNT01:3324649"
"2022-07-02T18:00:47.321Z","ESPORTSTMNT04:2410437"
"2022-06-22T20:36:15.355Z","ESPORTSTMNT06:2460385"
"2023-07-20T13:08:04.547Z","ESPORTSTMNT03:3192506"
"2023-03-03T16:59:41.511Z","ESPORTSTMNT05:3217525"
"2022-03-23T09:13:03.654Z","ESPORTSTMNT02:2663614"
"2023-03-24T19:35:38.456Z","ESPORTSTMNT04:2670306"
"2023-07-12T22:06:04.122Z","ESPORTSTMNT03:3185639"
"2022-06-27T21:58:35.686Z","ESPORTSTMNT03:2788167"
"2021-07-08T18:58:30.256Z","ESPORTSTMNT01:2146764"
"2019-06-05T12:59:28.946Z","ESPORTSTMNT01:1140917"
"2021-10-31T16:11:47.758Z","ESPORTSTMNT04:1961392"
"2021-07-26T17:06:09.713Z","ESPORTSTMNT03:2050460"
"2021-09-19T19:24:23.169Z","ESPORTSTMNT06:1930135"
"2022-01-29T00:52:48.682Z","ESPORTSTMNT01:2698121"
"2022-07-14T15:58:49.948Z","ESPORTSTMNT02:2912439"
"2023-06-14T08:57:06.626Z","ESPORTSTMNT01:3372080"
"2023-01-21T22:25:28.393Z","ESPORTSTMNT06:2767108"
"2022-10-02T20:11:00.085Z","ESPORTSTMNT02:3042846"
"2019-07-06T10:28:14.185Z","ESPORTSTMNT03:1121637"
"2021-02-18T17:03:12.530Z","ESPORTSTMNT06:1580642"
"2022-06-21T20:05:36.803Z","ESPORTSTMNT03:2783623"
"2023-06-04T07:17:07.054Z","LPL_A:330258"
"2023-08-04T13:52:54.702Z","ESPORTSTMNT01:3408529"
"2021-03-01T23:35:34.320Z","ESPORTSTMNT01:1881790"
"2023-08-21T17:57Z","ESPORTSTMNT05:3239449"
"2023-06-12T06:03:04.713Z","ESPORTSTMNT01:3366944"
"2020-07-24T14:11:22.010Z","ESPORTSTMNT04:1240378"
"2021-07-16T23:19:18.081Z","ESPORTSTMNT02:2072325"
"2022-01-30T12:11:21.214Z","ESPORTSTMNT02:2552467"
"2022-03-22T14:02:10.966Z","ESPORTSTMNT06:2260179"
"2023-06-24T18:00:19.225Z","ESPORTSTMNT01:3386889"
"2023-02-15T16:01:15.929Z","ESPORTSTMNT04:2666008"
"2021-04-26T01:21:29.776Z","ESPORTSTMNT03:1827600"
"2021-04-11T23:08:37.586Z","ESPORTSTMNT03:1816442"
"2020-04-05T06:16:48.803Z","ESPORTSTMNT02:1333684"
"2020-02-23T00:59:46.369Z","ESPORTSTMNT02:1294512"
"2023-03-24T14:10:34.012Z","ESPORTSTMNT01:3331625"
"2022-08-16T08:11:29.891Z","ESPORTSTMNT02:2960517"
"2020-08-22T10:35:24.811Z","ESPORTSTMNT03:1442006"
"2023-06-19T18:02:16.200Z","ESPORTSTMNT04:2685607"
"2019-05-01T16:08:19.039Z","ESPORTSTMNT01:1110218"
"2023-06-23T12:00:26.881Z","ESPORTSTMNT02:3207914"
"2022-10-14T22:52:56.680Z","ESPORTSTMNT02:3057724"
"2023-02-10T02:06:03.999Z","ESPORTSTMNT01:3308842"
"2020-07-25T11:37:57.650Z","ESPORTSTMNT01:1434842"
"2020-03-20T07:13:16.263Z","ESPORTSTMNT01:1323352"
"2021-06-20T08:08:02.642Z","ESPORTSTMNT02:1970582"
"2022-02-02T19:08:41.003Z","ESPORTSTMNT02:2574222"
"2021-07-21T18:56:37.566Z","ESPORTSTMNT02:2074792"
"2022-08-22T09:59:25.399Z","ESPORTSTMNT04:2471896"
"2021-05-15T16:10:58.317Z","ESPORTSTMNT06:1730831"
"2021-08-01T14:10:14.809Z","ESPORTSTMNT06:1880345"
"2023-02-19T07:56:47.956Z","ESPORTSTMNT02:3155063"
"2021-02-23T20:48:07.086Z","ESPORTSTMNT03:1756465"
"2023-03-24T18:56:21.713Z","ESPORTSTMNT04:2672281"
"2022-08-06T00:58:15.683Z","ESPORTSTMNT01:3081609"
"2019-10-26T16:43:37.437Z","ESPORTSTMNT06:1072121"
"2021-05-10T17:20:18.910Z","ESPORTSTMNT06:1720572"
"2022-08-26T11:56:30.374Z","ESPORTSTMNT04:2471983"
"2023-02-10T22:07:22.325Z","ESPORTSTMNT01:3311275"
"2020-08-22T01:27:30.820Z","ESPORTSTMNT03:1431950"
"2020-07-26T18:17:09.050Z","ESPORTSTMNT01:1435325"
"2021-06-15T17:22:15.866Z","ESPORTSTMNT06:1830182"
"2021-03-01T01:07:10.184Z","ESPORTSTMNT01:1881359"
"2023-07-12T17:07:15.770Z","ESPORTSTMNT06:2820649"
"2022-08-29T17:43:46.079Z","ESPORTSTMNT05:3090511"
"2021-03-20T23:49:26.223Z","ESPORTSTMNT02:1735106"
"2022-01-31T17:05:31.657Z","ESPORTSTMNT02:2553075"
"2023-07-01T07:14:54.624Z","LPL_B:327632"
"2023-03-19T06:51:55.844Z","ESPORTSTMNT01:3328186"
"2022-02-22T20:03:01.448Z","ESPORTSTMNT03:2568513"
"2022-02-21T17:13:21.895Z","ESPORTSTMNT03:2548322"
"2020-07-04T08:03:01.976Z","ESPORTSTMNT03:1401715"
"2022-08-07T12:18:45.034Z","ESPORTSTMNT03:2930516"
"2020-07-09T12:03:10.644Z","ESPORTSTMNT03:1403647"
"2022-03-17T23:55:22.839Z","ESPORTSTMNT02:2662325"
"2022-08-24T11:16:48.992Z","ESPORTSTMNT02:2962365"
"2022-04-09T01:56:42.203Z","ESPORTSTMNT03:2637336"
"2023-07-27T16:56:48.956Z","ESPORTSTMNT04:2689361"
"2021-03-01T18:13:40.991Z","ESPORTSTMNT01:1891290"
"2022-07-17T22:36:32.243Z","ESPORTSTMNT05:2953111"
"2022-06-30T17:55:30.576Z","ESPORTSTMNT04:2430207"
"2023-02-25T21:05:45.039Z","ESPORTSTMNT02:3165621"
"2022-06-14T22:47:20.012Z","ESPORTSTMNT02:2810455"
"2023-06-25T23:07:37.766Z","ESPORTSTMNT02:3211474"
"2021-07-17T12:05:44.589Z","ESPORTSTMNT01:2139416"
"2019-08-18T21:07:54.583Z","ESPORTSTMNT02:1114787"
"2021-02-12T17:53:50.212Z","ESPORTSTMNT03:1760330"
"2020-02-09T18:25:52.692Z","ESPORTSTMNT01:1304671"
"2023-03-06T18:10:47.768Z","ESPORTSTMNT06:2774157"
"2019-09-08T17:08:53.209Z","ESPORTSTMNT06:1041087"
"2021-02-06T03:34:38.805Z","ESPORTSTMNT02:1685939"
"2023-08-06T17:01:40.765Z","ESPORTSTMNT04:2691897"
"2022-01-25T20:12:42.916Z","ESPORTSTMNT01:2697116"
"2023-07-27T11:40:47.848Z","ESPORTSTMNT03:3195868"
"2022-03-12T17:07:26.243Z","ESPORTSTMNT04:2210452"
"2021-08-07T17:03:55.690Z","ESPORTSTMNT03:2054918"
"2022-02-24T00:11:56.034Z","ESPORTSTMNT01:2730833"
"2019-08-18T20:50:33.259Z","ESPORTSTMNT02:1114784"
"2022-03-09T20:11:10.034Z","ESPORTSTMNT01:2782845"
"2023-07-05T21:05:51.569Z","ESPORTSTMNT03:3175740"
"2023-07-26T18:10:05.743Z","ESPORTSTMNT01:3401168"
"2022-06-17T22:00:47.675Z","ESPORTSTMNT02:2830586"
"2023-04-04T20:26:51.942Z","ESPORTSTMNT05:3220107"
"2023-02-22T11:34:09.058Z","ESPORTSTMNT02:3158788"
"2021-03-09T09:27:35.695Z","ESPORTSTMNT01:1895701"
"2020-04-01T12:50:46.215Z","ESPORTSTMNT02:1332295"
"2022-02-11T22:12:40.576Z","ESPORTSTMNT03:2561920"
"2019-08-23T07:13:52.807Z","ESPORTSTMNT03:1140975"
"2021-02-24T20:13:49.160Z","ESPORTSTMNT06:1571167"
"2021-02-08T18:05:04.325Z","ESPORTSTMNT02:1696695"
"2022-06-26T13:04:08.227Z","ESPORTSTMNT03:2787163"
"2022-07-13T18:11:00.041Z","ESPORTSTMNT02:2912215"
"2022-07-24T10:14:56.873Z","ESPORTSTMNT02:2914943"
"2023-02-22T20:13:14.695Z","ESPORTSTMNT05:3219319"
"2023-01-31T20:09:19.837Z","ESPORTSTMNT03:3097478"
"2023-06-26T09:01:32.009Z","ESPORTSTMNT02:3211556"
"2022-02-02T18:00:30.552Z","ESPORTSTMNT02:2554169"
"2021-03-10T19:13:39.622Z","ESPORTSTMNT04:1600265"
"2023-02-24T06:43:21.369Z","ESPORTSTMNT02:3161911"
"2023-03-10T03:10:42.102Z","ESPORTSTMNT03:3123506"
"2022-01-20T17:22:29.248Z","ESPORTSTMNT01:2694589"
"2021-07-12T10:20:40.458Z","ESPORTSTMNT01:2148537"
"2022-03-04T02:05:51.298Z","ESPORTSTMNT01:2745352"
"2020-04-04T22:53:54.147Z","ESPORTSTMNT02:1333603"
"2022-05-31T23:06:37.256Z","ESPORTSTMNT01:2915631"
"2023-06-22T19:53:14.979Z","ESPORTSTMNT04:2685948"
"2023-07-10T10:14:36.530Z","ESPORTSTMNT02:3221014"
"2022-03-02T20:10:05.857Z","ESPORTSTMNT04:2170453"
"2022-01-25T23:58:27.465Z","ESPORTSTMNT01:2697277"
"2022-03-03T01:25:54.038Z","ESPORTSTMNT01:2744626"
"2022-03-24T19:01:08.798Z","ESPORTSTMNT05:2600038"
"2023-02-26T19:05:24.074Z","ESPORTSTMNT01:3320334"
"2020-07-12T12:03:17.559Z","ESPORTSTMNT06:1300850"
"2020-04-08T17:02:21.037Z","ESPORTSTMNT06:1180338"
"2023-01-27T01:01:50.883Z","ESPORTSTMNT03:3090787"
"2022-03-12T00:01:55.278Z","ESPORTSTMNT04:2220405"
"2022-08-13T16:04:30.259Z","ESPORTSTMNT04:2471307"
"2023-08-26T18:47Z","ESPORTSTMNT02:3232204"
"2023-02-05T18:16:01.352Z","ESPORTSTMNT01:3302641"
"2020-04-17T18:05:52.276Z","ESPORTSTMNT03:1352084"
"2023-07-29T20:06:03.984Z","ESPORTSTMNT01:3401949"
"2022-01-18T18:02:28.506Z","ESPORTSTMNT01:2703490"
"2021-02-22T09:27:10.146Z","ESPORTSTMNT03:1765554"
"2022-01-27T22:55:44.362Z","ESPORTSTMNT02:2551459"
"2022-08-16T09:11:18.581Z","ESPORTSTMNT04:2471601"
"2020-07-03T15:01:05.067Z","ESPORTSTMNT06:1270251"
"2019-07-07T22:07:07.607Z","ESPORTSTMNT02:1086933"
"2022-03-16T00:56:33.291Z","ESPORTSTMNT02:2661609"
"2023-03-30T01:11:24.890Z","ESPORTSTMNT01:3337087"
"2022-06-01T02:27:25.893Z","ESPORTSTMNT01:2905641"
"2022-02-05T00:57:33.216Z","ESPORTSTMNT02:2575567"
"2022-02-19T20:03:00.285Z","ESPORTSTMNT03:2547149"
"2020-08-29T16:55:08.662Z","ESPORTSTMNT06:1310732"
"2020-02-08T04:28:11.513Z","ESPORTSTMNT01:1294233"
"2023-06-23T09:15:45.343Z","LPL_A:335817"
"2021-01-25T17:57:02.622Z","ESPORTSTMNT03:1673830"
"2023-07-29T09:40:32.655Z","ESPORTSTMNT03:3199115"
"2022-07-17T00:36:54.646Z","ESPORTSTMNT05:2952840"
"2021-03-06T19:04:36.268Z","ESPORTSTMNT01:1894614"
"2022-02-17T00:03:20.525Z","ESPORTSTMNT03:2545232"
"2021-08-15T20:10:40.659Z","ESPORTSTMNT03:2092666"
"2022-04-02T20:54:41.415Z","ESPORTSTMNT03:2635993"
"2023-02-10T20:21:52.897Z","ESPORTSTMNT01:3311224"
"2022-02-13T11:06:14.914Z","ESPORTSTMNT02:2558763"
"2022-07-21T17:56:18.065Z","ESPORTSTMNT02:2914509"
"2023-01-30T21:07:04.282Z","ESPORTSTMNT02:3144213"
"2020-08-21T17:53:23.464Z","ESPORTSTMNT06:1320443"
"2022-02-16T21:03:18.504Z","ESPORTSTMNT03:2564748"
"2020-02-02T17:21:46.012Z","ESPORTSTMNT01:1291682"
"2023-01-17T12:28:50.185Z","ESPORTSTMNT06:2762144"
"2022-06-23T17:09:38.205Z","ESPORTSTMNT03:2795078"
"2020-03-08T22:14:51.331Z","ESPORTSTMNT06:1170778"
"2022-05-20T10:15:26.845Z","ESPORTSTMNT03:2714186"
"2023-08-02T10:08:29.262Z","ESPORTSTMNT01:3404970"
"2020-08-15T13:08:08.318Z","ESPORTSTMNT06:1310094"
"2023-02-22T01:49:08.784Z","ESPORTSTMNT02:3157548"
"2022-02-21T19:06:49.563Z","ESPORTSTMNT06:2210930"
"2020-04-02T10:48:03.233Z","ESPORTSTMNT02:1332652"
"2020-02-29T16:04:28.724Z","ESPORTSTMNT06:1170201"
"2022-02-16T16:57:51.167Z","ESPORTSTMNT03:2544851"
"2022-06-17T17:29:37.732Z","ESPORTSTMNT06:2420131"
"2022-03-02T17:09:16.860Z","ESPORTSTMNT04:2170427"
"2023-07-18T02:08:53.539Z","ESPORTSTMNT03:3190648"
"2021-06-03T18:10:22.021Z","ESPORTSTMNT04:1730229"
"2023-08-10T21:09:40.898Z","ESPORTSTMNT02:3225545"
"2022-03-29T23:09:02.702Z","ESPORTSTMNT03:2634748"
"2022-06-06T19:47:53.130Z","ESPORTSTMNT02:2785015"
"2023-01-27T17:46:22.731Z","ESPORTSTMNT06:2768385"
"2022-04-07T16:54:12.727Z","ESPORTSTMNT06:2290589"
"2022-07-29T21:06:23.950Z","ESPORTSTMNT03:2894522"
"2021-08-09T00:58:15.152Z","ESPORTSTMNT03:2075568"
"2023-01-26T17:58:11.438Z","ESPORTSTMNT02:3141733"
"2019-05-14T11:05:47.540Z","ESPORTSTMNT01:1121458"
"2022-08-20T00:01:23.490Z","ESPORTSTMNT02:2971243"
"2022-03-02T20:34:08.558Z","ESPORTSTMNT04:2200484"
"2019-06-16T08:58:35.201Z","ESPORTSTMNT01:1144744"
"2023-04-02T23:18:58.442Z","ESPORTSTMNT01:3339224"
"2023-03-04T02:34:06.119Z","ESPORTSTMNT02:3170641"
"2021-04-17T14:52:58.756Z","ESPORTSTMNT01:1931325"
"2022-01-10T18:10:24.421Z","ESPORTSTMNT01:2690328"
"2020-08-08T11:12:30.586Z","ESPORTSTMNT05:1540396"
"2023-03-12T00:32:18.280Z","ESPORTSTMNT06:2774501"
"2021-08-08T11:06:16.114Z","ESPORTSTMNT06:1880576"
"2021-06-05T23:31:48.447Z","ESPORTSTMNT02:1933446"
"2022-09-01T20:58:07.991Z","ESPORTSTMNT02:2973546"
"2023-02-07T01:04:36.988Z","ESPORTSTMNT03:3102269"
"2022-01-30T18:02:44.145Z","ESPORTSTMNT01:2698240"
"2020-03-21T21:12:44.521Z","ESPORTSTMNT01:1324117"
"2021-02-20T14:57:08.815Z","ESPORTSTMNT06:1570927"
"2023-03-23T11:29:56.122Z","ESPORTSTMNT01:3330362"
"2021-07-05T20:15:23.044Z","ESPORTSTMNT01:2144995"
"2022-05-20T23:23:47.911Z","ESPORTSTMNT03:2704284"
"2023-02-28T15:08:05.337Z","ESPORTSTMNT02:3166677"
"2023-07-30T10:42:16.508Z","ESPORTSTMNT03:3199251"
"2021-02-20T00:07:52.472Z","ESPORTSTMNT03:1754572"
"2022-02-20T16:25:32.545Z","ESPORTSTMNT06:2190891"
"2021-03-21T15:09:56.408Z","ESPORTSTMNT05:1860847"
"2021-02-27T11:45:25.499Z","ESPORTSTMNT03:1757878"
"2023-07-27T17:55:40.732Z","ESPORTSTMNT04:2690336"
"2023-02-19T01:39:36.225Z","ESPORTSTMNT02:3152984"
"2021-01-20T22:27:43.533Z","ESPORTSTMNT01:1693219"
"2022-07-28T19:13:57.721Z","ESPORTSTMNT06:2531241"
"2020-06-21T22:53:58.542Z","ESPORTSTMNT02:1382458"
"2021-02-18T10:08:40.530Z","ESPORTSTMNT03:1763358"
"2022-08-06T23:37:31.652Z","ESPORTSTMNT01:3091876"
"2019-05-24T22:18:03.732Z","ESPORTSTMNT03:1100709"
"2021-08-16T14:43:47.200Z","ESPORTSTMNT06:1861018"
"2022-01-27T17:05:45.836Z","ESPORTSTMNT01:2707629"
"2020-06-09T17:57:50.081Z","ESPORTSTMNT04:1230448"
"2023-03-01T19:44:23.920Z","ESPORTSTMNT02:3171080"
"2021-03-27T10:09:31.852Z","ESPORTSTMNT02:1770134"
"2021-08-21T12:42:10.849Z","ESPORTSTMNT06:1881313"
"2021-04-24T22:23:53.967Z","ESPORTSTMNT03:1827538"
"2023-02-25T00:02:33.441Z","ESPORTSTMNT02:3165238"
"2023-01-25T20:15:01.268Z","ESPORTSTMNT04:2665319"
"2020-12-18T05:24:43.008Z","ESPORTSTMNT03:1631061"
"2020-07-23T08:09:01.846Z","ESPORTSTMNT01:1433876"
"2021-12-08T12:33:30.345Z","ESPORTSTMNT01:2572391"
"2021-06-10T14:01:59.935Z","ESPORTSTMNT05:1981030"
"2021-03-17T00:09:04.794Z","ESPORTSTMNT02:1733204"
"2022-09-03T09:14:00.034Z","ESPORTSTMNT01:3096874"
"2019-07-06T19:26:02.564Z","ESPORTSTMNT03:1111847"
"2023-06-15T09:17:31.449Z","LPL_A:334119"
"2022-07-02T14:55:02.204Z","ESPORTSTMNT04:2410397"
"2023-02-12T18:13:13.805Z","ESPORTSTMNT01:3313186"
"2022-07-24T20:52:46.720Z","ESPORTSTMNT03:2892172"
"2020-04-10T16:58:50.123Z","ESPORTSTMNT05:1430640"
"2023-04-04T22:09:20.533Z","ESPORTSTMNT01:3340421"
"2022-03-12T09:14:37.053Z","ESPORTSTMNT01:2800026"
"2023-01-27T19:57:18.909Z","ESPORTSTMNT06:2769382"
"2019-07-05T23:52:17.608Z","ESPORTSTMNT02:1086423"
"2021-07-20T17:43:06.039Z","ESPORTSTMNT02:2064203"
"2019-09-07T16:08:43.948Z","ESPORTSTMNT06:1041065"
"2022-06-21T17:25:06.886Z","ESPORTSTMNT03:2783457"
"2023-03-05T02:54:07.555Z","ESPORTSTMNT02:3170763"
"2020-07-10T07:11:22.202Z","ESPORTSTMNT03:1404051"
"2022-06-08T01:19:12.583Z","ESPORTSTMNT02:2775884"
"2023-02-03T11:33:47.397Z","ESPORTSTMNT03:3100615"
"2022-01-10T08:08:27.712Z","ESPORTSTMNT01:2690210"
"2023-07-26T20:00:55.486Z","ESPORTSTMNT04:2689288"
"2023-03-19T20:30:47.270Z","ESPORTSTMNT03:3131795"
"2022-01-22T16:30:43.233Z","ESPORTSTMNT01:2695708"
"2020-07-26T10:06:50.106Z","ESPORTSTMNT01:1435191"
"2021-03-10T20:16:52.547Z","ESPORTSTMNT01:1886588"
"2023-07-10T09:54:20.498Z","LPL_B:329372"
"2023-01-24T19:11:35.195Z","ESPORTSTMNT03:3089189"
"2023-03-18T13:44:46.393Z","ESPORTSTMNT03:3129711"
"2022-01-30T20:37:20.537Z","ESPORTSTMNT01:2698252"
"2020-04-08T16:07:06.860Z","ESPORTSTMNT06:1180325"
"2022-08-20T18:29:16.950Z","ESPORTSTMNT04:2451746"
"2023-02-05T17:18:06.986Z","ESPORTSTMNT01:3300727"
"2020-07-23T23:07:22.909Z","ESPORTSTMNT01:1434242"
"2020-07-25T20:02:24.937Z","ESPORTSTMNT01:1424822"
"2023-01-26T20:25:35.771Z","ESPORTSTMNT06:2769338"
"2023-07-16T07:16:02.187Z","LPL_B:328942"
"2022-03-16T23:15:37.690Z","ESPORTSTMNT02:2661945"
"2023-07-12T11:22:48.333Z","LPL_B:329574"
"2022-02-18T10:03:00.752Z","ESPORTSTMNT03:2546211"
"2022-07-05T18:56:50.951Z","ESPORTSTMNT01:2965359"
"2020-09-29T08:03:04.362Z","ESPORTSTMNT03:1531408"
"2023-08-15T16:49:40.695Z","ESPORTSTMNT04:2692270"
"2020-03-08T00:19:09.641Z","ESPORTSTMNT03:1334671"
"2022-10-13T19:12:22.375Z","ESPORTSTMNT02:3057453"
"2022-03-05T17:48:42.083Z","ESPORTSTMNT04:2220150"
"2020-07-19T11:44:42.303Z","ESPORTSTMNT03:1415806"
"2021-07-15T17:09:06.581Z","ESPORTSTMNT02:2061780"
