"gametime","platformgameid","teamid","buildingtype"
"1944794","ESPORTSTMNT03:3086776","200","inhibitor"
"948324","ESPORTSTMNT01:3322521","200","turret"
"954876","ESPORTSTMNT05:3060426","200","turret"
"902667","ESPORTSTMNT03:2546019","100","turret"
"860944","ESPORTSTMNT05:2750367","200","turret"
"891875","ESPORTSTMNT01:3319378","100","turret"
"890472","ESPORTSTMNT03:3088138","200","turret"
"1865643","ESPORTSTMNT03:2931137","100","inhibitor"
"608109","ESPORTSTMNT01:2770248","100","turret"
"2335920","ESPORTSTMNT06:1170820","200","inhibitor"
"1385939","ESPORTSTMNT01:2916140","100","turret"
"1009892","ESPORTSTMNT02:1722354","200","turret"
"2662777","ESPORTSTMNT01:1414316","100","inhibitor"
"841027","ESPORTSTMNT02:1922258","200","turret"
"1096177","ESPORTSTMNT02:2066419","100","turret"
"950604","ESPORTSTMNT04:1961283","200","turret"
"1057439","ESPORTSTMNT03:1334872","200","turret"
"1026778","ESPORTSTMNT02:3140502","200","turret"
"1686085","ESPORTSTMNT01:1895857","200","inhibitor"
"906029","ESPORTSTMNT02:2140346","200","turret"
"777492","ESPORTSTMNT04:1520210","200","turret"
"1410730","ESPORTSTMNT03:3097500","200","inhibitor"
"847396","ESPORTSTMNT02:2663191","200","turret"
"1162069","ESPORTSTMNT01:2690695","100","turret"
"1030530","ESPORTSTMNT03:3086289","200","turret"
"1826382","ESPORTSTMNT01:3407772","200","inhibitor"
"908775","ESPORTSTMNT02:2914024","100","turret"
"1872414","ESPORTSTMNT02:2973776","200","inhibitor"
"634570","ESPORTSTMNT02:3165395","100","turret"
"1832342","ESPORTSTMNT03:1321624","100","inhibitor"
"746491","ESPORTSTMNT04:2110186","100","turret"
"718830","ESPORTSTMNT02:2070559","100","turret"
"595802","ESPORTSTMNT01:2697054","100","turret"
"1190725","ESPORTSTMNT03:2971685","200","turret"
"701289","ESPORTSTMNT01:2697430","100","turret"
"746529","ESPORTSTMNT01:1295467","200","turret"
"1778450","ESPORTSTMNT06:2775428","200","inhibitor"
"1749970","ESPORTSTMNT05:2760342","100","inhibitor"
"921364","ESPORTSTMNT06:1320892","100","turret"
"981542","ESPORTSTMNT06:2769151","100","turret"
"1309602","ESPORTSTMNT04:1530631","100","inhibitor"
"810879","ESPORTSTMNT03:1823042","100","turret"
"1063297","ESPORTSTMNT01:2141988","100","turret"
"1464458","ESPORTSTMNT03:1826725","200","inhibitor"
"1003931","ESPORTSTMNT01:1144300","200","turret"
"918107","ESPORTSTMNT02:1810418","200","turret"
"1701729","ESPORTSTMNT02:3215431","200","inhibitor"
"1068471","ESPORTSTMNT01:2742492","200","turret"
"859698","ESPORTSTMNT01:3408372","100","turret"
"1092367","ESPORTSTMNT03:3098932","100","turret"
"724029","ESPORTSTMNT02:2555005","100","turret"
"1667151","ESPORTSTMNT06:2340457","200","inhibitor"
"1397128","ESPORTSTMNT03:2101374","100","inhibitor"
"2019873","ESPORTSTMNT01:2905087","100","inhibitor"
"720007","ESPORTSTMNT03:2799499","100","turret"
"894662","ESPORTSTMNT03:3200165","100","turret"
"1102563","ESPORTSTMNT03:3084614","100","turret"
"1064862","ESPORTSTMNT04:2693199","100","turret"
"1677151","ESPORTSTMNT02:1293807","100","inhibitor"
"1396369","ESPORTSTMNT03:2569574","100","inhibitor"
"855409","ESPORTSTMNT01:1144374","200","turret"
"868158","ESPORTSTMNT03:1323923","100","turret"
"1098409","ESPORTSTMNT02:3230572","200","turret"
"809416","ESPORTSTMNT01:3329396","100","turret"
"982866","ESPORTSTMNT04:1800524","100","turret"
"1191446","ESPORTSTMNT01:2136378","100","turret"
"1447436","ESPORTSTMNT03:3088240","100","inhibitor"
"1075912","ESPORTSTMNT02:1383977","200","turret"
"1069754","ESPORTSTMNT02:3216873","200","turret"
"2210529","ESPORTSTMNT03:3193232","100","inhibitor"
"2058588","ESPORTSTMNT02:2344304","200","inhibitor"
"797712","ESPORTSTMNT02:3216894","100","turret"
"629286","ESPORTSTMNT02:2663281","100","turret"
"969114","ESPORTSTMNT02:3156570","200","turret"
"1493082","ESPORTSTMNT01:2734571","100","inhibitor"
"1525985","ESPORTSTMNT03:2713480","100","inhibitor"
"1405866","ESPORTSTMNT03:3131679","100","turret"
"2460987","ESPORTSTMNT04:2110622","200","inhibitor"
"978919","ESPORTSTMNT06:2820762","100","turret"
"1426053","ESPORTSTMNT04:2430723","100","inhibitor"
"891692","ESPORTSTMNT04:2210311","100","turret"
"1331724","ESPORTSTMNT03:1812827","100","turret"
"981109","ESPORTSTMNT02:1102215","100","turret"
"662741","ESPORTSTMNT04:1120126","200","turret"
"1378536","ESPORTSTMNT03:1752375","200","inhibitor"
"1977077","ESPORTSTMNT01:3315872","200","inhibitor"
"2089950","ESPORTSTMNT06:2290204","100","inhibitor"
"2525160","ESPORTSTMNT03:1401407","200","inhibitor"
"1127199","ESPORTSTMNT04:2220392","100","turret"
"1277515","ESPORTSTMNT05:2980537","100","turret"
"865494","ESPORTSTMNT06:2816672","200","turret"
"2681687","ESPORTSTMNT01:3331506","100","inhibitor"
"1703947","ESPORTSTMNT03:3198296","100","inhibitor"
"1133638","ESPORTSTMNT05:2952381","200","turret"
"947885","ESPORTSTMNT06:1570194","100","turret"
"1091235","LPL_A:331029","100","turret"
"651366","ESPORTSTMNT02:2558573","100","turret"
"2023469","ESPORTSTMNT05:3239459","100","inhibitor"
"957246","ESPORTSTMNT02:3142222","100","turret"
"1040939","ESPORTSTMNT01:1894726","200","turret"
"1870345","ESPORTSTMNT06:2816897","100","inhibitor"
"1007180","ESPORTSTMNT02:1091293","200","turret"
"1404145","ESPORTSTMNT02:1286962","200","inhibitor"
"926810","ESPORTSTMNT02:3155254","200","turret"
"921748","ESPORTSTMNT02:1086823","100","turret"
"719106","ESPORTSTMNT01:1310854","200","turret"
"894873","ESPORTSTMNT02:3221014","100","turret"
"799430","ESPORTSTMNT02:1296231","100","turret"
"2148925","ESPORTSTMNT06:1680508","100","inhibitor"
"1714588","ESPORTSTMNT03:3159919","200","inhibitor"
"1541429","ESPORTSTMNT06:2260138","200","inhibitor"
"976813","ESPORTSTMNT06:2821255","100","turret"
"986990","ESPORTSTMNT03:3197195","200","turret"
"1848060","ESPORTSTMNT03:2795401","200","inhibitor"
"1049013","ESPORTSTMNT01:3384246","200","turret"
"942118","ESPORTSTMNT04:2669522","200","turret"
"1915143","ESPORTSTMNT01:2694197","200","inhibitor"
"1334369","ESPORTSTMNT02:2971588","100","turret"
"683843","ESPORTSTMNT02:2076952","200","turret"
"811679","ESPORTSTMNT06:1830739","100","turret"
"1141837","ESPORTSTMNT02:3226692","100","turret"
"1861920","ESPORTSTMNT03:2007068","200","inhibitor"
"1857657","ESPORTSTMNT02:2661119","100","inhibitor"
"596931","ESPORTSTMNT02:2911406","200","turret"
"1415297","ESPORTSTMNT02:2775530","200","inhibitor"
"649858","ESPORTSTMNT02:2774489","100","turret"
"889775","ESPORTSTMNT03:1762813","100","turret"
"1374646","ESPORTSTMNT02:1733204","100","inhibitor"
"1636712","ESPORTSTMNT06:2823334","100","inhibitor"
"1195026","ESPORTSTMNT06:2542318","200","turret"
"858382","ESPORTSTMNT04:2691897","100","turret"
"947091","ESPORTSTMNT01:2137645","100","turret"
"688604","ESPORTSTMNT04:2210356","200","turret"
"1581243","ESPORTSTMNT06:1830647","200","inhibitor"
"2350714","ESPORTSTMNT01:3324890","100","inhibitor"
"1776608","ESPORTSTMNT02:1687599","200","inhibitor"
"819698","ESPORTSTMNT02:1686389","200","turret"
"1753346","ESPORTSTMNT02:2076062","100","inhibitor"
"600180","ESPORTSTMNT04:1660593","200","turret"
"988702","ESPORTSTMNT02:2790000","100","turret"
"898804","ESPORTSTMNT04:2670224","100","turret"
"957304","ESPORTSTMNT01:1721772","100","turret"
"1121655","ESPORTSTMNT05:2560065","200","turret"
"995245","ESPORTSTMNT02:2777029","200","turret"
"1019979","ESPORTSTMNT06:2531436","200","turret"
"806765","ESPORTSTMNT01:3370411","200","turret"
"814800","ESPORTSTMNT02:2071279","100","turret"
"857819","ESPORTSTMNT02:3216819","100","turret"
"972714","ESPORTSTMNT01:2772923","200","turret"
"974717","ESPORTSTMNT06:1270216","100","turret"
"929484","ESPORTSTMNT02:2574717","100","turret"
"961314","ESPORTSTMNT05:2070585","200","turret"
"2075499","ESPORTSTMNT03:1762177","200","inhibitor"
"1384196","ESPORTSTMNT02:1112427","100","turret"
"743522","ESPORTSTMNT02:2661160","100","turret"
"1336911","ESPORTSTMNT03:3141996","100","inhibitor"
"1376211","ESPORTSTMNT03:3099450","100","inhibitor"
"873380","ESPORTSTMNT06:1720263","200","turret"
"1792591","ESPORTSTMNT01:1121389","200","inhibitor"
"621311","ESPORTSTMNT01:1424337","200","turret"
"1803681","ESPORTSTMNT01:3371582","200","inhibitor"
"662740","ESPORTSTMNT02:3057516","200","turret"
"611985","ESPORTSTMNT04:2685982","200","turret"
"1370661","ESPORTSTMNT03:2102070","100","inhibitor"
"909128","ESPORTSTMNT04:2665600","200","turret"
"965895","ESPORTSTMNT01:3317552","200","turret"
"1617804","ESPORTSTMNT03:1682269","200","inhibitor"
"2425019","ESPORTSTMNT03:1414271","100","inhibitor"
"1319186","ESPORTSTMNT01:3366859","200","inhibitor"
"771581","ESPORTSTMNT03:1128619","200","turret"
"866780","ESPORTSTMNT03:1766383","100","turret"
"1299111","ESPORTSTMNT02:2554198","100","inhibitor"
"1810071","ESPORTSTMNT03:1432882","100","inhibitor"
"872499","ESPORTSTMNT03:3119765","100","turret"
"892954","ESPORTSTMNT05:2610017","200","turret"
"1148244","ESPORTSTMNT02:3059738","200","turret"
"1215175","ESPORTSTMNT01:2148767","200","turret"
"986482","ESPORTSTMNT01:3414385","100","turret"
"1600210","ESPORTSTMNT02:2430728","200","inhibitor"
"1657971","ESPORTSTMNT04:2140098","100","inhibitor"
"1686607","ESPORTSTMNT03:1757957","200","inhibitor"
"1018968","ESPORTSTMNT01:3383571","200","turret"
"1678762","ESPORTSTMNT01:3314317","200","inhibitor"
"919126","ESPORTSTMNT01:1324492","200","turret"
"1191822","ESPORTSTMNT02:3164431","100","turret"
"893042","ESPORTSTMNT05:1180713","100","turret"
"1323161","LPL_A:343342","200","inhibitor"
"1070514","ESPORTSTMNT02:1394880","200","turret"
"1569879","ESPORTSTMNT05:2070136","200","inhibitor"
"937680","ESPORTSTMNT06:1881049","200","turret"
"1623643","ESPORTSTMNT06:1580798","200","inhibitor"
"2120502","ESPORTSTMNT01:3321700","200","inhibitor"
"628774","ESPORTSTMNT03:3100324","100","turret"
"897678","ESPORTSTMNT02:1726064","100","turret"
"1392362","ESPORTSTMNT02:3161869","100","inhibitor"
"1157934","ESPORTSTMNT03:2003010","200","turret"
"1297629","ESPORTSTMNT02:3212138","200","turret"
"930577","ESPORTSTMNT05:2952305","200","turret"
"1867445","ESPORTSTMNT03:2798853","100","inhibitor"
"974761","ESPORTSTMNT01:1301270","100","turret"
"1150601","ESPORTSTMNT04:1120436","200","turret"
"954397","ESPORTSTMNT06:2191090","100","turret"
"1453438","ESPORTSTMNT04:2431271","100","turret"
"846587","ESPORTSTMNT06:1571102","100","turret"
"887052","ESPORTSTMNT01:3343111","200","turret"
"1844289","ESPORTSTMNT03:2713110","200","inhibitor"
"1856892","ESPORTSTMNT04:2656249","200","inhibitor"
"1118713","ESPORTSTMNT02:2775104","100","turret"
"709151","ESPORTSTMNT02:2776391","100","turret"
"1840462","ESPORTSTMNT02:1681753","100","inhibitor"
"929226","ESPORTSTMNT03:2701947","100","turret"
"1392417","ESPORTSTMNT03:3179521","100","turret"
"2218770","ESPORTSTMNT01:1292296","100","inhibitor"
"714404","ESPORTSTMNT02:3217200","100","turret"
"862309","ESPORTSTMNT05:1870216","200","turret"
"1827369","ESPORTSTMNT02:2787299","200","inhibitor"
"968546","ESPORTSTMNT02:2786703","100","turret"
"1864573","ESPORTSTMNT03:2566602","200","inhibitor"
"1043827","ESPORTSTMNT01:1304671","200","turret"
"1017409","ESPORTSTMNT01:1156407","200","turret"
"1562943","ESPORTSTMNT01:3315675","100","inhibitor"
"2127136","ESPORTSTMNT03:2893387","100","inhibitor"
"1493688","ESPORTSTMNT04:2675423","200","turret"
"1234402","ESPORTSTMNT01:2691546","100","turret"
"736142","ESPORTSTMNT02:2553352","200","turret"
"1396506","ESPORTSTMNT02:1281307","200","turret"
"1138848","ESPORTSTMNT04:1570217","200","turret"
"1756069","ESPORTSTMNT01:1895540","200","inhibitor"
"875509","ESPORTSTMNT03:1141253","100","turret"
"929631","ESPORTSTMNT02:1735111","100","turret"
"1705861","ESPORTSTMNT05:1400217","100","inhibitor"
"1129169","ESPORTSTMNT01:3320028","200","turret"
"1799284","ESPORTSTMNT01:1306343","200","inhibitor"
"1040177","ESPORTSTMNT03:1128757","100","inhibitor"
"1077877","ESPORTSTMNT03:3126579","100","turret"
"1317388","ESPORTSTMNT01:2708044","200","turret"
"1696106","ESPORTSTMNT01:3372768","100","turret"
"639820","ESPORTSTMNT01:2903317","100","turret"
"990931","ESPORTSTMNT03:1123791","200","turret"
"1545752","ESPORTSTMNT01:2690815","100","inhibitor"
"785096","ESPORTSTMNT02:1092532","100","turret"
"1893488","ESPORTSTMNT04:2692229","200","inhibitor"
"1421553","ESPORTSTMNT01:1426081","200","turret"
"1537836","ESPORTSTMNT04:1491156","200","inhibitor"
"766623","ESPORTSTMNT04:2690257","200","turret"
"883728","ESPORTSTMNT01:1134592","100","turret"
"2114086","ESPORTSTMNT01:1722425","200","inhibitor"
"856710","ESPORTSTMNT01:2770248","200","turret"
"746231","ESPORTSTMNT03:1994602","200","turret"
"2078290","ESPORTSTMNT05:1400857","200","inhibitor"
"2488478","ESPORTSTMNT05:2942027","200","inhibitor"
"1404206","ESPORTSTMNT01:3381574","200","inhibitor"
"1029333","ESPORTSTMNT06:2761131","200","turret"
"670046","ESPORTSTMNT01:1360861","100","turret"
"744320","ESPORTSTMNT03:2796101","200","turret"
"873769","ESPORTSTMNT03:1751084","100","turret"
"1339778","ESPORTSTMNT05:2951904","200","turret"
"969127","ESPORTSTMNT02:1936605","200","turret"
"653398","ESPORTSTMNT03:1823181","200","turret"
"1748825","ESPORTSTMNT06:2776059","200","inhibitor"
"893972","ESPORTSTMNT01:1880664","200","turret"
"1170044","ESPORTSTMNT04:2669292","100","turret"
"1832331","ESPORTSTMNT03:2542716","100","inhibitor"
"1008809","ESPORTSTMNT02:1411724","100","turret"
"933188","ESPORTSTMNT03:2638159","100","turret"
"1675256","ESPORTSTMNT01:2965349","100","turret"
"884408","ESPORTSTMNT05:3217460","100","turret"
"1161054","ESPORTSTMNT02:3216173","100","turret"
"1627844","ESPORTSTMNT02:2788002","200","inhibitor"
"1011657","ESPORTSTMNT02:1081486","200","turret"
"1042817","ESPORTSTMNT01:1892085","100","turret"
"1040230","ESPORTSTMNT02:2060945","100","turret"
"1489116","ESPORTSTMNT04:1520192","200","turret"
"1017199","ESPORTSTMNT01:2782487","100","turret"
"730943","ESPORTSTMNT05:1780277","200","turret"
"1131133","ESPORTSTMNT01:3325855","200","turret"
"574599","ESPORTSTMNT01:2250472","100","turret"
"892359","ESPORTSTMNT03:2543117","100","turret"
"862600","ESPORTSTMNT02:2575958","200","turret"
"544514","ESPORTSTMNT05:3239472","200","turret"
"926845","ESPORTSTMNT02:3230314","100","turret"
"898249","ESPORTSTMNT05:2941719","200","turret"
"1477481","ESPORTSTMNT02:3215276","100","inhibitor"
"936313","ESPORTSTMNT06:2769151","200","turret"
"782807","ESPORTSTMNT02:1685282","200","turret"
"2038147","ESPORTSTMNT03:2638212","200","inhibitor"
"2179395","ESPORTSTMNT04:2220030","200","inhibitor"
"722207","ESPORTSTMNT01:3340638","100","turret"
"1156594","ESPORTSTMNT04:2668055","100","turret"
"1698052","ESPORTSTMNT04:2090751","200","inhibitor"
"2272694","ESPORTSTMNT03:3131920","100","inhibitor"
"1140867","ESPORTSTMNT06:1031228","200","inhibitor"
"559907","ESPORTSTMNT02:1401599","200","turret"
"2223493","ESPORTSTMNT03:1415803","100","inhibitor"
"760330","ESPORTSTMNT06:1070365","100","turret"
"1548866","ESPORTSTMNT03:2590224","200","inhibitor"
"2160738","ESPORTSTMNT06:2350481","200","inhibitor"
"1376671","ESPORTSTMNT01:2141248","200","turret"
"1736602","ESPORTSTMNT03:1091182","100","inhibitor"
"1063437","ESPORTSTMNT02:2830374","100","turret"
"740144","ESPORTSTMNT03:1756813","200","turret"
"1949002","ESPORTSTMNT03:2007659","100","inhibitor"
"1059447","ESPORTSTMNT01:1163171","100","turret"
"1355369","ESPORTSTMNT04:2691340","200","inhibitor"
"951916","ESPORTSTMNT05:3220282","100","turret"
"1866661","ESPORTSTMNT06:2774727","200","inhibitor"
"1641822","ESPORTSTMNT01:3310542","100","inhibitor"
"688372","ESPORTSTMNT04:1490445","200","turret"
"1959187","ESPORTSTMNT01:3338377","100","inhibitor"
"623239","ESPORTSTMNT06:2767464","200","turret"
"1899733","ESPORTSTMNT01:3389572","100","inhibitor"
"960316","ESPORTSTMNT03:1826081","100","turret"
"839279","ESPORTSTMNT01:3386993","200","turret"
"898939","ESPORTSTMNT02:3155436","200","turret"
"1741168","ESPORTSTMNT06:2822421","100","inhibitor"
"893985","ESPORTSTMNT03:1117573","100","turret"
"738512","ESPORTSTMNT02:2840804","200","turret"
"919367","ESPORTSTMNT01:3415168","200","turret"
"1345838","ESPORTSTMNT03:3085465","200","inhibitor"
"947016","ESPORTSTMNT05:3220096","200","turret"
"1047933","ESPORTSTMNT01:1890244","100","turret"
"2277808","ESPORTSTMNT05:3217309","100","inhibitor"
"1216509","ESPORTSTMNT05:3218376","100","turret"
"1415938","ESPORTSTMNT02:1693300","100","inhibitor"
"1606402","ESPORTSTMNT02:3210486","200","inhibitor"
"1025178","ESPORTSTMNT06:1730970","200","turret"
"906850","ESPORTSTMNT03:2799551","200","turret"
"1999974","ESPORTSTMNT02:3164049","200","inhibitor"
"1727638","ESPORTSTMNT03:1994944","200","inhibitor"
"893502","ESPORTSTMNT05:2060710","100","turret"
"1517503","ESPORTSTMNT02:3156460","200","inhibitor"
"575107","ESPORTSTMNT03:2103934","200","turret"
"927636","ESPORTSTMNT04:2471329","200","turret"
"1791483","ESPORTSTMNT05:1520117","100","inhibitor"
"871904","ESPORTSTMNT06:1320904","200","turret"
"1566226","ESPORTSTMNT06:2570474","100","turret"
"1100195","ESPORTSTMNT02:3216581","100","turret"
"1922031","ESPORTSTMNT01:3339112","200","inhibitor"
"634760","ESPORTSTMNT02:2150530","200","turret"
"1602161","ESPORTSTMNT03:3134331","200","inhibitor"
"1483639","ESPORTSTMNT04:2689784","100","inhibitor"
"957358","ESPORTSTMNT01:1434754","200","turret"
"1562913","ESPORTSTMNT01:3309872","100","inhibitor"
"1190915","ESPORTSTMNT01:2706652","100","turret"
"1508424","ESPORTSTMNT01:3407707","100","inhibitor"
"711521","ESPORTSTMNT06:1320072","200","turret"
"864744","ESPORTSTMNT03:3165885","200","turret"
"797859","ESPORTSTMNT04:2451470","200","turret"
"2103307","ESPORTSTMNT03:3176234","200","inhibitor"
"917542","ESPORTSTMNT04:1660258","200","turret"
"1170812","ESPORTSTMNT02:1381638","200","inhibitor"
"1033365","ESPORTSTMNT02:2776979","200","turret"
"925161","ESPORTSTMNT02:1938031","100","turret"
"1786712","ESPORTSTMNT04:2683411","200","inhibitor"
"1306962","ESPORTSTMNT06:1071731","200","inhibitor"
"1918814","ESPORTSTMNT01:2705190","100","inhibitor"
"1129561","ESPORTSTMNT04:970306","200","inhibitor"
"1845018","ESPORTSTMNT02:2551050","100","inhibitor"
"1764931","ESPORTSTMNT05:2520930","200","inhibitor"
"1175037","ESPORTSTMNT01:2732740","200","turret"
"1094211","ESPORTSTMNT04:1670386","100","turret"
"683960","ESPORTSTMNT03:1762174","100","turret"
"729957","ESPORTSTMNT02:1937333","100","turret"
"1706277","ESPORTSTMNT02:2913994","100","inhibitor"
"958956","ESPORTSTMNT04:2686417","200","turret"
"949100","ESPORTSTMNT02:3080871","100","turret"
"667456","ESPORTSTMNT01:2691081","100","turret"
"1251832","ESPORTSTMNT02:3161995","100","turret"
"2014867","ESPORTSTMNT03:2075305","200","inhibitor"
"932557","ESPORTSTMNT05:2060136","100","turret"
"970501","ESPORTSTMNT03:1757799","200","turret"
"632012","ESPORTSTMNT06:1880262","100","turret"
"856859","ESPORTSTMNT06:2773449","200","turret"
"977194","ESPORTSTMNT01:2147506","100","turret"
"1329478","ESPORTSTMNT01:2983247","100","turret"
"1444972","ESPORTSTMNT01:3374926","100","turret"
"1953632","ESPORTSTMNT02:1101662","100","inhibitor"
"785634","ESPORTSTMNT01:3328685","200","turret"
"1663883","ESPORTSTMNT03:2634798","200","inhibitor"
"1809721","ESPORTSTMNT01:2913860","200","inhibitor"
"1787912","ESPORTSTMNT03:2786114","100","inhibitor"
"1280732","ESPORTSTMNT02:1687599","100","turret"
"903428","ESPORTSTMNT04:2410988","200","turret"
"1003774","ESPORTSTMNT01:2915136","100","turret"
"1035220","ESPORTSTMNT02:3231263","100","turret"
"1313651","ESPORTSTMNT01:2139470","100","turret"
"1124670","ESPORTSTMNT05:3090142","200","turret"
"960827","ESPORTSTMNT04:2450994","100","turret"
"1834605","ESPORTSTMNT03:2569332","100","inhibitor"
"2112070","ESPORTSTMNT03:3198196","100","inhibitor"
"1205297","ESPORTSTMNT01:2966100","100","turret"
"1041248","ESPORTSTMNT01:3338908","200","inhibitor"
"975365","ESPORTSTMNT02:2554376","200","turret"
"1010135","ESPORTSTMNT03:1751168","100","turret"
"927109","ESPORTSTMNT04:1810905","100","turret"
