"platformgameid","blue_kills","red_kills"
"ESPORTSTMNT06:2470197","19","4"
"ESPORTSTMNT02:3210287","13","25"
"ESPORTSTMNT01:2772293","4","19"
"ESPORTSTMNT01:3417444","13","5"
"ESPORTSTMNT04:1890432","25","19"
"ESPORTSTMNT06:2542237","12","24"
"ESPORTSTMNT02:3048494","10","27"
"ESPORTSTMNT06:1160126","11","11"
"ESPORTSTMNT03:2000344","21","7"
"ESPORTSTMNT02:2067487","6","10"
"ESPORTSTMNT01:1692634","8","13"
"ESPORTSTMNT01:3326211","7","12"
"ESPORTSTMNT03:2920963","3","16"
"ESPORTSTMNT01:2905922","18","21"
"ESPORTSTMNT01:2705951","6","8"
"ESPORTSTMNT03:3092604","11","14"
"ESPORTSTMNT05:1510540","14","22"
"ESPORTSTMNT01:2131104","7","22"
"ESPORTSTMNT02:2065340","25","9"
"ESPORTSTMNT03:1682323","0","12"
"ESPORTSTMNT01:1403832","8","20"
"ESPORTSTMNT04:1800787","16","8"
"ESPORTSTMNT03:3165086","19","5"
"ESPORTSTMNT02:1736078","20","6"
"ESPORTSTMNT02:2788476","12","5"
"ESPORTSTMNT02:2777731","16","10"
"ESPORTSTMNT03:2565398","4","20"
"ESPORTSTMNT03:3177980","12","24"
"ESPORTSTMNT03:1757918","22","3"
"ESPORTSTMNT05:1430156","6","20"
"ESPORTSTMNT04:2451189","27","15"
"ESPORTSTMNT01:1721617","5","15"
"ESPORTSTMNT05:2060817","9","21"
"ESPORTSTMNT02:3215431","13","5"
"ESPORTSTMNT04:1971325","7","15"
"ESPORTSTMNT03:2567871","9","30"
"ESPORTSTMNT01:3310923","11","8"
"ESPORTSTMNT01:3300956","12","8"
"ESPORTSTMNT02:3048364","10","14"
"ESPORTSTMNT04:2686414","6","18"
"ESPORTSTMNT01:2861076","6","13"
"ESPORTSTMNT02:3168433","7","16"
"ESPORTSTMNT05:1400247","8","24"
"ESPORTSTMNT05:2520142","27","14"
"ESPORTSTMNT06:1071527","21","1"
"ESPORTSTMNT01:1415320","12","4"
"ESPORTSTMNT01:2141750","3","20"
"ESPORTSTMNT06:1040947","8","13"
"ESPORTSTMNT01:3338036","22","23"
"ESPORTSTMNT01:1682837","8","16"
"ESPORTSTMNT01:3370396","17","13"
"ESPORTSTMNT06:1880336","18","24"
"ESPORTSTMNT02:2572341","4","19"
"ESPORTSTMNT04:980853","3","21"
"ESPORTSTMNT03:3182428","9","2"
"ESPORTSTMNT03:1332688","20","10"
"ESPORTSTMNT02:1092097","9","12"
"ESPORTSTMNT02:2972775","9","21"
"ESPORTSTMNT03:1130558","10","24"
"ESPORTSTMNT03:1125284","5","13"
"ESPORTSTMNT02:1685160","27","9"
"ESPORTSTMNT03:3120021","16","32"
"ESPORTSTMNT06:2190441","16","17"
"ESPORTSTMNT01:3386154","2","13"
"ESPORTSTMNT05:1430370","10","16"
"ESPORTSTMNT01:2695835","14","17"
"ESPORTSTMNT01:3413118","4","31"
"ESPORTSTMNT03:3200532","11","14"
"ESPORTSTMNT02:2830654","4","18"
"ESPORTSTMNT02:1696997","4","17"
"ESPORTSTMNT06:1580836","20","12"
"ESPORTSTMNT04:2470667","10","10"
"ESPORTSTMNT03:3119944","7","25"
"LPL_B:326459","4","22"
"ESPORTSTMNT03:2568005","5","16"
"ESPORTSTMNT01:2703062","24","12"
"ESPORTSTMNT03:1997004","24","6"
"ESPORTSTMNT01:3336270","15","19"
"ESPORTSTMNT04:2675423","26","17"
"ESPORTSTMNT03:1114828","20","3"
"ESPORTSTMNT02:1140600","19","23"
"ESPORTSTMNT01:3334731","18","9"
"ESPORTSTMNT06:1180795","10","21"
"ESPORTSTMNT06:2821361","5","17"
"ESPORTSTMNT02:3217700","13","27"
"ESPORTSTMNT02:2972750","13","0"
"ESPORTSTMNT02:3229320","13","17"
"ESPORTSTMNT06:1840126","8","14"
"ESPORTSTMNT02:3216159","21","10"
"ESPORTSTMNT04:2411364","3","9"
"ESPORTSTMNT01:3391265","7","16"
"ESPORTSTMNT06:2531125","12","19"
"ESPORTSTMNT06:1720675","6","17"
"ESPORTSTMNT01:1895542","8","25"
"ESPORTSTMNT03:3145009","6","17"
"ESPORTSTMNT03:2567958","17","9"
"ESPORTSTMNT01:3314730","18","7"
"ESPORTSTMNT01:2138052","25","11"
"ESPORTSTMNT06:1840226","8","24"
"ESPORTSTMNT01:3413882","11","18"
"ESPORTSTMNT03:3127611","18","26"
"ESPORTSTMNT01:3083221","17","5"
"ESPORTSTMNT04:1250160","18","4"
"ESPORTSTMNT01:3414442","11","18"
"ESPORTSTMNT02:1333261","16","24"
"ESPORTSTMNT06:1830697","7","16"
"ESPORTSTMNT04:1481164","17","5"
"ESPORTSTMNT06:2775428","11","3"
"ESPORTSTMNT01:3340324","3","18"
"ESPORTSTMNT05:2990860","17","29"
"ESPORTSTMNT03:3176207","21","7"
"ESPORTSTMNT01:1401754","8","12"
"ESPORTSTMNT03:1442972","14","1"
"ESPORTSTMNT03:1117977","18","18"
"ESPORTSTMNT03:1951069","16","22"
"ESPORTSTMNT01:1722421","13","4"
"ESPORTSTMNT05:3090821","6","22"
"ESPORTSTMNT04:1800772","19","7"
"ESPORTSTMNT04:2430250","18","23"
"ESPORTSTMNT01:2707450","10","26"
"ESPORTSTMNT02:2551560","5","9"
"ESPORTSTMNT03:2568258","16","6"
"ESPORTSTMNT04:2667006","8","21"
"ESPORTSTMNT03:2789908","12","25"
"ESPORTSTMNT06:2823386","12","10"
"ESPORTSTMNT03:2071213","7","17"
"ESPORTSTMNT01:2913773","3","18"
"ESPORTSTMNT04:2690257","7","11"
"ESPORTSTMNT05:3060589","17","4"
"ESPORTSTMNT06:1861042","22","3"
"ESPORTSTMNT01:1325157","4","16"
"ESPORTSTMNT06:1830833","16","7"
"ESPORTSTMNT06:2210807","17","7"
"ESPORTSTMNT03:1751632","11","14"
"ESPORTSTMNT04:2471977","5","16"
"ESPORTSTMNT06:2540910","8","19"
"ESPORTSTMNT01:2698350","5","16"
"ESPORTSTMNT01:3342185","13","5"
"ESPORTSTMNT01:1895453","11","16"
"ESPORTSTMNT04:1140174","17","11"
"ESPORTSTMNT01:3319064","2","14"
"ESPORTSTMNT02:1694135","23","8"
"ESPORTSTMNT05:2060237","8","18"
"ESPORTSTMNT05:1870664","14","8"
"ESPORTSTMNT02:1324698","3","8"
"ESPORTSTMNT01:3093524","15","2"
"ESPORTSTMNT03:3192062","5","17"
"ESPORTSTMNT01:1435170","30","6"
"ESPORTSTMNT06:2768877","15","5"
"ESPORTSTMNT03:1404095","11","5"
"ESPORTSTMNT05:2670231","14","24"
"ESPORTSTMNT04:1250118","11","13"
"LPL_B:329728","24","20"
"ESPORTSTMNT03:2635776","16","27"
"ESPORTSTMNT06:2510105","17","3"
"ESPORTSTMNT01:3324591","19","5"
"ESPORTSTMNT01:3085559","6","30"
"ESPORTSTMNT03:1815323","23","16"
"ESPORTSTMNT06:2542243","14","21"
"ESPORTSTMNT02:1396100","12","22"
"ESPORTSTMNT01:1431783","21","23"
"ESPORTSTMNT06:1180337","15","1"
"ESPORTSTMNT04:2663328","12","26"
"ESPORTSTMNT06:1062263","12","19"
"ESPORTSTMNT05:2530896","22","6"
"ESPORTSTMNT01:2146212","19","4"
"ESPORTSTMNT03:2788346","17","11"
"ESPORTSTMNT03:3114599","3","13"
"ESPORTSTMNT05:1831364","24","9"
"ESPORTSTMNT06:2776011","20","6"
"ESPORTSTMNT01:2136478","25","11"
"ESPORTSTMNT02:2775888","18","7"
"ESPORTSTMNT04:2691699","23","12"
"ESPORTSTMNT04:2140098","9","21"
"ESPORTSTMNT01:1722638","15","17"
"ESPORTSTMNT04:2664773","18","16"
"ESPORTSTMNT03:3118004","13","28"
"ESPORTSTMNT02:2151850","7","25"
"ESPORTSTMNT01:1163171","14","4"
"ESPORTSTMNT02:1405416","14","22"
"ESPORTSTMNT01:3390141","32","28"
"ESPORTSTMNT01:2905964","19","8"
"ESPORTSTMNT01:3092570","27","15"
"ESPORTSTMNT06:2778117","1","17"
"ESPORTSTMNT06:1021183","17","5"
"ESPORTSTMNT01:1296707","8","1"
"ESPORTSTMNT06:1680361","13","41"
"ESPORTSTMNT03:2784258","10","14"
"ESPORTSTMNT06:1170263","5","23"
"ESPORTSTMNT03:3166415","10","17"
"ESPORTSTMNT04:2688417","10","21"
"ESPORTSTMNT03:2783824","28","17"
"ESPORTSTMNT06:1310889","11","20"
"ESPORTSTMNT02:3158194","22","14"
"ESPORTSTMNT02:3221240","17","6"
"ESPORTSTMNT04:2220385","6","14"
"ESPORTSTMNT03:2654869","24","23"
"ESPORTSTMNT03:2054561","16","13"
"ESPORTSTMNT05:2530969","13","25"
"ESPORTSTMNT02:2240164","5","20"
"ESPORTSTMNT04:1320040","20","10"
"ESPORTSTMNT01:2781789","24","14"
"ESPORTSTMNT02:1084817","6","13"
"ESPORTSTMNT06:2822315","14","1"
"ESPORTSTMNT02:2810784","18","10"
"ESPORTSTMNT06:2815400","27","10"
"ESPORTSTMNT03:3190595","14","13"
"ESPORTSTMNT01:1291789","9","20"
"ESPORTSTMNT04:2270094","7","20"
"ESPORTSTMNT02:3163385","16","3"
"ESPORTSTMNT03:1121577","12","6"
"ESPORTSTMNT06:2777132","11","33"
"ESPORTSTMNT05:2520923","29","23"
"ESPORTSTMNT01:2800267","6","19"
"ESPORTSTMNT02:2575044","19","16"
"ESPORTSTMNT06:2773308","2","16"
"ESPORTSTMNT02:1401346","5","15"
"ESPORTSTMNT05:1210069","24","15"
"ESPORTSTMNT06:2531228","13","22"
"ESPORTSTMNT03:2055172","5","8"
"ESPORTSTMNT04:970963","18","4"
"ESPORTSTMNT05:1860778","20","25"
"ESPORTSTMNT03:3093593","4","20"
"ESPORTSTMNT02:1383967","12","5"
"ESPORTSTMNT02:2554453","7","17"
"ESPORTSTMNT06:1880257","8","21"
"ESPORTSTMNT02:2576691","16","22"
"ESPORTSTMNT03:1533025","12","20"
"ESPORTSTMNT03:2564161","8","23"
"ESPORTSTMNT01:1885512","6","18"
"ESPORTSTMNT02:1094100","23","11"
"ESPORTSTMNT01:2914376","7","19"
"ESPORTSTMNT03:1392715","19","5"
"ESPORTSTMNT06:1860076","10","19"
"ESPORTSTMNT01:3371674","21","2"
"ESPORTSTMNT03:3090837","10","14"
"LPL_B:329802","8","23"
"ESPORTSTMNT03:3142696","11","18"
"ESPORTSTMNT01:3344237","6","16"
"ESPORTSTMNT06:2819457","16","19"
"ESPORTSTMNT03:3182369","40","6"
"ESPORTSTMNT02:3222463","22","28"
"ESPORTSTMNT03:3188769","19","5"
"ESPORTSTMNT01:3406177","9","12"
"ESPORTSTMNT04:1240153","21","9"
"ESPORTSTMNT01:2148576","15","7"
"ESPORTSTMNT06:2570568","10","12"
"ESPORTSTMNT03:1100910","13","2"
"ESPORTSTMNT03:2703545","5","24"
"ESPORTSTMNT02:3149299","7","25"
"ESPORTSTMNT06:1690701","17","9"
"ESPORTSTMNT03:1301242","20","32"
"ESPORTSTMNT03:3100728","6","18"
"ESPORTSTMNT03:2566930","11","8"
"ESPORTSTMNT02:1394208","13","4"
"ESPORTSTMNT02:1405467","10","27"
"ESPORTSTMNT02:1293757","7","13"
"ESPORTSTMNT02:3220426","2","13"
"ESPORTSTMNT01:3096741","17","7"
"ESPORTSTMNT06:2819277","11","24"
"ESPORTSTMNT03:3165917","12","6"
"ESPORTSTMNT01:3394412","10","25"
"ESPORTSTMNT01:3083701","4","12"
"ESPORTSTMNT01:3381096","6","27"
"ESPORTSTMNT03:1757907","20","5"
"ESPORTSTMNT03:1682203","16","20"
"ESPORTSTMNT01:3093698","16","7"
"ESPORTSTMNT02:2076321","8","14"
"ESPORTSTMNT03:2568138","17","3"
"ESPORTSTMNT02:2810806","12","2"
"ESPORTSTMNT02:2075858","20","8"
"ESPORTSTMNT05:3220700","18","6"
"ESPORTSTMNT01:3325513","12","9"
"ESPORTSTMNT01:2706652","19","2"
"ESPORTSTMNT02:3218619","19","7"
"ESPORTSTMNT05:2060229","17","11"
"ESPORTSTMNT04:980808","11","14"
"ESPORTSTMNT06:1510250","12","1"
"ESPORTSTMNT04:2470389","21","2"
"ESPORTSTMNT01:2702309","15","2"
"ESPORTSTMNT01:2132148","24","7"
"ESPORTSTMNT06:2776002","5","19"
"ESPORTSTMNT06:2290564","14","21"
"ESPORTSTMNT02:1732970","22","9"
"ESPORTSTMNT03:1352447","29","14"
"ESPORTSTMNT04:2665412","16","22"
"ESPORTSTMNT04:2693171","20","14"
"LPL_A:335339","7","12"
"ESPORTSTMNT01:2773354","6","17"
"ESPORTSTMNT04:1480759","5","14"
"ESPORTSTMNT02:2067610","7","20"
"ESPORTSTMNT03:1995133","10","12"
"ESPORTSTMNT01:3313797","3","15"
"ESPORTSTMNT03:3101069","14","3"
"ESPORTSTMNT01:1144891","2","14"
"ESPORTSTMNT02:1381904","7","26"
"ESPORTSTMNT01:3304731","17","9"
"ESPORTSTMNT06:1861231","30","22"
"ESPORTSTMNT01:2983276","20","6"
"ESPORTSTMNT03:2789376","6","18"
"ESPORTSTMNT06:1720788","16","16"
"ESPORTSTMNT02:3171787","20","15"
"ESPORTSTMNT06:2470579","18","2"
"ESPORTSTMNT01:3388003","17","19"
"ESPORTSTMNT02:1284490","4","16"
"ESPORTSTMNT01:3417429","13","20"
"ESPORTSTMNT04:2430766","3","15"
"ESPORTSTMNT02:3056705","25","10"
"ESPORTSTMNT03:1441899","12","6"
"ESPORTSTMNT03:3178195","16","4"
"ESPORTSTMNT01:3340119","9","7"
"ESPORTSTMNT05:1831609","19","3"
"ESPORTSTMNT03:2093962","15","3"
"ESPORTSTMNT03:3098421","12","14"
"ESPORTSTMNT02:1095544","21","16"
"ESPORTSTMNT05:3221093","41","19"
"ESPORTSTMNT06:2773240","7","21"
"ESPORTSTMNT06:2531304","16","11"
"ESPORTSTMNT03:3184218","8","16"
"ESPORTSTMNT02:1735068","7","24"
"ESPORTSTMNT02:2884398","16","3"
"ESPORTSTMNT04:2687518","6","14"
"ESPORTSTMNT04:1220706","9","3"
"ESPORTSTMNT03:2701960","5","20"
"ESPORTSTMNT02:3170762","34","3"
"ESPORTSTMNT06:2260480","6","14"
"ESPORTSTMNT01:3411210","11","18"
"ESPORTSTMNT03:1353501","10","1"
"ESPORTSTMNT02:1324775","15","9"
"ESPORTSTMNT01:3408781","18","6"
"ESPORTSTMNT03:1951051","4","15"
"ESPORTSTMNT02:2066370","19","21"
"ESPORTSTMNT04:1961114","28","26"
"ESPORTSTMNT01:3379700","7","16"
"ESPORTSTMNT03:2799849","7","13"
"ESPORTSTMNT01:3409559","6","13"
"ESPORTSTMNT02:2883204","9","18"
"ESPORTSTMNT02:3167180","11","23"
"ESPORTSTMNT03:3197779","15","8"
"ESPORTSTMNT01:1313913","21","18"
"ESPORTSTMNT02:2573379","30","12"
"ESPORTSTMNT03:2714827","16","27"
"ESPORTSTMNT06:2532177","14","7"
"ESPORTSTMNT02:3219652","19","4"
"ESPORTSTMNT02:2064319","9","29"
"ESPORTSTMNT03:2561885","16","11"
"ESPORTSTMNT04:2240332","22","17"
"ESPORTSTMNT03:2071234","3","17"
"ESPORTSTMNT05:2951609","18","6"
"ESPORTSTMNT02:1936030","5","9"
"ESPORTSTMNT01:1721846","19","12"
"ESPORTSTMNT04:2430746","2","15"
"ESPORTSTMNT03:2542652","7","15"
"ESPORTSTMNT02:3215353","20","9"
"ESPORTSTMNT03:2784436","17","26"
"ESPORTSTMNT03:3119640","7","27"
"ESPORTSTMNT04:1600250","7","20"
"ESPORTSTMNT03:2002254","23","12"
"ESPORTSTMNT03:2785767","4","18"
"ESPORTSTMNT05:2530756","21","13"
"ESPORTSTMNT03:1631134","59","24"
"ESPORTSTMNT01:2810165","28","7"
"ESPORTSTMNT03:3186099","16","25"
"ESPORTSTMNT02:1391665","2","12"
"ESPORTSTMNT01:2134806","20","12"
"ESPORTSTMNT01:3080884","33","16"
"ESPORTSTMNT02:3168470","8","18"
"ESPORTSTMNT03:1116973","16","9"
"ESPORTSTMNT04:1961071","20","22"
"ESPORTSTMNT05:2600010","0","18"
"ESPORTSTMNT01:2141887","16","30"
"ESPORTSTMNT02:1723504","10","3"
"ESPORTSTMNT06:2190838","23","10"
"ESPORTSTMNT06:2580466","5","13"
"ESPORTSTMNT02:1294934","7","22"
"ESPORTSTMNT02:3163371","14","11"
"ESPORTSTMNT03:3091832","18","11"
"ESPORTSTMNT03:2785362","11","24"
"ESPORTSTMNT06:2818135","24","15"
"ESPORTSTMNT05:3221091","11","18"
"ESPORTSTMNT03:2548463","19","10"
"ESPORTSTMNT04:2300249","18","26"
"ESPORTSTMNT06:1510222","3","20"
"ESPORTSTMNT03:2650987","14","21"
"LPL_B:328443","17","9"
"ESPORTSTMNT04:2210200","24","15"
"ESPORTSTMNT06:2815779","4","14"
"ESPORTSTMNT05:1430715","10","6"
"LPL_B:327471","11","18"
"ESPORTSTMNT05:2070695","22","13"
"ESPORTSTMNT02:2074289","27","31"
"ESPORTSTMNT04:1130548","11","9"
"ESPORTSTMNT04:2430815","3","14"
"ESPORTSTMNT03:3096354","7","24"
"ESPORTSTMNT01:3304287","17","6"
"ESPORTSTMNT02:1640816","7","23"
"ESPORTSTMNT01:2740642","22","15"
"ESPORTSTMNT02:2775056","13","3"
"ESPORTSTMNT06:2190850","27","7"
"LPL_A:335370","23","11"
"ESPORTSTMNT02:2672723","8","21"
"ESPORTSTMNT03:1813898","9","14"
"ESPORTSTMNT02:2551479","23","13"
"ESPORTSTMNT02:2962097","8","22"
"ESPORTSTMNT01:3333185","22","10"
"ESPORTSTMNT02:3214341","11","18"
"ESPORTSTMNT05:1540076","29","15"
"ESPORTSTMNT06:2210962","23","8"
"ESPORTSTMNT03:1673715","13","5"
"ESPORTSTMNT05:2952329","13","1"
"ESPORTSTMNT04:1230703","6","19"
"ESPORTSTMNT04:2471688","17","10"
"ESPORTSTMNT01:2744630","13","9"
"ESPORTSTMNT01:3370369","13","5"
"ESPORTSTMNT01:2691492","12","13"
"ESPORTSTMNT02:3219513","10","29"
"ESPORTSTMNT03:3175314","10","22"
"ESPORTSTMNT05:1981112","5","14"
"ESPORTSTMNT02:2071436","16","7"
"ESPORTSTMNT06:1570396","18","12"
"ESPORTSTMNT01:1723584","4","17"
"ESPORTSTMNT04:2451654","14","4"
"ESPORTSTMNT01:1144602","15","4"
"ESPORTSTMNT04:2431636","19","5"
"ESPORTSTMNT06:2775225","20","9"
"ESPORTSTMNT03:2654860","21","3"
"ESPORTSTMNT01:3416295","12","21"
"ESPORTSTMNT01:2770468","18","6"
"ESPORTSTMNT03:1415585","12","7"
"ESPORTSTMNT02:2911406","16","13"
"ESPORTSTMNT02:1092035","19","12"
"ESPORTSTMNT02:3166699","4","16"
"ESPORTSTMNT03:2631291","21","16"
"ESPORTSTMNT02:2779546","15","26"
"ESPORTSTMNT01:3296592","5","19"
"ESPORTSTMNT06:1061960","4","16"
"ESPORTSTMNT02:1092010","15","11"
"ESPORTSTMNT02:2840550","5","22"
"ESPORTSTMNT05:3240484","5","21"
"ESPORTSTMNT01:2966100","19","5"
"ESPORTSTMNT04:1730228","17","24"
"ESPORTSTMNT03:2632603","11","19"
"ESPORTSTMNT01:1144812","11","6"
"ESPORTSTMNT06:1861096","16","8"
"ESPORTSTMNT02:2884884","1","17"
"ESPORTSTMNT04:1801020","18","10"
"ESPORTSTMNT06:2817942","27","11"
"ESPORTSTMNT01:3416074","16","3"
"ESPORTSTMNT03:2003878","16","4"
"ESPORTSTMNT03:2566536","19","1"
"ESPORTSTMNT05:2060127","3","14"
"ESPORTSTMNT02:1115921","7","18"
"ESPORTSTMNT04:2664117","18","3"
"ESPORTSTMNT02:1330940","3","17"
"ESPORTSTMNT01:3295103","21","24"
"ESPORTSTMNT02:1401765","13","15"
"ESPORTSTMNT01:1141515","21","18"
"ESPORTSTMNT02:3167607","9","17"
"ESPORTSTMNT06:1071409","8","19"
"ESPORTSTMNT03:2785429","16","9"
"ESPORTSTMNT02:2578314","10","27"
"ESPORTSTMNT04:1880133","11","2"
"ESPORTSTMNT04:2410894","15","6"
"ESPORTSTMNT03:2782553","4","10"
"ESPORTSTMNT01:2782918","10","23"
"ESPORTSTMNT02:2884389","33","13"
"ESPORTSTMNT06:1020796","13","22"
"ESPORTSTMNT01:3366513","16","3"
"ESPORTSTMNT03:3144019","17","18"
"ESPORTSTMNT03:2053177","13","20"
"ESPORTSTMNT01:2770415","17","22"
"ESPORTSTMNT04:1810307","9","19"
"ESPORTSTMNT02:1935368","14","6"
"ESPORTSTMNT01:3417386","18","4"
"ESPORTSTMNT02:2913650","8","19"
"ESPORTSTMNT01:1294738","8","18"
"ESPORTSTMNT05:1870353","18","10"
"ESPORTSTMNT01:2782631","4","10"
"ESPORTSTMNT03:3117637","23","4"
"ESPORTSTMNT04:1810776","12","30"
"ESPORTSTMNT06:1190347","21","3"
"ESPORTSTMNT03:2882359","11","28"
"ESPORTSTMNT03:2568212","11","10"
"ESPORTSTMNT06:1580623","20","24"
"ESPORTSTMNT02:2913609","23","22"
"ESPORTSTMNT06:1570961","5","17"
"ESPORTSTMNT02:2140708","9","18"
"ESPORTSTMNT02:2570944","14","6"
"ESPORTSTMNT03:3091513","14","7"
"ESPORTSTMNT06:2769531","6","22"
"ESPORTSTMNT02:1115889","20","17"
"ESPORTSTMNT01:1894189","7","11"
"ESPORTSTMNT01:1883256","5","18"
"ESPORTSTMNT02:2779499","16","30"
"ESPORTSTMNT02:1401953","11","8"
"ESPORTSTMNT03:2055220","29","7"
"ESPORTSTMNT03:2882293","18","15"
"ESPORTSTMNT03:1994280","3","15"
"ESPORTSTMNT01:3323294","7","20"
"ESPORTSTMNT01:3378943","28","9"
"ESPORTSTMNT04:2665281","26","17"
"ESPORTSTMNT02:1102436","17","11"
"ESPORTSTMNT04:1230881","6","11"
