"eventtime","platformgameid","gametime","winningteam","blue_level","red_level","blue_cs","red_cs"
"2022-07-28T20:18:37.257Z","ESPORTSTMNT06:2531244","210018","100","16","18","62.0","71.0"
"2021-06-13T13:02:11.534Z","ESPORTSTMNT05:1981380","210790","200","15","16","64.0","55.0"
"2021-06-22T10:24:45.387Z","ESPORTSTMNT03:2002960","210966","200","16","15","46.0","59.0"
"2023-03-12T10:17:17.079Z","ESPORTSTMNT03:3126438","210023","100","16","16","60.0","54.0"
"2021-08-31T15:28:34.002Z","ESPORTSTMNT04:1890118","210912","200","14","14","58.0","50.0"
"2021-01-28T21:27:51.313Z","ESPORTSTMNT06:1560276","210833","100","18","15","61.0","55.0"
"2022-07-13T20:07:54.295Z","ESPORTSTMNT05:2941518","210009","100","14","16","52.0","68.0"
"2020-08-16T21:02:14.056Z","ESPORTSTMNT03:1441104","210899","200","16","15","63.0","54.0"
"2021-04-20T19:13:09.473Z","ESPORTSTMNT04:1660378","210845","200","16","16","65.0","63.0"
"2023-06-16T16:59:47.963Z","ESPORTSTMNT04:2684391","210016","200","15","16","57.0","70.0"
"2021-07-03T21:21:35.145Z","ESPORTSTMNT01:2133645","210007","100","17","16","55.0","49.0"
"2022-06-15T19:12:22.152Z","ESPORTSTMNT05:2760596","210019","100","16","17","65.0","60.0"
"2019-06-23T23:03:31.088Z","ESPORTSTMNT02:1092589","210735","100","16","15","67.0","64.0"
"2019-06-15T13:02:30.135Z","ESPORTSTMNT04:970857","210225","100","15","16","54.0","54.0"
"2021-02-04T18:12:49.229Z","ESPORTSTMNT05:1831336","210078","100","18","17","62.0","57.0"
"2020-06-24T12:31:29.694Z","ESPORTSTMNT02:1393350","210094","100","16","13","66.0","65.0"
"2023-03-19T13:19:52.034Z","ESPORTSTMNT03:3129819","210027","100","17","16","65.0","62.0"
"2023-03-19T13:19:53.007Z","ESPORTSTMNT03:3129819","211000","100","17","16","65.0","62.0"
"2023-08-07T09:25:19.091Z","LPL_A:342884","210006","100","16","16","68.0","61.0"
"2019-05-31T22:08:32.339Z","ESPORTSTMNT03:1092079","210979","100","15","15","44.0","54.0"
"2023-03-17T18:06:47.124Z","ESPORTSTMNT03:3129590","210025","200","15","14","57.0","60.0"
"2021-04-17T15:31:36.680Z","ESPORTSTMNT04:1660273","210847","200","17","16","54.0","66.0"
"2022-08-26T11:15:27.739Z","ESPORTSTMNT02:2972527","210003","100","17","14","73.0","56.0"
"2021-02-21T13:53:30.288Z","ESPORTSTMNT06:1570966","210717","100","17","18","50.0","65.0"
"2021-02-18T08:10:31.257Z","ESPORTSTMNT03:1763332","210060","100","14","14","42.0","55.0"
"2022-07-25T21:09:30.636Z","ESPORTSTMNT06:2530829","210030","100","17","14","71.0","64.0"
"2023-03-15T00:42:11.267Z","ESPORTSTMNT01:3323975","210005","200","13","16","56.0","60.0"
"2022-06-15T20:34:24.756Z","ESPORTSTMNT02:2810780","210032","100","16","13","63.0","54.0"
"2021-03-31T12:33:26.066Z","ESPORTSTMNT03:1812903","210888","100","17","16","73.0","61.0"
"2023-06-01T20:18:29.232Z","ESPORTSTMNT06:2817541","210030","100","18","15","71.0","60.0"
"2022-07-13T16:17:16.508Z","ESPORTSTMNT05:2951632","210032","100","16","13","49.0","46.0"
"2021-01-20T21:17:51.503Z","ESPORTSTMNT01:1693182","210964","200","13","15","41.0","58.0"
"2021-07-10T12:45:53.637Z","ESPORTSTMNT01:2137598","210918","200","15","18","61.0","67.0"
"2020-02-15T22:10:31.218Z","ESPORTSTMNT02:1281254","210577","200","13","16","60.0","66.0"
"2021-07-30T10:17:48.643Z","ESPORTSTMNT02:2067393","210855","200","16","14","59.0","65.0"
"2020-08-21T16:53:59.035Z","ESPORTSTMNT06:1320442","210844","200","14","13","58.0","53.0"
"2023-05-18T13:02:30.654Z","ESPORTSTMNT04:2677137","210017","100","14","14","50.0","43.0"
"2020-04-18T08:00:57.512Z","ESPORTSTMNT03:1342182","210648","100","16","16","61.0","51.0"
"2023-06-22T13:03:04.701Z","LPL_A:334754","210021","200","17","16","62.0","64.0"
"2020-03-27T10:13:57.679Z","ESPORTSTMNT01:1315386","210978","100","17","14","62.0","61.0"
"2022-03-21T09:02:40.941Z","ESPORTSTMNT02:2663187","210015","100","14","17","58.0","72.0"
"2019-08-17T11:58:25.386Z","ESPORTSTMNT06:1050040","210113","100","16","15","58.0","58.0"
"2021-08-02T09:08:14.281Z","ESPORTSTMNT03:2072712","210936","200","18","15","67.0","60.0"
"2023-03-26T22:06:11.482Z","ESPORTSTMNT01:3333294","210007","200","14","16","61.0","59.0"
"2021-07-20T17:07:19.405Z","ESPORTSTMNT02:2074221","210926","100","16","18","65.0","67.0"
"2021-05-18T14:12:38.060Z","ESPORTSTMNT06:1720916","210907","200","17","17","64.0","65.0"
"2022-02-24T00:09:18.628Z","ESPORTSTMNT01:2740661","210001","100","17","16","55.0","63.0"
"2023-01-23T23:07:04.187Z","ESPORTSTMNT03:3090022","210027","100","14","15","57.0","52.0"
"2023-07-07T10:19:13.022Z","ESPORTSTMNT03:3177275","210023","100","16","17","58.0","61.0"
"2021-06-01T19:05:57.864Z","ESPORTSTMNT01:2030428","210744","200","16","14","57.0","63.0"
"2023-06-24T18:15:48.331Z","ESPORTSTMNT01:3388020","210015","100","18","15","64.0","58.0"
"2022-05-17T22:07:50.186Z","ESPORTSTMNT03:2703699","210031","200","17","16","55.0","70.0"
"2023-08-01T10:24:15.784Z","LPL_A:342673","210024","100","18","18","63.0","72.0"
"2023-01-24T18:31:14.898Z","ESPORTSTMNT04:2663314","210000","200","17","15","61.0","60.0"
"2021-02-13T16:22:59.291Z","ESPORTSTMNT03:1760728","210027","100","13","15","55.0","61.0"
"2020-07-31T16:02:36.689Z","ESPORTSTMNT05:1540082","210791","100","16","15","55.0","52.0"
"2022-04-04T15:05:58.933Z","ESPORTSTMNT06:2260456","210007","200","17","16","63.0","67.0"
"2023-03-05T11:02:00.698Z","ESPORTSTMNT02:3169826","210013","200","15","15","56.0","60.0"
"2023-07-05T13:15:26.296Z","ESPORTSTMNT02:3218703","210006","100","17","17","58.0","59.0"
"2023-03-10T17:00:07.818Z","ESPORTSTMNT03:3125749","210008","100","16","17","58.0","64.0"
"2020-06-12T07:16:46.305Z","ESPORTSTMNT01:1413609","210654","100","16","17","58.0","59.0"
"2020-08-02T13:43:17.489Z","ESPORTSTMNT05:1540167","210756","200","16","16","61.0","62.0"
"2022-06-13T12:38:39.477Z","ESPORTSTMNT02:2789417","210024","200","15","13","58.0","53.0"
"2023-06-13T22:29:05.901Z","ESPORTSTMNT01:3370925","210025","100","16","15","61.0","52.0"
"2023-03-07T17:11:28.512Z","ESPORTSTMNT03:3121204","210013","200","14","15","58.0","67.0"
"2019-08-10T12:35:47.688Z","ESPORTSTMNT02:1101938","210068","100","13","16","58.0","59.0"
"2023-04-08T18:27:49.455Z","ESPORTSTMNT01:3344078","210011","100","14","16","56.0","55.0"
"2021-09-19T00:55:06.835Z","ESPORTSTMNT02:2151852","210918","200","14","15","67.0","47.0"
"2020-09-05T23:13:24.217Z","ESPORTSTMNT03:1443550","210955","100","17","13","63.0","55.0"
"2023-01-29T19:57:36.772Z","ESPORTSTMNT06:2769509","210001","200","15","16","68.0","60.0"
"2021-09-02T07:16:17.422Z","ESPORTSTMNT01:2240321","210814","100","17","16","57.0","55.0"
"2022-07-27T18:50:20.195Z","ESPORTSTMNT03:2893441","210011","200","18","15","65.0","55.0"
"2021-08-01T12:16:13.502Z","ESPORTSTMNT03:2072372","210859","100","15","15","56.0","47.0"
"2022-07-18T17:58:46.703Z","ESPORTSTMNT05:2943202","210024","200","14","16","55.0","59.0"
"2023-06-30T10:39:14.250Z","ESPORTSTMNT02:3213774","210027","100","17","16","59.0","65.0"
"2019-08-04T08:13:15.768Z","ESPORTSTMNT01:1165940","210093","100","15","13","59.0","53.0"
"2023-06-19T00:51:24.398Z","ESPORTSTMNT01:3380627","210031","100","16","17","50.0","56.0"
"2021-04-09T00:14:06.072Z","ESPORTSTMNT03:1825508","210969","200","17","15","70.0","54.0"
"2020-03-21T09:18:07.666Z","ESPORTSTMNT01:1313896","210721","100","16","12","55.0","63.0"
"2019-08-03T23:39:58.663Z","ESPORTSTMNT01:1165832","210550","200","15","14","54.0","52.0"
"2021-03-03T22:53:33.074Z","ESPORTSTMNT01:1892847","210915","200","16","16","58.0","54.0"
"2020-06-24T11:30:16.861Z","ESPORTSTMNT02:1393318","210980","200","18","18","62.0","68.0"
"2023-07-20T16:08:18.370Z","ESPORTSTMNT03:3193512","210032","100","16","15","69.0","56.0"
"2023-03-03T21:16:37.540Z","ESPORTSTMNT02:3169621","210024","200","16","14","57.0","51.0"
"2023-06-11T12:15:28.130Z","ESPORTSTMNT01:3367620","210024","200","14","15","60.0","60.0"
"2023-02-26T00:59:06.740Z","ESPORTSTMNT02:3165675","210016","200","16","15","53.0","59.0"
"2023-02-26T00:59:07.724Z","ESPORTSTMNT02:3165675","211000","200","16","15","54.0","60.0"
"2021-07-07T23:07:52.304Z","ESPORTSTMNT01:2146356","210923","200","16","14","56.0","38.0"
"2020-03-27T12:58:54.171Z","ESPORTSTMNT01:1315424","210945","200","16","17","56.0","59.0"
"2022-07-04T22:08:07.158Z","ESPORTSTMNT01:2964996","210008","100","18","15","59.0","53.0"
"2023-03-25T17:42:13.718Z","ESPORTSTMNT01:3331934","210001","100","17","17","61.0","60.0"
"2020-07-16T23:58:33.651Z","ESPORTSTMNT01:1431428","210980","100","16","16","59.0","57.0"
"2020-08-21T09:08:45.967Z","ESPORTSTMNT03:1441817","210063","100","14","16","57.0","67.0"
"2021-09-02T12:07:29.374Z","ESPORTSTMNT01:2240347","210781","200","15","14","61.0","47.0"
"2020-03-27T22:55:23.229Z","ESPORTSTMNT02:1321109","210905","100","13","12","43.0","52.0"
"2021-07-28T08:08:02.422Z","ESPORTSTMNT05:2070940","210873","100","14","16","61.0","57.0"
"2022-06-11T18:49:34.047Z","ESPORTSTMNT02:2778137","210026","100","16","17","58.0","58.0"
"2022-08-20T10:03:22.207Z","ESPORTSTMNT04:2471797","210020","100","16","16","68.0","63.0"
"2019-06-09T09:11:32.915Z","ESPORTSTMNT01:1131890","210718","100","16","17","54.0","64.0"
"2023-01-29T21:09:17.120Z","ESPORTSTMNT02:3144125","210002","100","17","15","57.0","40.0"
"2020-02-15T13:07:37.040Z","ESPORTSTMNT01:1306413","210756","100","14","13","54.0","53.0"
"2023-06-15T17:04:03.126Z","ESPORTSTMNT04:2683274","210016","100","16","16","66.0","56.0"
"2023-06-21T19:23:04.250Z","ESPORTSTMNT04:2684848","210027","100","15","16","59.0","61.0"
"2023-01-16T05:20:28.634Z","ESPORTSTMNT06:2762079","210026","100","16","18","57.0","68.0"
"2020-04-10T09:08:59.936Z","ESPORTSTMNT02:1334694","210073","100","17","14","67.0","61.0"
"2019-09-17T16:07:32.375Z","ESPORTSTMNT04:1000315","210623","100","15","13","59.0","52.0"
"2022-03-18T22:58:14.361Z","ESPORTSTMNT03:2631290","210031","200","16","15","56.0","50.0"
"2021-01-28T15:07:07.057Z","ESPORTSTMNT05:1820228","210770","100","17","16","61.0","59.0"
"2022-01-19T12:07:41.972Z","ESPORTSTMNT01:2693854","210006","100","16","17","61.0","60.0"
"2020-10-25T13:16:26.636Z","ESPORTSTMNT03:1532935","210521","100","16","13","55.0","47.0"
"2022-08-24T16:57:59.898Z","ESPORTSTMNT05:3090334","210014","200","13","14","54.0","61.0"
"2019-07-12T23:43:34.074Z","ESPORTSTMNT03:1114348","210085","200","15","16","57.0","57.0"
"2022-06-08T01:14:02.229Z","ESPORTSTMNT02:2775871","210000","200","16","15","53.0","50.0"
"2019-06-01T16:26:59.062Z","ESPORTSTMNT03:1102245","210958","100","16","15","57.0","47.0"
"2021-08-21T01:11:54.030Z","ESPORTSTMNT03:2103899","210950","100","17","13","64.0","54.0"
"2021-03-06T20:10:25.015Z","ESPORTSTMNT01:1894664","210849","100","18","17","66.0","51.0"
"2020-08-05T21:33:42.463Z","ESPORTSTMNT02:1403051","210958","100","16","15","59.0","60.0"
"2021-09-11T01:23:42.320Z","ESPORTSTMNT02:2151320","210870","200","14","14","53.0","54.0"
"2023-02-23T18:12:34.098Z","ESPORTSTMNT02:3160582","210005","200","14","16","62.0","57.0"
"2022-08-03T23:52:07.773Z","ESPORTSTMNT01:3080910","210013","200","14","15","56.0","60.0"
"2023-03-26T10:15:11.874Z","ESPORTSTMNT01:3333148","210013","200","15","16","59.0","60.0"
"2021-06-23T16:12:11.392Z","ESPORTSTMNT03:1994095","210982","200","16","14","65.0","48.0"
"2020-08-22T15:05:36.334Z","ESPORTSTMNT06:1310404","210750","200","14","13","48.0","41.0"
"2022-02-09T17:04:43.509Z","ESPORTSTMNT02:2557827","210049","200","15","15","64.0","61.0"
"2022-02-01T18:03:34.153Z","ESPORTSTMNT05:2520507","210178","100","14","14","48.0","60.0"
"2019-09-13T19:16:55.910Z","ESPORTSTMNT06:1041136","210796","100","16","15","57.0","50.0"
"2022-06-14T15:07:25.856Z","ESPORTSTMNT05:2750521","210015","200","17","15","62.0","61.0"
"2023-07-16T12:59:08.699Z","ESPORTSTMNT03:3186990","210022","200","14","16","51.0","58.0"
"2022-08-11T06:13:57.092Z","ESPORTSTMNT04:2470856","210013","100","15","15","60.0","58.0"
"2021-07-10T18:18:30.870Z","ESPORTSTMNT01:2137714","210931","200","15","13","63.0","59.0"
"2023-02-13T05:16:17.873Z","ESPORTSTMNT02:3148235","210011","100","15","14","59.0","51.0"
"2021-06-29T19:55:07.208Z","ESPORTSTMNT06:1830975","210834","100","14","13","55.0","54.0"
"2021-06-30T11:11:03.513Z","ESPORTSTMNT03:1997173","210909","100","17","15","67.0","61.0"
"2023-06-23T18:10:42.157Z","ESPORTSTMNT04:2687009","210016","100","14","16","48.0","57.0"
"2019-05-06T12:51:47.640Z","ESPORTSTMNT01:1120736","210492","100","14","14","55.0","47.0"
"2022-06-28T23:21:35.779Z","ESPORTSTMNT03:2799004","210022","100","16","14","58.0","56.0"
"2019-07-14T11:36:00.699Z","ESPORTSTMNT03:1115246","210706","100","14","16","57.0","56.0"
"2021-03-17T22:07:10.242Z","ESPORTSTMNT02:1723638","210941","200","17","16","57.0","51.0"
"2022-01-14T12:18:02.936Z","ESPORTSTMNT01:2691546","210053","100","16","16","71.0","67.0"
"2023-01-31T16:14:16.281Z","ESPORTSTMNT03:3095471","210007","200","15","17","60.0","65.0"
"2023-02-03T17:06:04.232Z","ESPORTSTMNT03:3099671","210000","100","14","14","51.0","56.0"
"2020-06-19T06:15:38.287Z","ESPORTSTMNT02:1381620","210635","200","17","15","68.0","60.0"
"2021-07-25T16:34:24.235Z","ESPORTSTMNT02:2076445","210901","100","14","14","55.0","54.0"
"2021-03-16T23:04:55.553Z","ESPORTSTMNT02:1733188","210824","100","14","15","55.0","48.0"
"2023-07-09T09:18:41.654Z","ESPORTSTMNT02:3218982","210032","200","15","16","62.0","69.0"
"2020-03-27T18:05:40.829Z","ESPORTSTMNT05:1430090","210791","100","16","17","59.0","64.0"
"2021-07-13T18:09:04.095Z","ESPORTSTMNT01:2138629","210828","100","15","15","45.0","58.0"
"2022-01-27T20:23:57.700Z","ESPORTSTMNT01:2707756","210025","100","16","15","55.0","60.0"
"2020-08-13T12:46:35.578Z","ESPORTSTMNT02:1414913","210936","200","16","15","68.0","53.0"
"2023-01-24T00:56:52.817Z","ESPORTSTMNT03:3090050","210023","100","18","15","66.0","48.0"
"2023-07-10T02:34:10.319Z","ESPORTSTMNT03:3181494","210009","100","16","15","58.0","36.0"
"2021-06-16T19:25:59.386Z","ESPORTSTMNT03:1962165","210803","100","14","16","61.0","65.0"
"2020-04-04T15:59:56.556Z","ESPORTSTMNT05:1440458","210787","100","15","15","48.0","62.0"
"2022-02-10T19:14:34.280Z","ESPORTSTMNT05:2521030","210108","100","14","14","63.0","56.0"
"2022-03-30T16:02:13.945Z","ESPORTSTMNT05:2610094","210023","200","15","15","60.0","55.0"
"2022-07-12T08:07:52.099Z","ESPORTSTMNT05:2951211","210023","100","16","14","67.0","59.0"
"2023-02-10T23:10:25.143Z","ESPORTSTMNT01:3311339","210007","100","16","14","61.0","51.0"
"2023-08-06T10:14:27.642Z","ESPORTSTMNT03:3200575","210012","100","15","16","53.0","59.0"
"2022-06-19T12:02:28.999Z","ESPORTSTMNT06:2470184","210001","200","14","15","62.0","55.0"
"2023-06-17T07:19:28.300Z","LPL_A:334273","210024","200","18","15","63.0","59.0"
"2021-02-26T16:01:51.441Z","ESPORTSTMNT04:1520366","210837","100","14","16","51.0","63.0"
"2020-04-30T21:51:42.878Z","ESPORTSTMNT06:1200055","210866","200","15","14","57.0","59.0"
"2023-07-08T12:12:12.542Z","LPL_B:329299","210000","100","18","15","64.0","58.0"
"2023-07-13T20:40:17.359Z","ESPORTSTMNT06:2818767","210029","200","15","18","61.0","65.0"
"2023-07-01T17:17:44.403Z","ESPORTSTMNT01:3391622","210008","100","17","18","61.0","68.0"
"2023-06-06T12:19:05.461Z","LPL_A:330505","210024","100","17","16","66.0","59.0"
"2023-07-03T10:55:48.343Z","LPL_B:326781","210002","100","13","17","55.0","67.0"
"2019-06-06T12:14:20.181Z","ESPORTSTMNT01:1131131","210759","100","15","16","68.0","58.0"
"2019-07-07T23:04:20.100Z","ESPORTSTMNT02:1086951","210499","100","14","17","56.0","66.0"
"2022-03-13T17:26:05.178Z","ESPORTSTMNT02:2660501","210025","100","17","16","59.0","46.0"
"2021-03-09T17:35:46.595Z","ESPORTSTMNT01:1895812","210908","200","17","16","63.0","58.0"
"2021-03-10T18:54:36.332Z","ESPORTSTMNT01:1896235","210876","200","16","15","54.0","54.0"
"2022-09-01T23:45:33.986Z","ESPORTSTMNT02:2973559","210005","200","15","16","60.0","64.0"
"2023-01-31T12:07:20.324Z","ESPORTSTMNT03:3095390","210015","100","16","14","68.0","56.0"
"2023-06-20T18:26:09.821Z","ESPORTSTMNT01:3383481","210010","200","16","16","52.0","68.0"
"2019-06-23T22:17:48.707Z","ESPORTSTMNT02:1092569","210473","200","13","15","52.0","58.0"
"2021-07-23T22:10:47.299Z","ESPORTSTMNT02:2075812","210822","100","16","15","68.0","54.0"
"2022-03-18T01:24:23.486Z","ESPORTSTMNT02:2662334","210002","100","14","14","57.0","48.0"
"2021-08-29T09:18:37.125Z","ESPORTSTMNT03:2130409","210656","200","17","16","64.0","54.0"
"2022-09-11T20:11:39.779Z","ESPORTSTMNT03:2961716","210031","200","15","16","60.0","65.0"
"2021-06-10T08:16:53.473Z","ESPORTSTMNT02:1936232","210940","100","17","16","69.0","58.0"
"2022-02-16T09:03:28.368Z","ESPORTSTMNT03:2564408","210994","100","16","17","56.0","66.0"
"2023-02-08T10:04:17.764Z","ESPORTSTMNT01:3305848","210017","100","16","16","55.0","58.0"
"2021-02-01T19:30:33.994Z","ESPORTSTMNT02:1683144","210976","200","17","15","73.0","56.0"
"2023-02-19T22:07:27.370Z","ESPORTSTMNT01:3318108","210021","200","13","16","37.0","55.0"
"2022-06-08T02:23:53.768Z","ESPORTSTMNT02:2775891","210006","100","16","14","60.0","48.0"
"2023-07-22T02:27:10.073Z","ESPORTSTMNT03:3194842","210011","200","16","16","71.0","64.0"
"2023-07-16T22:10:14.324Z","ESPORTSTMNT03:3191192","210003","200","17","15","63.0","62.0"
"2022-07-11T08:06:28.251Z","ESPORTSTMNT05:2950952","210012","100","17","15","64.0","64.0"
"2021-06-17T21:11:18.439Z","ESPORTSTMNT03:2000392","210936","100","14","16","53.0","57.0"
"2020-02-28T16:54:40.746Z","ESPORTSTMNT06:1170092","210795","100","15","15","62.0","53.0"
"2023-07-30T16:23:19.779Z","ESPORTSTMNT06:2821457","210023","100","16","15","64.0","55.0"
"2022-06-07T19:12:59.521Z","ESPORTSTMNT02:2775636","210020","100","15","14","58.0","57.0"
"2022-06-09T03:43:33.859Z","ESPORTSTMNT02:2786876","210025","200","16","14","57.0","46.0"
"2023-01-22T19:27:28.115Z","ESPORTSTMNT06:2767145","210008","100","14","17","55.0","59.0"
"2020-04-08T16:35:47.084Z","ESPORTSTMNT06:1190333","210008","200","16","14","61.0","60.0"
"2020-08-22T09:01:59.463Z","ESPORTSTMNT03:1441980","210597","100","15","14","53.0","54.0"
"2020-04-30T08:20:17.114Z","ESPORTSTMNT03:1353560","210963","100","16","15","58.0","63.0"
"2022-03-06T16:24:13.168Z","ESPORTSTMNT01:2781109","210024","200","16","18","58.0","69.0"
"2023-03-04T01:12:36.231Z","ESPORTSTMNT02:3169654","210003","100","16","15","60.0","50.0"
"2020-04-19T20:08:00.463Z","ESPORTSTMNT05:1430798","210884","100","16","15","60.0","60.0"
"2022-02-14T18:10:21.608Z","ESPORTSTMNT06:2210446","210155","200","17","16","59.0","55.0"
"2019-07-27T01:35:20.494Z","ESPORTSTMNT01:1162272","210000","100","15","17","54.0","54.0"
"2020-02-15T11:55:52.227Z","ESPORTSTMNT01:1306395","210724","100","15","17","60.0","61.0"
"2019-07-13T01:23:15.106Z","ESPORTSTMNT03:1114365","210455","100","16","14","54.0","55.0"
"2021-02-17T21:11:50.069Z","ESPORTSTMNT03:1753050","210861","200","13","14","53.0","48.0"
"2022-07-29T20:05:35.930Z","ESPORTSTMNT03:2884448","210004","100","17","15","61.0","54.0"
"2021-03-14T20:08:13.897Z","ESPORTSTMNT02:1732273","210889","200","16","14","69.0","60.0"
"2022-07-13T18:47:20.009Z","ESPORTSTMNT05:2941493","210004","100","16","16","64.0","51.0"
"2019-06-15T23:24:14.434Z","ESPORTSTMNT01:1144659","210911","200","14","16","50.0","62.0"
"2023-08-22T18:38:09.823Z","ESPORTSTMNT05:3240473","210009","100","15","17","67.0","52.0"
"2021-06-22T08:10:07.371Z","ESPORTSTMNT03:2002898","210918","200","16","15","53.0","48.0"
"2022-03-16T18:59:56.917Z","ESPORTSTMNT05:2560489","210016","100","15","16","57.0","60.0"
"2022-06-10T14:11:39.459Z","ESPORTSTMNT05:2750360","210020","100","16","18","51.0","55.0"
"2019-10-27T11:19:25.908Z","ESPORTSTMNT06:1062051","210256","200","13","16","38.0","61.0"
"2023-03-08T13:40:19.790Z","ESPORTSTMNT03:3120628","210003","100","15","16","62.0","62.0"
"2023-03-14T19:56:03.632Z","ESPORTSTMNT04:2670168","210010","100","16","15","52.0","52.0"
"2021-08-22T08:19:03.980Z","ESPORTSTMNT01:2210711","210960","100","17","18","59.0","65.0"
"2022-03-10T22:04:38.085Z","ESPORTSTMNT02:2620817","210018","200","16","14","56.0","64.0"
"2020-07-18T02:21:18.780Z","ESPORTSTMNT01:1421812","210142","100","16","18","64.0","66.0"
"2023-08-06T11:26:06.655Z","LPL_A:342859","210000","200","16","15","66.0","63.0"
"2023-02-03T17:00:45.604Z","ESPORTSTMNT02:3142448","210017","200","16","14","65.0","60.0"
"2023-01-27T19:05:50.600Z","ESPORTSTMNT06:2767368","210030","100","14","15","51.0","51.0"
"2019-10-15T18:17:42.940Z","ESPORTSTMNT06:1071415","210266","200","16","13","55.0","56.0"
"2022-03-10T20:15:32.436Z","ESPORTSTMNT01:2783230","210003","100","14","15","53.0","58.0"
